full_text,processed
@kumparan Seharusnya diem2 aja. Klo gini kan jd bisa nyalahin guru kalo2 programnya batal ,diam menyalahkan guru programnya batal
@kumparan Dana bos kalau bisa transparan ke wali murid tiap tahun nya buat apa aja dana bos di sekolahan nya ?,dana bos transparan wali murid tahun-tahun apa-apa dana bos sekolahan
@kumparan Klo peraturannya sdh di buat lanjut pelaksanaan mau bilang apa penyesalan tiada guna.,peraturannya pelaksanaan bilang-bilang apa-apa penyesalan tiada
@kumparan Lah bukannya itu pilihan para guru Tah 02 aduh gmn sih udah dipilih skrang malah ditolak kacau kacau,pilihan guru teh aduh dipilih ditolak kacau kacau
@kumparan Belum dilantik sudah menjadi perdebatan. Bahkan belum dilantik sudah dijadikan bahasan APBN oleh pemerintah yang masih berkuasa. Ini agaknya gambaran awal dari berbagai carut-marut ke depannya.,belum dilantik perdebatan belum dilantik dijadikan bahasan apbn pemerintah berkuasa gambaran carutmarut depannya
@kumparan Pura2 nolak....padahal dijanjikan kenaikan gaji..? https://t.co/dDK9kS0wuS,pura nolakpadahal dijanjikan kenaikan gaji
@kumparan Temenku guru honorer gajinya pernah dirapel bbrp bulan tapi pemilu kemarin milih 02. Sebenernya pendukung mereka gak bodoh2 amat cuman gak melek politik. Banyak kemakan hoax tiktok,temenku guru honorer gajinya dirapel pemilu kemarin memilih pendukung enggak bodoh cuman enggak melek politik termakan hoax tiktok
@kumparan sy sebagai orang tua murid pun pasti menolak ...,orang-orang tua murid menolak
@kumparan @DrEvaChaniago 02 persetan dgn isi otak yg penting isi perut okey gas okey gas pajak naik okey gas,persetan isi otak isi perut okey gas okey gas pajak okey gas
@kumparan Dan yg paling lawaknya Temen2 gw yg backgroundnya pdidikan justru pas hari pemilu banyak yg pamer 2 jari tinta dengan lagu ok gas. Guru loh yg harusnya menjunjung tinggi nilai literasi liat visi misi calon eh malah cuma fomo ikut2an mana paslon yg unggul di Tiktok.,lawaknya teman gue backgroundnya pdidikan pas pemilu pamer jari tinta lagu ok gas guru menjunjung nilai literasi lihat visi misi calon eh fomo ikutan paslon unggul tiktok
@kumparan Ntar ada yg komen sama Perhimpunan Pendidikan dan Guru (P2G) Kayak : Kalah mah kalah aja Anis kalah anis kalah Makan gratis bermanfaat utk semua orang ga prh hdp susah sih lu Ga prh makan pake garam ya? Ga ya?,entar komen perhimpunan pendidikan guru pagi kayak kalah mah kalah anis kalah anis kalah makan gratis bermanfaat orang-orang enggak parah hidup susah lu enggak parah makan pakai garam enggak
@kumparan coba dong YANG MILIH 02 muncul w tantang apa tanggapan kalian tentang ini? kalo PUNYA tanggapan bales komen w ya:),coba memilih muncul tantang apa-apa tanggapan tanggapan balas komen
@kumparan ga ngaruh tetep all in ,enggak ngaruh all
@kumparan Goblokkkk. Kemarin ramai-ramai dukung dengan ketololan sekarang tolak. Emang dasar goblok,goblokkkk kemarin ramairamai dukung ketololan tolak dasar goblok
@kumparan Potong dana BOS? Anggaran utk peningkatan kualitas ilmu pengetahuan ketrampilan peserta didik tidak penting. Yang penting madang! Warbiasah! Oke Gas...Oke Gas!,potong dana bos anggaran peningkatan kualitas ilmu pengetahuan ketrampilan peserta didik tidak madang warbiasah oke gasoke gas
@kumparan temenku guru tp dia pns. dia mendukung program makan siang ini kok walaupun motong dana BOS. udah biarin aja sesama guru aja mereka gak peduli ,temenku guru pns mendukung program makan siang motong dana bos biarkan guru enggak peduli
@kumparan Dana bos kan dana bantuan untuk sekolah masa gk boleh buat muridnya lantas kemana selama ini dana bantuan bos?,dana bos dana bantuan sekolah enggak muridnya lantas kemana dana bantuan bos
@kumparan gue dah males bodoamat ancur ancur lah sekalian reset dri 0,gue deh malas bodoamat hancur hancur reset
@kumparan Nanti juga ada kumpulan orang ngaku guru bilang sangat setuju dana bos buat mangan gratis,kumpulan orang-orang mengaku guru bilang-bilang setuju dana bos mangan gratis
@kumparan Ini aneh.. bukannya kemarin sama kepala2 dinas pendidikan diperintahkan milih paslon........tit....,aneh kemarin kepala dinas pendidikan diperintahkan memilih paslontit
@kumparan Gimana sih ini kalian kan yg pilih kok nolak sih. Katanya gaji ASN naik iyakan @bengkeldodo . Udah dirapatkan sama pak jokowidodo jg kan mz @Tjel0up dimajuin jg tahun e. Ga jd 2029. Jadi 2025.,pilih nolak gaji asn iyakan dirapatkan jokowidodo mas dimajuin tahun-tahun enggak
@kumparan telat banget baru protes sekarang padahal sy yakin mrk juga mayoritas pemilih 02..,telat banget protes mayoritas pemilih
@kumparan Nah silent majority keluar kalian kritik nih program yang kalian bangga banggain padahal masih mentah dari awal ngga buka ruang diskusi dan ngga jelas rencana eksekusinya gimana. Dimana kalian silent majority???,silent majority kritik program bangga banggakan mentah-mentah enggak buka ruang diskusi enggak jelas-jelas rencana eksekusinya dimana-mana silent majority
@kumparan Nah dr guru2 ini ada ga yg milih si gemoy ama si samsul?? Kalau ada rasakanlah..bukannya saya ga punya rasa prihatin sama nasibu guru dan guru honorer yah tp kalian sendiri yg salah pilih..,guru enggak memilih gemoy samsul rasakanlahbukannya enggak prihatin nasibu guru guru honorer salah pilih
@kumparan Silent majority versi guru ada gk?,silent majority versi guru enggak
@kumparan yang bakal paling sengsara guru honorer percaya lah. Belum juga aspirasi di sampaikan udah ada aja wacana gini. blum lagi guru guru TK PAUN RA yang terimbas.,sengsara guru honorer percaya belum aspirasi wacana belum guru guru paun ra terimbas
@kumparan Jogetin aja... di beri pilihan capres guru dosen yg tahu permasalahan dunia pendidikan ga kalian pilih.....,berjoget pilihan capres guru dosen permasalahan dunia pendidikan enggak pilih
@kumparan Kemaren2 juga muncul nih Varian Rasa Original dan Nuansanya Biru2 muda Cem 002 apa iya nanti susu gratisnya ini. https://t.co/0zKKrDDZdp,kemarin muncul varian original nuansanya biru muda apa-apa iya susu gratisnya
@kumparan Huhh Dana bos ga dipakai buat anggaran makan siang gratis aja wali murid Masih disuruh bayar yang sekolah. Bener kan dugaanku. Klo beneran pakai Dana bos Nanti uang sekolahnya naik,huhh dana bos enggak dipakai anggaran makan siang gratis wali murid disuruh bayar sekolah dugaanku benaran pakai dana bos uang sekolahnya
@kumparan PROGRAM SUPER TOLOL tdk mendidik memang wajar dan seharusnya ditolak...! #PresidenBangsat,program super tolol tidak mendidik wajar ditolak
@kumparan Dana bos tuh kadang diselipin buat bayar guru honorer woy karna guru honorer dri pemerintah ga dapet bayaran Jadi pihak sekolah yg bayar Tapi kakak gw padhaal guru honorer malah pilih 02 fak ga jelas bgt mau mampusin kasihan,dana bos kadang diselipin bayar guru honorer woy guru honorer pemerintah enggak bayaran sekolah bayar kakak gue padhaal guru honorer pilih fak enggak jelas-jelas banget mampusin kasihan
@kumparan yess! sana protes sana sampe capek,yess protes capek
@kumparan Kalo sampe bener program ini lanjut pakai BOS kita tau siapa yang melawan guru. https://t.co/dVKusPFYhM,program pakai bos melawan guru
@kumparan Seperti biasanya istana akan membuat persatuan guru2 tandingan yg mendukung program maksi gratis. Style nya rezim selalu dibuat tandingannya (kontra intelligent).. utk mencuci otak rakyat....,istana persatuan guru tandingan mendukung program maksi gratis style rezim tandingannya kontra intelligent mencuci otak rakyat
@kumparan Keliatan ga kompeten,enggak kompeten
@kumparan Nice guru2 kades aja sekali demo langsung diturutin,nice guru kades demo langsung diturutin
@kumparan ya patungan orang tua murid. kan rata² pendukung makan siang geratis,patungan orang-orang tua murid pendukung makan siang geratis
@kumparan Lah Dana BOS aja buat anggaran konsumsi guru aja gk boleh dulu lah sekarang kok malah dibakai buat makan siang gratis siswanya aneh,dana bos anggaran konsumsi guru enggak dibakai makan siang gratis siswanya aneh
@kumparan Cmiiw dananya bukan 'motong' dari BOS 'biasa' tapi akan ada dana khusus. Tapi iya 02 ini gak pernah kasih penjelasan lengkap teknis pelaksanaan ketika kampange juga begitu tidak ada forum bincang publik. Info yang keluar sekarang dikit2 pula msh blm jelas.,cmiiw dananya bukan motong bos dana khusus iya enggak kasih penjelasan lengkap teknis pelaksanaan kampange tidak forum bincang publik info dikit belum jelas-jelas
@kumparan @TomKillJerry_ ngaruh ga bang guru?,ngaruh enggak bang guru
@kumparan @Ikrar_agung_07 Ga ngaruh... Kelen bisa apa? All inn,agung enggak ngaruh kelen apa-apa all inn
@kumparan Wah guru ga makan nih ,guru enggak makan
@kumparan Nungguin komen yg bilang P2G dibayar sama Anies ,menunggu komen bilang-bilang pagi dibayar anies
@kumparan Kumpulan wali murid minta buku ... Masa kadang ga ada... Kemana-in dana bos... Sekalian ah nuntutnya,kumpulan wali murid buku kadang enggak kemanain dana bos ah nuntutnya
@kumparan 1. lu semua gabisa nolak gur. 2. gabakal berjalan lama. 3. kek yg udah2 aj ,lu enggak bisa nolak gur enggak bakal berjalan kayak
@kumparan @prabowo kan kaya.. masa katanya mau berkorban buat bangsa dan negara kalo jadi presiden bayarin programnya setahun aja g mau,kayak berkorban bangsa negara presiden bayarin programnya setahun
@kumparan Ujung2nya dikibulin juga.,ujungnya dikibulin
@kumparan takut nggak bisa nilep dana bos lagi mereka wkwkwkw,takut enggak nilep dana bos wkwkwkw
@kumparan Aku lagi nunggu berita dari kompas hehe kali aja lebih detail,menunggu berita kompas kali detail
@kumparan Potong dari anggaran gaji pejabat negara aja kali yang dibawah mulu yang jadi korban ,potong anggaran gaji pejabat negara kali dibawah mulu korban
@kumparan ngapain di tolak kemarin banyak yg dijanjiin akan diangkat jdi ASN. nikmati ajalah,mengapai tolak kemarin dijanjiin diangkat asn nikmati ajalah
@kumparan berenti dapet ceperan dana BOS ,berenti ceperan dana bos
@kumparan Nnti jg komen² di platform lain nuduh guru korup kek jdi gk bisa nilep uang ya ,komen platform menuduh guru korup kayak enggak nilep uang
@kumparan Tetiba ada asosiasi guru lainnya yg pro. Dan mengagasnamakan guru seluruh RI :),tetiba asosiasi guru pro mengagasnamakan guru ri
@kumparan tinggal nunggu perhimpunan pendidikan tandingan ,tinggal menunggu perhimpunan pendidikan tandingan
@kumparan Sabar bos... tunggu setelah Oktober 2024,sabar bos tunggu oktober
@kumparan MENURUT TANGGAPAN LU GIMANA DAH TERSERAH https://t.co/5kjqbgQeL9,tanggapan lu deh terserah
@kumparan mending di korupsi dari pada buat makan wkwkwkwk,mending korupsi makan wkwkwkwk
@kumparan Ada BOS aja masih banyak pungutan liar,bos pungutan liar
@kumparan Guru honorer bergantung dr dana bos woyy itupun gk seberapa apalagi bos makin ribet klo dipotong kasihan guru honorer‍,guru honorer bergantung dana bos woyy itupun enggak bos ribet dipotong kasihan guru honorer
@kumparan Lah gimana sih guru ini. Kan enak anak-anak pada bodoh biar gampang dikibulin lagi pake kampanye berkedok bansos.,guru enak anakanak bodoh gampang dikibulin pakai kampanye berkedok bansos
@kumparan lbh baik buat anak dari pd tdk jelas uang habis fiktif,anak-anak tidak jelas-jelas uang habis fiktif
@kumparan Iya mending buat guru yang korup ,iya mending guru korup
 @NewToTheStreet reaches 219M households weekly on two nationwide networks and engages over 1M followers across YouTube LinkedIn Instagram and Facebook. More reach more opportunities! @vincemedia1 Learn more about us https://t.co/2tce7fPrHH #NewToTheStreet https://t.co/Pf5ZQPppXV,reaches households weekly on two nationwide networks and engages over followers across youtube linkedin instagram and facebook more reach more opportunities learn more about us
@kumparan Bapak/Ibu guru yang terhornat kemarin ketika pemilu memilih siapa?,bapakibu guru terhornat kemarin pemilu memilih
@kumparan Dana bos buat bayar guru honorer ya? Hahahahaahah,dana bos bayar guru honorer hahahahaahah
@kumparan Helahhhh dana bos pun selama ini apa dinikmati murid? Yg iya jadi sarang korupsi dan ya apa ngaruh dengan gaji guru?,helahhhh dana bos apa-apa dinikmati murid iya sarang korupsi apa-apa ngaruh gaji guru
@kumparan Gk dipotong aja gaji guru honorer jauh dibawah rata2,enggak dipotong gaji guru honorer dibawah
@kumparan Takut gak bisa dikorupsi ya??,takut enggak dikorupsi
@kumparan Loh kan bagus tah dana BOS juga termasuk program makan gratis untuk anak sekolah. Daripd dananya dibagi2 ke pengajar secara diam2 misalnya ini ga nuduh ya :). Nah loh pilih mn?,bagus teh dana bos program makan gratis anak-anak sekolah daripd dananya dibagi pengajar diam-diam enggak menuduh pilih
@kumparan Soalnya dana BOS sendiri biasanya malah dipakai oknum guru buat dirinya sendiri atau untuk mempercantik sekolah. Mana mau mereka mikirin para murid2 yg kelaperan,dana bos dipakai oknum guru mempercantik sekolah memikirkan murid kelaperan
@kumparan dana boz bisa d makan guru dana makan gratis dimakan murid,dana boz makan guru dana makan gratis dimakan murid
@kumparan Jelas menolak keras .....soalnya dana bos banyak yang di selewengkan.....oleh oknum guru,jelas-jelas menolak keras dana bos selewengkanoleh oknum guru
@kumparan Coba cek di daerah masing kira kira dana bos itu perbulan berapa...? Dalam 1 sekolah berapa siswa yang dapat kebayang gx berapa duit yang di pangkas para oknum guru....makanya menolak makan siang gratis dari dana bos soalnya gx dapet uang jajan lagi oknum guru,coba cek daerah dana bos perbulan sekolah siswa terbayang enggak duit pangkas oknum gurumakanya menolak makan siang gratis dana bos enggak uang jajan oknum guru
@kumparan Cieee yg di janjiin di naekin gajinya..udah milih malah protes..hahaha,cie janjiin naekin gajinyaudah memilih proteshahaha
@kumparan Bos buat sekolah juga ngak sih,bos sekolah enggak
@kumparan Wajar bos di tolak sumber pendapat guru dri situ yg pling gede ,wajar bos tolak sumber pendapat guru situ gede
@kumparan EMG dana bos masih ada klo ada kemana selama ini,dana bos kemana
@kumparan Setujuuu,setuju
@kumparan Siapa itu P2G..? Baru dengar nama organisasi guru yg satu ini,pagi dengar nama-nama organisasi guru
@kumparan Tolong gurunya itu dikasih paham. Waktu dan tempat kami persilahkan buat timses atau relawan.,tolong gurunya dikasih paham persilahkan timses relawan
@kumparan All in kok nolak,all nolak
@kumparan siap-siap ada hukum yang jelas bagi siapa saja yang menghalang-halangi Proyek Strategis Nasional..,siapsiap hukum jelas-jelas menghalanghalangi proyek strategis nasional
@kumparan Makan tu program prabroro,makan program prabroro
@kumparan All in two,all two
@kumparan Ditolak tapi diipilih kurang edan apa lagi,ditolak diipilih edan apa-apa
@kumparan Nanti uang yg ditilep berkurang heleh g pusat g akar sama aja kontol.,uang ditilep berkurang heleh pusat akar kontol
@kumparan awas om... nanti hilang loh...,awas om hilang
@kumparan the rill mengatasi masalah dengan masalah.,the rill mengatasi
@kumparan Bukannya para guru banyak yg pilih 02 ?,guru pilih
@kumparan Menangislah kau kan juga manusia (yang jadi guru) awikwok,menangislah kau manusia guru awikwok
@kumparan Ya yang gak milih kena imbasnya kan kasian mending limpahin noh ke guru yang memilih melanjutkan kesengsaraan. Bukan masalah kalo pilih yang lain apa menjamin? Ya makanya buka matanya buat liat bukti kinerja yang lain sebelum kemakan fitnahan,enggak memilih kena imbasnya kasihan mending limpahin noh guru memilih melanjutkan kesengsaraan bukan pilih apa-apa menjamin buka matanya lihat bukti kinerja termakan fitnahan
@kumparan Janganlah jadi hilang duit makan makan untuk sekolah,hilang duit makan makan sekolah
@kumparan lagian siapa sih yg ngasih ide uang makan gratis pake dana bos ga mikir berkepanjangan anjir,mengasih ide uang makan gratis pakai dana bos enggak mikir berkepanjangan anjir
@kumparan Ya udah dasar orangtuanya yg bodoh milih capres nya ,dasar orangtuanya bodoh memilih capres
@kumparan Aduh jadi keinget tmn gw blg ke guru guru buat pilih 02 karna 02 paling tulus gemoy wkwkw,aduh teman gue guru guru pilih tulus gemoy wkwkw
