full_text,topic,processed,predicted_label_CNN,predicted_probability_CNN,predicted_label_CNN_LSTM,predicted_probability_CNN_LSTM,Prediksi Responden
@ohmybeautybank aku pake ini nggak ada masalah apa-apa di kulit wajah ku yang oily cukup melembabkan ringan juga. tapi giliran aku pake moist lokal malah jerawatan mulu padahal selama pake moist cosrx ini nggak pernah jerawatan mukanya bersihan juga,3,pakai tidak_apapa kulit wajah ku oily lembab ringan gilir pakai memoist lokal jerawat mulu pakai memoist cosrx tidak_jerawat muka bersih,Negatif,[0.559693],Positif,[0.77631927],Positif
pengen nyoba moist cosrx tapi kok lumayan ya harganya ,2,pengin coba memoist cosrx lumayan iya harga,Negatif,[0.73607785],Positif,[0.6088505],
@putrisilwii @ohmybeautybank Kak aroma dari moist cosrx gimana ya? Aku barusan beli dari soco app tapi bau nya agak apek. Kata adminya formula baru.,4,kak aroma memoist cosrx iya barusan beli soco bau apek kata-kata adminya formula,Negatif,[0.9084219],Positif,[0.522542],Negatif
@imintyu @ohmybeautybank Bener bangeeeet aku mau ganti cosrx ke Hyalupure. Soalnya makin ke sini moist cosrx rasanya bikin kulit sumuk rada panas,4,benar banget ganti cosrx hyalupure memoist cosrx kulit sumuk rada panas,Negatif,[0.55313694],Positif,[0.656184],Negatif
@ohmybeautybank type kulit ku juga kering nder pernah juga ngelupas di deket bibir terus aku pake moist cosrx snail all in one cream sampe skrg udh gapernah ngelupas lagi karena dia melembabkan bgt,1,type kulit ku kering dar lupas bibir pakai memoist cosrx snail al one cream enggak pernah lupas lembab banget,Negatif,[0.68668425],Positif,[0.56012064],Positif
@ohmybeautybank cobain pake moist cosrx yg oil free itu nder aku dulu rajin pake itu alhamdulillah bersih sampe skrg,4,coba pakai memoist cosrx oil fre dar rajin pakai alhamdul bersih,Positif,[0.8168385],Negatif,[0.5919188],Positif
Btw baru pake moist cosrx enak bgt Gk dari dulu bjir (yayalah mahal) (tp irit),2,btw pakai memoist cosrx enak banget tidak_bjir yayalah mahal irit,Positif,[0.8494775],Negatif,[0.542098],Positif
@beautales_ pas paket moist cosrx punyaku dateng langsung aku pake dan DUAR paginya jerawat aku kering dan kempes semua terus tekstur kulit membaikk. sempet galau mau beli karna harganya yang agak mahal tapi pas uda beli ga menyesal sama sekali wehhh,2,pas paket memoist cosrx langsung pakai duar pagi jerawat kering kempes tekstur kulit baik galau beli harga mahal pas beli tidak_sesal weh,Negatif,[0.51861143],Positif,[0.66500634],Positif
@beautales_ Plis cakep banget kulitnya udah dari lama mau pake moist cosrx ,4,plis cakep banget kulit pakai memoist cosrx,Negatif,[0.58039606],Positif,[0.7744002],Positif
@beautales_ aku juga pake moist cosrx yg oil skin enak sih sejauh ini,3,pakai memoist cosrx oil sk enak,Positif,[0.62425464],Negatif,[0.50758415],Positif
@lannstyles Ril. Sama gara-gara nyoba exfo. . Mana moist cosrx lembab banget. Jadi ga sembuh-sembuh.,2,ril garagara coba exfo memoist cosrx lembab banget tidak_sembuhsembuh,Negatif,[0.5624738],Positif,[0.6817126],Positif
@gottaluvinnie Kombinasi ya? Mungkin bisa coba moist cosrx yg inii tipe kulit kita sama dan aku udh pake ini selama 2 bulan and menurut aku bagus kok. Agak sedikit pricy tapi worth the money dan karena isinya sebanyak 100ml ini habisnya bakal lama sih https://t.co/z7QLM1CG1Q,2,kombinasi iya coba memoist cosrx tipe kulit pakai and bagus pricy worth the money isi ml habis,Positif,[0.5821842],Negatif,[0.5082989],Positif
gue ga bakal bosen buat recommend ke orang buat nyobain moist cosrx warna biru,0,gue tidak_bosan recomend orang-orang coba memoist cosrx warna biru,Positif,[0.8228779],Negatif,[0.51393276],Positif
@convomfs moist cosrx udah cocok aja pake itu,2,memoist cosrx cocok pakai,Negatif,[0.6087905],Positif,[0.78166103],Positif
@ohmybeautybank MOIST COSRX COBAIN RILL aku udah abis 3 tube dulu pernah break out trs mostly ditolongin sama moist ini habisnya lama 8 bulan di aku tp sayangnya banyak palsunya trs aku pernah kegocek dan break out lagi https://t.co/5IYdx5GDhj,1,memoist cosrx coba ril habis tube break out mostly tolong memoist habis sayang palsu gocek break out,Negatif,[0.71418655],Positif,[0.64955676],Positif
Seneng bgt semenjak pake moist cosrx yg ini seharian beneran tahan muka berminyak knp aku baru pake ya huhu sungkem sama yg buat https://t.co/Pa7gsXRJTT,2,senang banget semenjak pakai memoist cosrx benar tahan memuka-muka minyak pakai iya huhu sungkem,Positif,[0.503574],Negatif,[0.60874766],Positif
@ohmybeautybank Kulitku berminyak berjerawat dan aku juga pakai moist cosrx. Untuk sunscreennya aku pakai ini. Udah repurchase sampai 3 tube review pemakaian pribadi. Formula terbaru gk perih kalau kena jerawat dan under eye. Teksturnya gel lotion ringan bgt gk ada whitecast dan lembabnya jg https://t.co/xdpJeyl5uN,3,kulit minyak jerawat pakai memoist cosrx sunscrenya pakai repurchase tube review pakai pribadi formula tidak_perih kena jerawat under eye tekstur gel lotion ringan banget tidak_whitecast lembab,Negatif,[0.5606064],Positif,[0.7144544],Positif
tanya udah oke belum moist cosrx segini? ini dpt cb 42k https://t.co/AVyfwa917o,1,oke belum_memoist cosrx segin coba,Negatif,[0.565314],Positif,[0.6394236],Positif
@ohmybeautybank Moist cosrx si penyelamat bo ku https://t.co/MnQgDrcT8b,4,memoist cosrx penyelamat bo ku,Negatif,[0.62727296],Positif,[0.5803702],Positif
@0912babies @ohmybeautybank iya moist Anua tergolong lebih baru sih ketimbang moist cosrx. Kebetulan aku udah pakai keduanya kalau aku jujur prefer Anua. Tapi karena lebih ke texture dan finishnya. si COSRX itu lumayan berat dan bikin sumuk di aku. Krn kondisi kulit ya,4,iya memoist anua golong ketimbang memoist cosrx pakai jujur prefer anua texture finish cosrx lumayan berat sumuk kondisi kulit iya,Negatif,[0.602864],Positif,[0.55249745],Positif
dari dulu ga pernah muncul beruntus putih ini dee kalo pake moist cosrx walaupun panas2an jg . tp skrg emg panas bgt sih dan sering kena panas,2,kulit ku kering dar pakai rangkai skincare kd lembap kulit works lembap memoist cosrx sk aqua,Negatif,[0.8296169],Positif,[0.5228469],Positif
@ohmybeautybank Ada yang pake moist cosrx yang cream snail mucin nggak? Di aku kok finisnya agak panas ya dimuka tapi emang bikin calming sih.,1,pakai memoist cosrx cream snail memuc tidak_finis panas iya muka calming,Negatif,[0.589918],Positif,[0.51642346],Positif
@ohmybeautybank Aku dari skintific ganti ke eiem. Waktu itu nyoba moist cosrx sama originote gada yang cocok trus nyoba eiem ternyata cocok dan teksturnya juga mirip sama skintific,2,skintific ganti eiem coba memoist cosrx originote enggak ada cocok coba eiem nyata cocok tekstur skintific,Negatif,[0.5404471],Positif,[0.6567627],Positif
@abibilabil @ohmybeautybank Aku jg kurang tau kak Alhamdulillah kalau di kulitku yg berminyak berjerawat sih gk nimbulin purging baik moist cosrx maupun elformula,1,kak alhamdul kulit minyak jerawat tidak_timbul purging baik memoist cosrx elformula,Negatif,[0.5387669],Positif,[0.75183415],Positif
@beautales_ @ohmybeautybank kak ini pure cuma pake moist cosrx aja membaik gini? boleh spill skincare lainnya?,2,kak pure pakai memoist cosrx baik spil skincare lai,Negatif,[0.5618778],Positif,[0.5851551],Positif
@feibruary @ohmybeautybank aku kurang tau sih kak kalo cosrx dipake barengan gimana karena jujur belom pernah coba moist cosrx: tapi aku sendiri kalo pagi pake skin game watery (karena ringan gabikin longsor make up) kalo malem pake somethinc calm down aman banget,1,kak cosrx pakai bareng jujur belum_coba memoist cosrx pagi pakai sk game watery ringan gabikin longsor pakai up malam pakai somethinc calm down aman banget,Negatif,[0.7190864],Positif,[0.60583586],Positif
@ohmybeautybank Pengen cocok deh tp sayangnya ga cocok pake moist cosrx :(,2,pengin cocok deh sayang tidak_cocok pakai memoist cosrx,Negatif,[0.8116814],Positif,[0.5710844],Negatif
@Itoshisaev Halo kak aku ada moist cosrx oil free https://t.co/G03CfCArHH,4,halo kak memoist cosrx oil fre,Positif,[0.6512301],Negatif,[0.5846887],Positif
@juststaycoolbye Moist cosrx oil free 192ribu aja kak,4,memoist cosrx oil fre ribu kak,Positif,[0.54079753],Negatif,[0.6297139],Positif
@eyooo_faaar @ohmybeautybank wah maaf bgt engga kak. karena waktu itu aku pure cuma cuci muka dan itupun pake sabun badan aku (jgn ditiru yaa karena kurang baik). tapi kalau sekarang aku pake fw kleveru moist cosrx oil free ss skinaqua.,4,far maf banget enga kak pure cuci memuka-muka pakai sabun badan jangan_tiru iya baik pakai fw kleveru memoist cosrx oil fre skinaqua,Positif,[0.8230303],Negatif,[0.55247974],Positif
dari dulu ga pernah muncul beruntus putih ini dee kalo pake moist cosrx walaupun panas2an jg . tp skrg emg panas bgt sih dan sering kena panas,2,tidak_muncul beruntus putih dek pakai memoist cosrx panas panas banget kena panas,Negatif,[0.80051905],Positif,[0.61726815],Positif
@sweetsshella Aku ada moist cosrx mini 45k after voc live,0,memoist cosrx mini after voc live,Negatif,[0.5758482],Positif,[0.82122093],Positif
weh kok org2 bisa pake moist cosrx nya pd tahan2 deh ini gue baru sebulan dah mau setengah KSJDNSSNKSS plis jgn cepet2 habisnya dompet saya kering,4,weh orang pakai memoist cosrx tahan deh gue sebul deh ksjdnsnks plis jangan_cepat habis dompet kering,Positif,[0.51400244],Negatif,[0.7302077],Negatif
@pinaplepizza_ @UGM_FESS moist cosrx oil free ss azarine setting spray luxcrime bedak luxcrim two way cake maskara pinkflash lip lipan ganti ganti aku pake azarine emina sama somethinc udah itu aja sih kak,0,fes memoist cosrx oil fre azarine ting spray luxcrime bedak luxcrim two way cake maskara pinkflash lip lipan ganti ganti pakai azarine emina somethinc kak,Positif,[0.57177997],Negatif,[0.6088743],Positif
@ohmybeautybank Moist cosrx yg snail cinta bgt gapernah nyesel,4,memoist cosrx snail cinta banget enggak pernah sesal,Negatif,[0.6927732],Positif,[0.5146506],Positif
Mending moist cosrx oil free atau snail? Aku baru nyoba oil free sih so far bagus aja tapi pengen nyoba yg snail:),4,mending memoist cosrx oil fre snail coba oil fre sok far bagus pengin coba snail,Positif,[0.7436192],Negatif,[0.65278745],Positif
@ohmybeautybank Aku udh abis 3 botol ga ngaruh apa2 di mukaku malah kdg terasa makin minyakan begitu aku ganti moist cosrx lgsg terasa ada perubahannya sampe kukira mukaku sebadak itu ternyata emg belum nemu yg cocok aja,3,habis botol tidak_mengaruh apa-apa muka kadang asa meminyak-minya ganti memoist cosrx langsung asa perubahanya muka badak nyata belum_nemu cocok,Negatif,[0.725933],Positif,[0.6905941],Positif
@ohmybeautybank Aku pake moist cosrx itu bagus nder lembab mana awet pol ngga abis abis,3,pakai memoist cosrx bagus dar lembab awet pol tidak_habis habis,Negatif,[0.5381734],Positif,[0.5779753],Positif
@ohmybeautybank moist cosrx MUKA KU JD HALUSSSS BANGETTT jarang jerawatan juga dan lembabbbb. Btw st ku normal to dry,2,memoist cosrx memuka-muka ku halus banget jarang jerawat lembab btw st ku normal dry,Negatif,[0.79897094],Positif,[0.6359694],Positif
@ohmybeautybank menurutku moist cosrx pure cuma buat melembabkan kalau buat redness sama jerawat gaterlalu ngefek,2,memoist cosrx pure lembab rednes jerawat gaterlalu fek,Negatif,[0.7322797],Positif,[0.86480635],Positif
@ohmybeautybank KAK KM HARUS NYOBA DEHH. Aku make moist cosrx itu bruntusanku ilang+ jarang jerawatan ngelembabin bgt di kulitku yg normal to dry. Mana awet banget. Aku beli bulan nov/des masih setengah botol ya walaupun makenya rada hemat si 2-3 pump tapi cukup kok buat semuka,2,kak coba deh pakai memoist cosrx bruntusanku hilang jarang jerawat lembab banget kulit normal dry awet banget beli novdes botol iya memake rada hemat pump muka,Negatif,[0.70493424],Positif,[0.6269914],Positif
@ohmybeautybank di kulitku yg oily to sensitive moist cosrx ngerasa kek berat &amp; sumuk gitu nderr,3,kulit oily nsitive memoist cosrx kayak berat sumuk dar,Positif,[0.6758752],Negatif,[0.50143766],Negatif
@ohmybeautybank wkkwkw orgnya itu2 aja bener nderrr. Smpe ada yg gue blok karena tiap mf selalu aja ada komennya udh gitu ripyu gitu2 mulu wkwkk gue br beli moist cosrx kemaren nder br pake sehari wanginya teatree bgttt dan asli ga bikin muka jd kilang semoga cocok di kulit gue yg oily acne prone ini,3,wkwkw orgnya benar dar gue blok maaf komenya ripyu memulu wkwk gue beli memoist cosrx kemarin dar pakai sehari wangi teatre banget asli tidak_memuka-muka kilang moga cocok kulit gue oily acne prone,Negatif,[0.77005],Positif,[0.572801],Positif
@ohmybeautybank Aku pake moist cosrx ini st ku oily acne. B aja sih ngelembabin cuma gak ngefek ke jerawat. Malah di aku kelar pake cenderung berminyak,3,pakai memoist cosrx st ku oily acne lembab tidak_fek jerawat kelar pakai cenderung minyak,Negatif,[0.82574373],Positif,[0.61241734],Positif
@ohmybeautybank aku pernah nyoba bentar moist cosrx yg travel size di kulit kering kombinasi hasilnya malah bikin agak minyakan(?) tapi ngaruh lembabin dikit sih,1,coba bentar memoist cosrx travel size kulit kering kombinasi hasil meminyak-minya mengaruh lembab dikit,Negatif,[0.915631],Positif,[0.6240715],Positif
@ohmybeautybank Di aku moist cosrx lumayan bisa ngilangin bruntusan Tapi lama progresnya sekitar 5bulanan,4,memoist cosrx lumayan hilang bruntus progres,Negatif,[0.8337635],Positif,[0.6252887],Positif
@ohmybeautybank Aku pernah pake moist cosrx sebotol karena sayang kalo ga dihabisin tapi jujur di kulit aku rasanya agak berat dan bikin makin berminyak ngeresapnya juga lama ,1,pakai memoist cosrx botol sayang tidak_habis jujur kulit berat minyak resap,Negatif,[0.70920694],Positif,[0.61547875],Negatif
@ohmybeautybank kak aku uda make moist cosrx ini -+ 4 bulanan dan masi ada sisah ¾ botol selama pemakaian ini sih aku rasa kelembab an nya mantulll bgt type kulitku sensitive oily jarang ada moist yg cocok tanpa purging tapi ini bisa langsung cocok. aku juga keracunan dari base hehehe,1,kak pakai memoist cosrx sisah botol pakai lembab an pantul banget type kulit nsitive oily jarang memoist cocok purging langsung cocok racun base hehehe,Negatif,[0.5674058],Positif,[0.74157],Positif
@ohmybeautybank buat gue ini benda ajaib sih gue oily acne prone semenjak pake ini muka gue jd plumpy jarang bgt jerawatan (nangis bahagia) pakenya pas malem aja pernah coba pake pagi malah muncul jerawat btw skincare gue cuma fw moist cosrx ini retinol sm cosrx snail cream,2,gue benda ajaib gue oily acne prone semenjak pakai memuka-muka gue plumpy jarang banget jerawat tangis bahagia pake pas malam coba pakai pagi muncul jerawat btw skincare gue fw memoist cosrx retinol cosrx snail cream,Negatif,[0.6897304],Positif,[0.7788731],Positif
@ohmybeautybank st ku oily acne prone dan waktu pake moist cosrx ini rasanya sumuk susah nyerep juga di aku. pakenya harus dikiiitt banget kalau kulitmu berminyak nder. selama aku pake sih gak ngaruh apa-apa malah makin berminyak https://t.co/6mKrXZHUxx,3,st ku oily acne prone pakai memoist cosrx sumuk susah serap pake dikit banget kulit minyak dar pakai tidak_mengaruh apapa minyak,Positif,[0.5467137],Negatif,[0.64049983],Negatif
@ohmybeautybank di aku moist cosrx bagus nder udah pake bertahun2. st oily acne prone,3,memoist cosrx bagus dar pakai st oily acne prone,Positif,[0.58264184],Negatif,[0.5169282],Positif
@ohmybeautybank akuu oily skin gonta ganti moist merk lokal gaada yg cocok trs pake moist cosrx ini cocok bgt. calming parah ga yang aneh aneh. emang pas awal awal make tu berasa agak sumuk tp udah 2bulanan make biasa ajaa. udah botol keduakuuu aku pake dari desember 2022,1,oily sk gonta ganti memoist merk lokal enggak ada cocok pakai memoist cosrx cocok banget calming parah tidak_aneh aneh pas pakai asa sumuk pakai botol keduaku pakai desember,Negatif,[0.7448822],Positif,[0.6996281],Positif
@ohmybeautybank Moist cosrx berminyak gasuka,2,memoist cosrx minyak gasuka,Negatif,[0.5837221],Positif,[0.64004123],Negatif
@ohmybeautybank Aku st normal to oily enak sih pake moist cosrx ini kerasa lembab. Tapi di aku ada sensasi 'gerah' habis pake nya. Harus ditunggu beberapa menit dulu. Kalo efek menurutku ya bikin lembab dan nggak bikin beruntusan. Nggak ada efek wah gimana gitu,3,st normal oily enak pakai memoist cosrx lembab sensasi gerah habis pakai tungu menit efek iya lembab tidak_beruntus tidak_efek,Negatif,[0.6591026],Positif,[0.690459],Positif
@ohmybeautybank Aku pake moist cosrx juga nder..bagus dikulitku yang oily. Jangan kebanyakan ya pakenya..soalnya kalo kebanyakan malah bikin berat diwajah,4,pakai memoist cosrx nderbagus kulit oily jangan_banya iya pakenyasoalnya banya berat wajah,Negatif,[0.7362391],Positif,[0.708603],Positif
@ohmybeautybank Mnurut aku moist cosrx ini b aja si ga yg wah,3,mnurut memoist cosrx tidak,Negatif,[0.638747],Positif,[0.5675973],Positif
@ohmybeautybank Aku pake moist cosrx ini dari jaman SMA dulu sampe sekarang hasilnya muka ku glowing jarang banget jerawatan. semua skincareku pake cosrx btw,2,pakai memoist cosrx jaman hasil memuka-muka ku glowing jarang banget jerawat skincareku pakai cosrx btw,Negatif,[0.81876004],Positif,[0.5177651],Positif
@ohmybeautybank oke sih moist cosrx jidatku jadi ga gampang bruntusan cuma ya selain itu cuma ngelembapin aja st aku normal to oily,3,oke memoist cosrx jidat tidak_gampang bruntus iya lembap st normal oily,Negatif,[0.7720162],Positif,[0.5429584],Positif
@ohmybeautybank bagus nder aku pake 2x mana abis nya lama oiya aku sempet break out parah sampe gak pake skincare apapun di saranin dokter kulit tapi karena kulit aku nya kalo abis cuci muka kering aku pake moist cosrx ini selama masa sembuh bagus banget rekomended buat acne,3,bagus dar pakai habis oiya break out parah tidak_pakai skincare saran dokter kulit kulit habis cuci memuka-muka kering pakai memoist cosrx sembuh bagus banget rekomended acne,Negatif,[0.6087557],Positif,[0.6238198],Positif
@ohmybeautybank ini moist cosrx beneran sebagus itu buat ngelembabin muka tapi bau nya kaya wipol? kek pas awal awal make tuh kenceng bgt baunya tapi lama kelamaan hidung gw udh kebiasa sama baunya jd ya biasa aja beli 1 botol bisa sampe 7-8 bulan beneran seawet itu pake cosrx inii,2,memoist cosrx benar bagus lembab memuka-muka bau kayak wipol kayak pas pakai kencang banget bau kelam hidung gue bau iya beli botol benar awet pakai cosrx,Negatif,[0.71912986],Positif,[0.5498995],Positif
@ohmybeautybank bagusss bgt buat skin barrier ak yg rusak pas magang kmrnn tuu krn cuaca bengkalis panaass bangettt jd pas pake moist cosrx ini bnr bnr ap y terbarui lah muka guweh tp gue skrg dh ganti soalnya dia ga cocok didompet guweh,1,bagus banget sk barier rusak pas magang kemarin cuaca bengkalis panas banget pas pakai memoist cosrx benar benar memuka-muka guweh gue deh ganti tidak_cocok dompet guweh,Negatif,[0.6719639],Positif,[0.50435317],Positif
@ohmybeautybank Waktu umur 20an akhir moist cosrx ini bagus banget pas oily skin tapi kalo lagi dehidrasi dan karena umur menjelang 30an ganti tipe kulit moist ini kurang melembabkan. meski udah make snail mucinnya cosrx. Intinya kalo oily skin moist ini bagus dicombo snail mucin mukanya jadi cerah,4,umur an memoist cosrx bagus banget pas oily sk dehidrasi umur jelang an ganti tipe kulit memoist lembab pakai snail memuc cosrx inti oily sk memoist bagus dicombo snail memuc muka cerah,Negatif,[0.50301695],Positif,[0.86414355],Positif
@ohmybeautybank gue cocok pake moist cosrx ini kulit jd lebih lembab alus suka pake ini buat skin prep trus makeup jd alus klo buat mencerahkan ngga sih di aku buat perbaiki skin barrier aja kalo temen gue make ini ga cocok katanya make ini jerawat malah muncul jd cocok2an sih coba trial aja dlu,2,gue cocok pakai memoist cosrx kulit lembab alus suka pakai sk prep memakeup alus cerah tidak_baik sk barier teman gue pakai tidak_cocok pakai jerawat muncul coco coba trial,Negatif,[0.52161896],Positif,[0.5769215],Positif
@ohmybeautybank Menurutku moist cosrx ga ringan malah bikin kusam dan berminyak pdhl yg aha bha cocok Kulitku berminyak btw tapi cocok2an ya nder,3,memoist cosrx tidak_ringan kusam minyak aha bha cocok kulit minyak btw coco iya dar,Positif,[0.5092366],Negatif,[0.5763879],Negatif
@ohmybeautybank aku sama ibuku pake moist cosrx ini nder. skin type kita sama sama normal to oily acne prone. enak banget dia ringan gitu trus lumayan mengatasi minyak berlebih di muka dan semenjak pakai ini muka ku mulai kalem lagi. tadinya jerawatnya banyak trus sakit ampun ampunan https://t.co/fMDml8htYt,3,ibuku pakai memoist cosrx dar sk type normal oily acne prone enak banget ringan lumayan minyak memuka-muka semenjak pakai memuka-muka ku kalem jerawat sakit ampun ampun,Negatif,[0.7687124],Positif,[0.54925656],Positif
@ohmybeautybank Di kulit aku yg dry moist cosrx ga cocok huhuuu bikin jerawat mendem dan kulit jadi kusem bgt:(,2,kulit dry memoist cosrx tidak_cocok huhu jerawat mendem kulit kusam banget,Negatif,[0.618856],Positif,[0.59823227],Negatif
@ohmybeautybank Di aku moist cosrx b aja. Bukan yg kerasa progressnya bgt. Kadang bikin kusam malah kalo lagi aktivitas banyak. Terus juga jerawatku tetep muncul kek biasa . Karena dia b aja akhirnya aku juga ganti ke moist yang lebih murah karena hasilnya ga beda jauh,3,memoist cosrx bukan_progres banget kadang kusam aktivitas jerawat muncul kayak ganti memoist murah hasil tidak_beda,Negatif,[0.6723721],Positif,[0.5248288],Negatif
@ohmybeautybank Lagi nyoba udh mau seminggu tpi udh keliatan efeknya kyk jerawat yg lgi mateng2nya 2 hari aj kering trs kmpes bjirr gk nyangka sebagus moist cosrx itu pdhl ak g pake obat jerawat apapun loh bnran cmn cuci muka - toner skin1004 -moist ini - Sunscreen pagi hri klo mau keluar. Nglembabin bgt jg,4,coba mingu lihat efek kayak jerawat mateng kering kmpes bjir tidak_sangka bagus memoist cosrx pakai obat jerawat benar cuman cuci memuka-muka toner sk memoist sunscren pagi menglembab banget,Negatif,[0.7372508],Positif,[0.6703083],Positif
@ohmybeautybank aku sudah pake sampe tube ke-3 (dr yang harga masih dpt under 200k) sampe skrg di shopee terakhir 239k. menurutku moist cosrx ini bikin lembab dan cepet nyerap. kl kamu pake sblm make up ini ga bikin becek/make up jd ga nempel. udh works juga kupake di SA pas lg musim dingin &amp; kering,1,pakai tube harga under shope memoist cosrx lembab cepat serap pakai belum_pakai up tidak_becekmake up tidak_tempel works kupake sa pas musim dingin-dingin kering,Negatif,[0.8057479],Positif,[0.53520364],Positif
@ohmybeautybank st aku combi dry to sensitive moist cosrx ini sebenernya mah bagus bagus aja tapi di aku yang st nya pref dry dia sangat amat berat dan bikin gerah apalagi kalo dipake siang tapi kayanya tergantung orang juga sih nder,3,st combi dry nsitive memoist cosrx benar mah bagus bagus st pref dry berat gerah pakai siang kaya gantung orang-orang dar,Positif,[0.73511434],Negatif,[0.50705504],Negatif
@ohmybeautybank moist cosrx emg nglembab in tapi cuma nglembab in doang udah,2,memoist cosrx nglembab menglembab doang,Negatif,[0.77000695],Positif,[0.66328466],Positif
@ohmybeautybank Ini moist cosrx bagus banget Udah gada kata lain sih Tp dia memang buat melembabkan aja dan bikin kulit anteng. Gada efek mencerahkan atau lainnya,2,memoist cosrx bagus banget enggak ada kata-kata lembab kulit anteng enggak ada efek cerah lai,Negatif,[0.57460135],Positif,[0.6489837],Positif
@ohmybeautybank moist cosrx yg oil free tuh jadi bruntusan,4,memoist cosrx oil fre bruntus,Positif,[0.6490201],Negatif,[0.5069791],Negatif
@celestialmorax Daging babi merah ga enak... Kok bisa suka... Karena merah warna cinta nasi gorengnya dikasi moist cosrx yang free oil aja.. biar bisa mencerahkan muka dan ga minyak doang hahaha... Maaf ya,3,daging babi merah tidak_enak suka merah warna cinta nasi goreng kasi memoist cosrx fre oil cerah memuka-muka tidak_minyak doang hahaha maf iya,Positif,[0.741086],Negatif,[0.50890416],Negatif
@ohmybeautybank tahun lalu aku juga gini aku cmn pake moist skintific bnrn mendingan banget ada efek nenanginnya. Tapi udh g pake sekarang lg coba moist cosrx sii. Ini buat perbedaan muka tahun lalu dan hari ini https://t.co/oeWe7kcRCh,2,tahun-tahun cuman pakai memoist skintific benar mending banget efek tenang pakai coba memoist cosrx bad memuka-muka tahun-tahun,Negatif,[0.7400694],Positif,[0.61390716],Positif
@Prknaera12 Wkwk corsx salah se huruf aja bisa mirip ya. Gue kalo beli disini atau soco itu asli bukan kawe. moist cosrx emang bagus di gue https://t.co/4wSNFZl0YF,3,wkwk corsx salah huruf iya gue beli soco asli bukan_kawe memoist cosrx bagus gue,Negatif,[0.891859],Positif,[0.5749918],Positif
2. moist COSRX Oil Free Ultra Moisturizing Lotion Agak mahal buatku tapi gede dan katanya awet ampe 6 bulan baru² ini sih makenya so far enak² aja tapi baunya kayak bau rumah sakit. https://t.co/PmHE3whGYc,4,memoist cosrx oil fre ultra memoisturizing lotion mahal gede awet memake sok far enak bau kayak bau rumah sakit,Positif,[0.5900718],Negatif,[0.6998029],Negatif
