full_text,processed
Dalam 2 bulan terakhir kebijakan yang sudah diteken level menteri terus dibatalkan karena viral dan ribut: 1. Aturan bawa barang dari LN (Permendag) 2. Kenaikan UKT (Permendikbud) Butut banget proses policy-makingnya. Mau heran tapi ini Wakanda.,kebijakan diteken level menteri dibatalkan viral ribut aturan bawa-bawa barang ln permendag kenaikan ukt permendikbud butut banget proses policymakingnya heran wakanda
Cek: UKT FKUI S1 2024/25 Kelompok 1: 500 ribu Kelompok 2: 1 juta Kelompok 3: 12.5 juta Kelompok 4: 17.5 juta Kelompok 5: 20 juta Itu yang mampu bayarnya 4 juta atau 6 juta dikemanain? Kaya kelompok 1 sama 2 itu formalitas aja demi yang punya SKTM/KIP. Kelas menengah ke bawah?,cek ukt fkui kelompok ribu kelompok juta kelompok juta kelompok juta kelompok juta bayarnya juta juta dikemanakan kayak kelompok formalitas sktmkip kelas menengah
 UKT mahal supaya dosen tidak underpaid. Kalimat lucu.,ukt mahal dosen tidak underpaid kalimat lucu
Nadiem: Seharusnya Tak Ada Mahasiswa yang Gagal Kuliah karena UKT https://t.co/cW6nZmEbcp,nadiem mahasiswa gagal kuliah ukt
BPJS Disesuaikan (kelas 3 dihapus) PPN Naik ke 12% UKT Naik (publik protes keras ditunda setahun) Pertalite dihapus TDL Naik LPG (akan) Naik Sembako Naik Rakyat harus bayar Tapera 3% gaji Semua demi Utang Naik ?! #Nalar https://t.co/8qxT8dpS1X,bpjs disesuaikan kelas dihapus ppn ukt publik protes keras ditunda setahun pertalite dihapus tdl lpg sembako rakyat bayar tapera gaji utang
Calon mahasiswa jalur prestasi sampe mundur gara2 UKT tinggi Nadiem KNTL https://t.co/DPCJNzPUJn,calon mahasiswa jalur prestasi mundur gara-gara ukt nadiem kntl
 kalo bisa ngulang tahun2 kuliah apa yg bakal kamu ubah? aku bakal: - lebih banyak magang - ga ikut2an temen buat daftar kepanitiaan yg sebenernya ga aku minati - nyari beasiswa biar gausah bayar UKT btw cek tweet selanjutnya buat info beasiswa S1 dengan kuota 100 orang! ,ngulang tahun-tahun kuliah apa-apa ubah magang enggak ikutan teman daftar kepanitiaan enggak minati mencari beasiswa enggak usah bayar ukt btw cek tweet info beasiswa kuota orang-orang
Menteri Keuangan Sri Mulyani Indrawati menyampaikan bahwa Dewan Pengawas Lembaga Pengelola Dana Pendidikan (LPDP) saat ini tengah menyiapkan bantuan pinjaman biaya pendidikan bunga rendah untuk mahasiswa (student loan) yang digunakan untuk membayar Uang Kuliah Tunggal (UKT). https://t.co/ltEisSVYsH,menteri keuangan sri mulyani indrawati dewan pengawas lembaga pengelola dana pendidikan lpdp bantuan pinjaman biaya pendidikan bunga rendah mahasiswa student loan membayar uang kuliah tunggal ukt
Kalian menyadari gk sih begitu banyak permasalahan di negara ini 1. Kasus korupsi 2. Kasus Timah 3. Dolar makin tinggi 4. Ukt tinggi 5. Tarif listrik naik 6. Harga sembako naik 7. Perampokan dan pembunuhan Tapi gk ada pernyataan dan solusi dari pemimpin negara ini kenapa ya ?,menyadari enggak permasalahan negara korupsi timah dolar ukt tarif listrik harga sembako perampokan pembunuhan enggak pernyataan solusi pemimpin negara
Abis UKT terbit issue Tapera. Me: https://t.co/Lq0Kq2sGuW,habis ukt terbit issue tapera me
Ini lho saya jadi curiga kenaikan UKT yang masif ini memang disengaja untuk memperbanyak tenaga kerja murah. Rakyat ga boleh kuliah lulusan SMA makin banyak ga punya pilihan selain dibayar murah atau bahkan bekerja informal,lho curiga kenaikan ukt masif disengaja memperbanyak tenaga kerja murah rakyat enggak kuliah lulusan enggak pilihan dibayar murah informal
Ameh bayar ukt mas https://t.co/LKFTaoHxzC,ameh bayar ukt mas
Harus saya akui: belum nemu celah yang saya nggak setuju dari argumen Pak Anies soal justifikasi peran negara dalam biaya kuliah di video ini. Kemarin Presiden terpilih juga sudah keluar statemen kontra UKT tinggi. Semoga bisa disetel ulang deh kebijakannya.,akui belum nemu celah enggak setuju argumen anies justifikasi peran negara biaya kuliah video kemarin presiden terpilih statemen kontra ukt semoga disetel ulang deh kebijakannya
Sebanyak 9 9 juta Gen Z Menganggur di Tahun 2023! Ramai soal UKT yang mahal disusul fakta pahit adanya hampir 10 juta Gen Z menganggur pada 2023. Mereka tidak bekerja dan tidak sekolah. Apa penyebabnya? Sebuah utas https://t.co/QCn842P7s9,juta gen menganggur tahun-tahun ramai ukt mahal disusul fakta pahit juta gen menganggur tidak tidak sekolah apa-apa penyebabnya utas
Ini artinya Kemendikbud harus sgra kirim surat ke seluruh rektor PTN agar membatalkan kenaikan UKT dan melarang mrka naikkan UKT. Rektor2 harus lakukan penghematan extra agar tidak defisit seraya minta Kemdikbud sgra naikkan bantuan dana ke semua PTN. ️️️🇲🇨🇲🇨🇲🇨 https://t.co/zyjBcNsOrs,kemendikbud sgra kirim surat rektor ptn membatalkan kenaikan ukt melarang naikkan ukt rektor lakukan penghematan extra tidak defisit seraya kemdikbud sgra naikkan bantuan dana ptn
angkatan 24 core - UTBK ada isian singkat - waktu UTBK diubah h-7 - UKT naik - jalur mandiri make uang pangkal semua - dblg kuliah tersier - dsuruh pinjol bwat bayar UKT,angkatan core utbk isian singkat utbk diubah ukt jalur mandiri memakai uang pangkal dblg kuliah tersier dsuruh pinjol bwat bayar ukt
Gen Z: Masa kuliah harus bertarung dengan mahalnya UKT. Setelah lulus harus berhadapan dengan kenyataan bahwa cari kerja di sektor formal kian sulit. Jurnalisme data @hariankompas hari ini menurunkan seri liputan ttg mengapa Gen Z susah dapat kerja. https://t.co/8KMKD3Zn3P,gen kuliah bertarung mahalnya ukt lulus berhadapan kenyataan cari kerja sektor formal kian sulit jurnalisme data menurunkan seri liputan gen susah kerja
Diprotes mahasiswa karena biaya UKT naiknya keterlaluan eh malah jawaban pemerintah begini coba. | Narasi Daily https://t.co/exZdB0dmy5,diprotes mahasiswa biaya ukt naiknya eh pemerintah coba narasi daily
Dunia pendidikan kita ini bener-bener ga ada progres. Kalimat Nadiem ini kalimat yang selalu muncul tiap audiensi kenaikan level UKT bareng Rektor kampus. Dari 2013 jawabannya selalu gitu. Ampe mau muntah denger kalimat ini. Tau-tau dari tahun 1992-2020 UKT naik aja 9900% https://t.co/lShqIruAUs,dunia pendidikan benerbener enggak progres kalimat nadiem kalimat muncul audiensi kenaikan level ukt bareng rektor kampus jawabannya muntah dengar kalimat tautau tahun-tahun ukt
TOLONG HARGAI PENGORBANAN ORANG TUA KALIAN JANGAN TIPU MEREKA! Beberapa hari yang lalu ada beberapa orang tua mahasiswa datang ke kampus memohon keringanan UKT untuk anaknya karena katanya dulu sudah mengajukan tapi tidak disetujui oleh universitas.,tolong hargai pengorbanan orang-orang tua jangan-jangan tipu orang-orang tua mahasiswa kampus memohon keringanan ukt anaknya mengajukan tidak disetujui universitas
 bayar ukt mahal mahal kuliah via WA ,bayar ukt mahal mahal kuliah via wa
Yang makin mahalnya gak ngotak: - Rumah - Biaya sekolah - UKT kuliah - Beras telur minyak goreng dan segala kebutuhan. Yang makin murahnya gak ngotak: - Gaji guru - Gaji dosen - Gaji dokter - Gaji nakes - Gaji buruh. Yang makin kayanya gak ngotak: - Pejabat,mahalnya enggak ngotak rumah biaya sekolah ukt kuliah beras telur minyak goreng kebutuhan murahnya enggak ngotak gaji guru gaji dosen gaji dokter gaji nakes gaji buruh kayanya enggak ngotak pejabat
kumpulan kalimat lucu - PK 20 soal 20 menit - pendidikan tinggi itu tersier - UKT tinggi khusus maba apalagi?,kumpulan kalimat lucu pakai menit pendidikan tersier ukt khusus maba
100jt ni skrg cukup buat UKT kampus mana ya?,juta ukt kampus
Tenang saja.... Sebentar lagi konflik UKT akan selesai. https://t.co/FI3I8qKcH8,tenang sebentar konflik ukt selesai
Kalau Anda PNS/ASN yang menguliahkan anak walaupun: - Penghasilan mau level umbi atau di bawah UMK - Keadaan rumah udah entah kaya gimana - Tagihan air atau listrik yang menyedihkan udah dikasih UKT kuliah anak Anda akan maksimum.,pnsasn menguliahkan anak-anak penghasilan level umbi umk rumah kayak tagihan air listrik menyedihkan dikasih ukt kuliah anak-anak maksimum
Dipikir-pikir berat juga jadi generasi muda sekarang: 1) Lulus SMA dihadapkan dengan kenyataan UKT dan IPI selangit setelah belajar susah payah untuk ujian masuk. Kalau gak ada uang ya terpaksa utang. 2) Selama kuliah harus magang sana-sini buat dua hal: nyari duit buat hidup,dipikirpikir berat generasi muda lulus dihadapkan kenyataan ukt ipi selangit belajar susah payah ujian masuk enggak uang terpaksa utang kuliah magang sanasini mencari duit hidup
Mahasiswa bayar UKT pake pinjol kontak yg disimpen nomer dosen2 aja biar mereka yg diteror DC https://t.co/muKNJi6KyH,mahasiswa bayar ukt pakai pinjol kontak disimpen nomer dosen diteror dc
BREAKING!! Mendikbud Ristek Nadiem Makarim resmi membatalkan kenaikan UKT tahun ini. Ia akan meninjau ulang permintaan berbagai PTN untuk menaikkan UKT dan menjanjikan tidak akan ada yang mahasiswa yang terbebani kenaikan tersebut. https://t.co/5Y0Xj9yv2V,breaking mendikbud ristek nadiem makarim resmi membatalkan kenaikan ukt tahun-tahun meninjau ulang permintaan ptn menaikkan ukt menjanjikan tidak mahasiswa terbebani kenaikan
[Cm] alhamdulillah ga mikirin ukt guyss.... harus kita tagih ini https://t.co/oLjyF6q6LJ,alhamdulillah enggak memikirkan ukt guyss tagih
Beneran nangis bgt liat ukt spesialis. MAHAL BGT ANJRIT. Kenapa ga gaji DU aja yg dinaikin? Kenapa harus UKTnya yg naik sih ya Allah ya rabb.,benaran menangis banget lihat ukt spesialis mahal banget anjrit enggak gaji du dinaikin uktnya allah rabb
Wowo lover ketika menormalisasi gaji nakes &amp; tenaga pendidik underpaid: kerja di bidang kesehatan &amp; pendidikan itu kita menjadi pengabdi Also wowo lover ketika menormalisasi UKT mahal &amp; talking abt dosen: hari gini kok bicara pengabdian makan tuh pengabdian! https://t.co/33LPl7ud6j,wowo lover menormalisasi gaji nakes tenaga pendidik underpaid kerja bidang kesehatan pendidikan pengabdi also wowo lover menormalisasi ukt mahal talking abt dosen bicara pengabdian makan pengabdian
bayar UKT hanya untuk PPT,bayar ukt ppt
Yang sering terlupakan itu ongkos hidup orang yang lebih miskin itu lebih mahal daripada yang kaya. 1) Yang kaya bisa beli rumah cash yang miskin harus KPR jatuhnya jauuuh lebih mahal. 2) Bayar UKT yang kaya bisa cash yang miskin harus pinjam dengan bunga bunganya bisa 20%,terlupakan ongkos hidup orang-orang miskin mahal kayak kayak beli rumah cash miskin kpr jatuhnya jauuuh mahal bayar ukt kayak cash miskin pinjam bunga bunganya
Oh gitu. Januari siapin student loan. Mei naikin UKT gila-gilaan.,oh januari siapin student loan mei naikin ukt gilagilaan
[cm] No one : Literally no one : No even single soul : Adek gw : Ngirim bukti bayaran ukt ke dosen https://t.co/M9iNeySSIT,no one literally no one no even single soul adek gue mengirim bukti bayaran ukt dosen
7.3 Triliun bisa bayarin berapa: - UKT mahasiswa? - Operasional kampus negeri? - Puskesmas dan rumah sakit? - Bangun sekolah di daerah 3T?,triliun bayarin ukt mahasiswa operasional kampus negeri puskesmas rumah sakit bangun sekolah daerah
Usai Dipanggil DPR Nadiem Ogah Jawab Media Soal Kenaikan UKT di PTN: Mohon Maaf ~# Menteri model gini kok ngga dipecat atau mengundurkan diri sih? Apa resepnya bisa bgtu? https://t.co/0qrhOimOs7,dipanggil dpr nadiem ogah media kenaikan ukt ptn mohon maaf menteri model enggak dipecat mengundurkan apa-apa resepnya
- UKT mahal - UMR seadanya - Sekolah anak mahal - Beras impor - Gaji guru dan dosen seenaknya - Collective punishment dari pemerintah buat rakyatnya - Dokter umum honornya gak seberapa - Sekolah spesialis mahal gak bisa pake gaji dokter umum,ukt mahal umr seadanya sekolah anak-anak mahal beras impor gaji guru dosen collective punishment pemerintah rakyatnya dokter honornya enggak sekolah spesialis mahal enggak pakai gaji dokter
Mahasiswa bayar UKT per semester bisa sampe puluhan juta. Demo minta keringanan belum tentu digubris. Ya setidak-tidaknya penuhi lah itu hak mahasiswa untuk diperlakukan profesional sama dosennya. Dosennya yg moody mahasiswanya yg diminta ngerti. Udah kyk pacar abusive aja.,mahasiswa bayar ukt semester puluhan juta demo keringanan belum digubris setidaktidaknya penuhi hak mahasiswa diperlakukan profesional dosennya dosennya moody mahasiswanya mengerti kayak pacar abusive
Ke tidakadilan sosial bagi Seluruh rakyat miskin yang ingin anaknya Kuliah POV: Mahasiswa Anak Buruh Berpenghasilan 1 5juta Protes Karena harus membayar UKT sebesar 8 JT https://t.co/mknUCSHGKx,tidakadilan sosial rakyat miskin anaknya kuliah pov mahasiswa anak-anak buruh berpenghasilan juta protes membayar ukt juta
1) Rumah gak bisa terbeli 2) Harga kebutuhan pokok mahal 3) Upah pekerja gak layak 4) Uang sekolah anak gak ngotak 5) UKT kuliah kalau gak dapet beasiswa harus pinjol. Terus pada bertanya-tanya kenapa generasi muda gak bisa nabung angka nikahnya turun dan memilih,rumah enggak terbeli harga kebutuhan pokok mahal upah pekerja enggak layak uang sekolah anak-anak enggak ngotak ukt kuliah enggak beasiswa pinjol bertanyatanya generasi muda enggak nabung angka nikahnya turun memilih
Presiden ke 8 mengkritik UKT mahal di pemerintahan Presiden ke 7 https://t.co/gDbspvD1fI,presiden mengkritik ukt mahal pemerintahan presiden
Mau dioperasi sama dokter yang masih mikir besok bisa makan apa nggak? Di tengah-tengah bedah tiba tiba dia mikir: Anjir besok waktunya bayar UKT anak gue. Duit dari mana cok? ,dioperasi dokter mikir besok makan apa-apa enggak tengahtengah bedah mikir anjir besok bayar ukt anak-anak gue duit cok
Usai Dipanggil DPR Nadiem Ogah Jawab Media Soal Kenaikan UKT di PTN: Mohon Maaf https://t.co/GD14c5HeQY #TempoNasional,dipanggil dpr nadiem ogah media kenaikan ukt ptn mohon maaf
Pada nyalahin Gen Z. Yang bikin sistem kehidupan bernegara acakadut siapa? -&gt; Bukan mereka. Yang bikin mereka banyak yang gak punya etos kerja karena gak dapet pendidikan yang layak siapa? -&gt; Bukan mereka. Yang bikin mereka susah akses pendidikan tinggi karena UKT tinggi,menyalahkan gen sistem kehidupan bernegara acakadut bukan enggak etos kerja enggak pendidikan layak bukan susah akses pendidikan ukt
standar nominal ukt udh pada ga masuk akal education should be free actually https://t.co/taUcPJ8pEf,standar nominal ukt enggak masuk akal education should be free actually
- ukt naik - yang kuliah jadi dikit - gaada yg kerja - ekonomi ancur - negara ancur,ukt kuliah dikit enggak ada kerja ekonomi hancur negara hancur
Merekrut-melatih guru2 dgn followers tiktok &amp; instagram besar untk membuat konten dukungan dgn harapan mnutupi kegagalan mengangkat honorer PPPK amburadul PISA Jeblok UKT mahal &amp; makin lebarny kesenjangan digital. Semoga ini tahun terakhir guru diminta joget. #Gurubukanbuzzer https://t.co/gmBpPMTfS3,merekrutmelatih guru followers tiktok instagram besar-besar konten dukungan harapan mnutupi kegagalan mengangkat honorer pppk amburadul pisa jeblok ukt mahal lebarny kesenjangan digital semoga tahun-tahun guru joget
UNY ini punya kaitan khusus dg problem UKT hari ini. Nenek moyang UKT adl UU Sisdiknas 2003. Dari UU tsb lahir aturan ttg kampus sbg badan hukum (BHP). Arsitek UU Sisdiknas itu adl Dirjen Dikdasmen yg kala itu juga sedang menjadi rektor UNY.,uny kaitan khusus problem ukt nenek-nenek moyang ukt uu sisdiknas uu lahir aturan kampus badan hukum bhp arsitek uu sisdiknas dirjen dikdasmen rektor uny
Sender masih benci banget sama IPI dan UKT UGM selangit ini. Jangan sampe isunya tenggelam gitu aja soalnya isu pendidikan ni hrsnya jadi keresahan kita bersama. ADA KONSOLIDASI NIH BUAT BAHAS ISUNYA AYO DATENG DEH YUJIEM! https://t.co/rE4z1VmJUh,sender benci banget ipi ukt ugm selangit jangan-jangan isunya tenggelam isu pendidikan keresahan konsolidasi bahas isunya ayo deh yujiem
 UKT di semua universitas negeri saat ini sangat mahal. wahai mahasiswa jangan lupa tagih janji beliau. https://t.co/1mXDhKycUu,ukt universitas negeri mahal mahasiswa jangan-jangan lupa tagih janji beliau
Kalo dari awal diisi sbg mahasiswa tidak mampu ya mungkin dari awal sudah tidak lolos seleksi. Sudah jadi rahasia umum lah jika semakin tinggi penghasilan orang tua yg dicantumkan saat mendaftar PTN semakin tinggi pula peluang diterimanya. https://t.co/dx4C47dXnv,diisi mahasiswa tidak tidak lolos seleksi rahasia penghasilan orang-orang tua dicantumkan mendaftar ptn peluang diterimanya
Terimakasih karena telah batalkan UKT selanjutnya tambah subsidi agar kualitas pendidikan tetap baik dan semakin baik. Negara harusnya empati dan kesadaran penuh sehingga tak perlu ada demo dan mahasiswa2 mundur krn gagal bayar UKT.,terimakasih batalkan ukt subsidi kualitas pendidikan negara empati kesadaran penuh demo mahasiswa mundur gagal bayar ukt
ptn! kok ada ya orang yg ngelebih-lebihin UKT terus bangga? bukannya merasa dosa? https://t.co/k6r74j9qve,ptn orang-orang ngelebihlebihin ukt bangga dosa
Prabowo-Gibran Ingin Wujudkan Indonesia Emas tapi UKT Mahal Gimana Dong? https://t.co/vlxSXR0BcD,prabowogibran wujudkan indonesia emas ukt mahal
Guys save nih! Info beasiswa bisa buat S1 &amp; S2 benefitsnya: Laptop (buset) UKT Biaya Hidup Flight &amp; Visa kalau ke luar negeri Plus ada jaminan karier (intern/MT) CIMB ASEAN SCHOLARSHIP ️ 17 Mei - 5 Juni 2024 Link regist cek reply! https://t.co/jqaX7QyDv1,guys save info beasiswa benefitsnya laptop buset ukt biaya hidup flight visa negeri plus jaminan karier internmt cimb asean scholarship mei juni link regist cek reply
Di kelas beliau selalu dijadiin bahan dengan topik anak yatim malas sampai becandain fisik aku yang pincang buat dijadiin contoh bersyukur. Ke kampus PP subuh bgt pake kereta lokal nyari UKT banting tulang jualan nasi gohiong malah anak dosen ini nyebarin fitnah (cont..) https://t.co/5HBqsapXAW,kelas beliau dijadikan bahan topik anak-anak yatim malas becandain fisik pincang dijadikan contoh bersyukur kampus pp subuh banget pakai kereta lokal mencari ukt banting tulang jualan nasi gohiong anak-anak dosen nyebarin fitnah cont
[cm] gaes doain dospem aku semoga banyak rezeki dan sehat selalu serta keluargaku supaya bisa ganti uangnya. Aamiin. Dospem aku nalangin ukt aku yg mahal dia menawarkan sendiri sehat selalu dokter. https://t.co/xRIKZDxkag,gaes doain dospem semoga rezeki sehat keluargaku ganti uangnya amin dospem nalangin ukt mahal menawarkan sehat dokter
Unas memberi saksi kepada 10 mahasiswa yang menuntut tranparansi UKT: dua mahasiawa DO dua diskors dan enam lainnya mendapat peringatan keras. Pemenuhan hak pendidikan yang menjadi bagian dari HAM seharusnya menjadi tanggung jawab pemerintah. https://t.co/cVJk7DzLMw,unas saksi mahasiswa menuntut tranparansi ukt mahasiawa diskors enam peringatan keras pemenuhan hak pendidikan ham tanggung pemerintah
Apa kesimpulan bocor halus tempo terhadap kebijakan UKT yang memberatkan masyarakat? 1) Kenaikan UKT sudah disampaikan kampus sejak tahun lalu dan kementerian sudah menyetujuinya. 2) Nadiem ingin Perguruan Tinggi seperti Start Up. https://t.co/uq8cAsMnVn,apa-apa kesimpulan bocor halus tempo kebijakan ukt memberatkan masyarakat kenaikan ukt kampus tahun-tahun kementerian menyetujuinya nadiem perguruan start up
Jokowi Bilang Kenaikan UKT Kemungkinan Dimulai Tahun Depan https://t.co/eM2HKztKA9 #TempoNasional,jokowi bilang-bilang kenaikan ukt tahun-tahun
Lah terus ngapain kemarin pemilih Bapak belain abis-abisan kalau Kenaikan UKT tidak berpengaruh ke rakyat miskin ? Bikin group WA gitu lah biar narasinya senada.,mengapai kemarin pemilih membela-bela abisabisan kenaikan ukt tidak berpengaruh rakyat miskin group wa narasinya senada
[cm] no salty plissss aku bener2 butuh buat bayar cicilan ukt https://t.co/glArqbu4hH,no salty plissss butuh bayar cicilan ukt
Nadiem: Tidak Ada Mahasiswa Yang Gagal Kuliah Karena Kenaikan UKT https://t.co/raCBkR4kXw #News,nadiem tidak mahasiswa gagal kuliah kenaikan ukt
Kenaikan UKT tidak berdampak pada masyarakat miskin.,kenaikan ukt tidak berdampak masyarakat miskin
IKI OPO UKT SEMAHAL INI GAADA AKSI LAGI KAH?! IPI MULAI UKT 75% MANA 5 JT KEMAREN AJA MASIH BANYAK YG GABISA BAYAR SISTEM E RA CETO TAPI MALAH BIKIN SISTEM BARU LAGI?!!! yujiem https://t.co/U3a5lJe3Y7,iki opo ukt semahal enggak ada aksi kah ipi ukt juta kemarin enggak bisa bayar sistem ra ceto sistem yujiem
Suatu hari di sana Bapak Alhamdulillah ini keterima di dua PTN favorit. Satu lewat mandiri satu lewat seleksi nasional. Alhamdulillah berapa biayanya nak? UKT-nya segini Pak. Terus ini ada biaya baru namanya IPI kaya uang pangkal gitu. Hah? Katanya dulu UKT biar gak,alhamdulillah keterima ptn favorit mandiri seleksi nasional alhamdulillah biayanya nak uktnya segini biaya namanya ipi kayak uang pangkal hah ukt enggak
Prabowo-Gibran Ingin Wujudkan Indonesia Emas 2045 Tapi UKT Mahal Gimana Dong? https://t.co/0e5THISC2l,prabowogibran wujudkan indonesia emas ukt mahal
Ini bukan soal beli rumah. Ini soal menarik uang dari rakyat. Pemerintah perlu duit untuk bangun ini itu untuk bayar utang ini itu. Gagal di UKT ya coba2 di Tapera. Harus kreatif dong....,bukan beli rumah menarik uang rakyat pemerintah duit bangun bayar utang gagal ukt coba tapera kreatif
