full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"Di TIMNAS sepak Bola saja sudah melakukan pondasi untuk perubahan,.agar Kedepan Indonesia Punya Timnas Yang Disegani Dunia,. Tapi malah memilih gaya mainnya Seperti Liga 2",timnas sepak bola laku pondasi perubahanagar indonesia timnas segani dunia pilih gaya main liga,Negatif,0.059309307,0.8581805,0.08251023
"@Indostransfer Memang dia jelek banget mainnya! Gak habis pikir bisa masuk timnas. Lamban,  rapuh, mudah ditembus. Perhatikan waktu lawan Australia waktu Piala Asia kmrn, 3 gol karena kelemahan Baggot gampang dieksploitasi.",jelek banget main habis pikir masuk timnas lamban rapuh mudah tembus perhati lawan australia piala asia kemarin gol lemah baggot gampang eksploitasi,Negatif,0.014694833,0.9342093,0.051095866
"@dyotalaks @SiaranBolaLive @makanbolaID Masa sich ngab. Makanya sekarang kok ngamuk2 terus. Mungkin dia pingin timnas mainnya kaya bebek di tengah lapangan, jadi komplin Mulu si towel itu ya. 🤣🤣",ngab ngamuk pengin timnas main kayak bebek lapang komplin mulu towel,Negatif,0.003616098,0.9714769,0.024907034
"@AkunInstan @RhmnAndi @volleyballidn Fahri pemain timnas juga bareng sama mega brngkat duluan ke LN bulan september kmrin, dia malah bagus terus sm kaya mega. Cuma mmng mtchnya sulit diakses dan mainnya jam 11 mlem mulu. Dia posisnya sama kaya farhan tp skrg posisi no 3 trbaik urusan passing ngalahin libero lain",fahri main timnas bareng mega brngkat duluan ln september kemarin bagus kayak mega mmng mtchnya sulit akses main jam mlem mulu pos kayak farhan posisi no urus passing kalah libero,Negatif,0.2105651,0.4599538,0.32948104
@SiaranBolaLive Mainnya kayak mirip timnas Indonesia ya. Jangan2 pelatihnya memang bener2 jiplak permainan yang fantastis timnas Indonesia,main kayak timnas indonesia latih jiplak main fantastis timnas indonesia,Negatif,0.18132539,0.5553696,0.263305
@mudasir_11 @indosupporter Pemain indonesia yang kebiasaan star syndrome kaya gini emang udah harusnya dibuang. Soalnya kalo masuk ke timnas biasanya mainnya kek tai,main indonesia star syndrome kayak buang masuk timnas main kayak tahi,Negatif,0.05512354,0.81206346,0.13281305
"ngintip bundesliga ayah minjae mainnya beda sama pas di taeguk, gw rasa ada aura jelek yg nutupin pemain aboard pas balik ke timnas",intip bundesliga ayah minjae main beda pas taeguk gue aura jelek tutup main aboard pas timnas,Negatif,0.038061045,0.8738028,0.0881362
Musim ini memang seru Premier League punya Aston Villa La Liga punya Girona Bundesliga punya Leverkusen Indonesia punya Timnas Amin (POV:  Tim underdog yang mainnya lumayan bagus nan konsisten) #cumansekedarkomen #bukanpendukung01atau03apalagi02,musim seru premier league aston villa liga girona bundesliga leverkusen indonesia timnas amin pov tim underdog main lumayan bagus konsisten,Negatif,0.04760369,0.4923418,0.46005452
@barrudaks abis ini langsung ikut timnas ya? UPDATE KE AKU PLEASE TD GIMANA MAINNYA,habis langsung timnas update please main,Negatif,0.2840088,0.5204513,0.19553983
"@Kim_TDH Tapi belum tahu 2 anaknya itu di usia berapa mainnya... klo U23, U20 or U17 harusnya dicek sama PSSI or tim pelatih... kalau memang punya kualitas untuk timnas kenapa engga...",tdh anak usia main orang cek pssi orang tim latih kualitas timnas,Negatif,0.00400874,0.9780643,0.01792695
"@JgnJudiOnline @Dw1_Haryant0 @pthlhd @indosupporter makanya nonton bola itu kalau mau di nilai jangan cmn liat goal2 doang, tp cara mainnya. lu harus sadar diri, negara lu selama ini stuck, baru skrng berani bermain secara modern. lu harus liat pelatih lokal di timnas usia aja cara mainnya gmn? sorry to say katrok.",haryant tonton bola nilai cuman lihat goal doang main lu sadar negara lu stuck berani main modern lu lihat latih lokal timnas usia main sorry sayang katrok,Negatif,2.0890278e-05,0.99975425,0.00022481215
Timnas Amin mainnya cantik gak grasah grusuh kyk capres sebelah pas 🤣🤣🤣 Jgn di intimidasi di 14 Peb 2024 tetap 01. @AditBandit234 @AndyTjondro   @G0mb4k   @xquitavee,timnas amin main cantik grasah grusuh kayak capres belah pas intimidasi peb,Negatif,0.15407062,0.6964693,0.14946
"@Unterhose08 @Opariorio @idextratime @EmiratesFACup Enzo di timnas cemerlang mainnya karena ada Mac Allister, pun dengan si Caicedo mainnya bagus karena ada Mac Allister pas main di Brighton.  Nah skrng 2 orng itu tandeman di Chelsea. Mainnya masih on off, klo lg bagus ya bagus. Tp lebih sering off perform..angin2an blm konsisten",enzo timnas cemerlang main mac allister caicedo main bagus mac allister pas main brighton orang tandem chelsea main on off bagus bagus off performanginan konsisten,Negatif,0.061462473,0.6658721,0.27266547
"@Aranaya1902 @Z_4bidin @indosupporter ya ga tau, gua ga ada kritik karena gua liat sendiri mainnya timnas beneran berkembamg dibanding sebelum sebelumnya",bidin gua kritik gua lihat main timnas berkembamg banding,Negatif,0.06560591,0.77606267,0.15833142
"@tisadati @ruangtaktik wkwkwk sepakat, dulu cuma bisa bagian stopper sama sapu bersih bola aja, mana bisa suruh build up serangan sama true pass 😂 dulu aja saya pas 2010 bilang kalau timnas AFF 2010 mainnya biasa aja pada dihujat ama temen² saya, padahal emang biasa aja mainnya 😆",wkwkwk sepakat stopper sapu bersih bola suruh build up serang true pas pas timnas aff main hujat teman main,Negatif,0.017396195,0.60043466,0.38216907
"@kumparan Wahh kok gini mainnya.  Timnas sudah mulai bagus, jgn karena 02 nnti kalah pnya niat buruk mau hancurkan Timnas",main timnas bagus kalah niat buruk hancur timnas,Negatif,0.0048927353,0.96979314,0.025314093
"@habilhudioro @CoachJustinL baru liat mainnya M Sihran enak ternyata. umur msh 24 jg. cuma emang postur terlalu kecil, tp bisa tuh utk timnas yg lagi ga ada pemain2 gesit dan cepat",lihat main sihran enak nyata umur postur timnas main gesit cepat,Negatif,0.107937165,0.4484352,0.44362766
"@kevinbahasbola Timnas Indo yg skuad nya tergolong muda dituntut mainnya kek timnas Argentina atau Prancis. Lawakan macam apa ini bung, termasuk bokap gw dia juga punya mindset yg gini juga😅",timnas indonesia skuad golong muda tuntut main kayak timnas argentina prancis lawa masuk bokap gue mindset,Negatif,0.09788316,0.73226064,0.16985618
"@charliebaung @FaktaSepakbola Timnas itu mainnya di jawa,bali,paling jauh ya palembang..selain itu tdk akan mau🤣",timnas main jawabalipaling palembangselain,Negatif,0.2848047,0.36901262,0.34618267
"@Indostransfer @mkrohman Nadeo dan Adam be like  Ya gini kita mainnya di timnas broo""""",nadeo adam be like main timnas broo,Negatif,0.055640787,0.8400467,0.10431253
"@medioclubID bagusnya kemauan towel kita turutin aja, pecat sty terus ganti pelatih sesuai rekomendasi towel, tapi nanti kalo ternyata timnas mainnya jadi jelek towel dihukum tembak mati sebagai pertanggung jawaban",bagus towel turutin pecat sty ganti latih sesuai rekomendasi towel nyata timnas main jelek towel hukum tembak mati tanggung,Negatif,0.0017445534,0.9889509,0.009304515
"@razakasri @medioclubID Lolos 16 besar loh, dan timnas mainnya ga kick and rush terus babak kedua udah ngos ngosan .  Gaada pemain titipan juga, squad termuda pula.  Kalo diliat dari 1 dekade terakhir timnas, nyangka ga bakal lolos 16 besar? Juara AFF aja kagak. Lolos piala asia aja baru setelah 2007.",lolos timnas main kick and rush babak ngos ngosan enggak ada main titip squad muda lihat dekade timnas sangka lolos juara aff kagak lolos piala asia,Negatif,0.0497663,0.8556945,0.09453927
@afcasiancup Anjirrr gue kiraa korea bakalan yg juara😭 tpi timnas arab tuh emanggg bagus bgt mainnya,anjir gue kiraa korea juara timnas arab emanggg bagus banget main,Negatif,0.011369522,0.7286834,0.2599471
"Timnas Korsel mainnya ga jelas, ga ada variasi serangan. Wajar kalau kalah lawan Jordan.",timnas korsel main variasi serang wajar kalah lawan jordan,Negatif,0.2534029,0.43500334,0.31159374
imo jordan ini timnas yg mainnya bener2 konsisten dr awal sih,imo jordan timnas main konsisten,Negatif,0.12363094,0.5658605,0.3105085
@Indostransfer Korsel jelek banget mainnya semenjak awal turnamen beruntung aja bisa sampai semifinal 😆 pantesan timnas sekelas Malaysia bisa nahan imbang mereka,korsel jelek banget main semenjak turnamen untung semifinal pantesan timnas kelas malaysia tahan imbang,Negatif,0.017706336,0.83945024,0.14284337
Sebenernya mega udah terkenal sih di kalangan penikmat voli indo. Tapi mungkin buat orang awam/umum lebih kenal wilda atau nggak yolla yuliana karena lebih sering diundang di acara tv juga. Kalo aku dari dulu emang paling suka mainnya mega ini diantara pemain timnas lainnya,mega kenal kalang nikmat voli indonesia orang awamumum kenal wilda yolla yuliana undang acara tv suka main mega main timnas,Negatif,0.20843802,0.43969554,0.35186648
"@karimamrullah82 @ainurohman Mas anda mainnya kurang jauh. Voli itu paling parah dan tertinggal federasinya dibanding PSSI dan PBSI😭. Mana ketumnya boomer antikritik jarang ngirim timnas apalagi putri ke turnamen inter, alasannya ga punya duit mulu!",mas main voli parah tinggal federasi banding pssi pbsi tum boomer antikritik jarang kirim timnas putri turnamen inter alas duit mulu,Negatif,0.18555678,0.62384427,0.1905989
Baru sadar ini mainnya pake stat pemain irl sesuai timnas masing2 dan menang lawan jepang 💀 Jagonya berlipat lipat,sadar main pakai stat main irl sesuai timnas menang lawan jepang jago lipat lipat,Negatif,0.18012393,0.59715986,0.2227162
"Ya setidaknya bisa cetak 1 gol 👏 Tapi gregetan timnas dalam posisi ketinggalan gamau main pressing kayak lawan Vietnam kemarin Kalo udah posisi kalah ya all out aja, bikin foul terus biar irama mainnya Jepang juga terganggu. Kayak lawan Vietnam kemarin kan bikin banyak foul",cetak gol gregetan timnas posisi tinggal enggak mau main pressing kayak lawan vietnam kemarin posisi kalah all out foul irama main jepang ganggu kayak lawan vietnam kemarin foul,Negatif,0.2968529,0.39140925,0.3117379
"Lolos atau enggak timnas Indo dr fase grup #AFCAsianCup2023 , apresiasi buat pemain, pelatih dan setiap elemen yg mempersiapkan timnas ini. Nggak nyangka aja. Timnas, ranking 140an FIFA, mainnya nggak kayak ‘timnas yg dulu gua tau’. Mental jg keras!! Salut lah!!",lolos timnas indonesia fase grup apresiasi main latih elemen timnas sangka timnas ranking an fifa main kayak timnas gua mental keras salut,Negatif,0.043157496,0.83475864,0.122083895
"@FaktaSepakbola Kalau kaya gini, Mereka mainnya pakai timnas Indo berarti ya ? Keren amet stats pemainnya kan juga dibawah"" daei negara lain. Apalagi Jepang.""",kayak main pakai timnas indonesia arti keren amet stats main daei negara jepang,Negatif,0.17522484,0.54481655,0.2799586
"@mr_riopermana @roman_paqr @legislatweet Ya elah mainnya kurang jauh, jaman Pak Anies di Jakarta banyak banget perizinan yg diterbitkan untuk rumah ibadah baik gereja, vihara, pura sampai kuil. Timnas jg banyak yg nonis. Dan pendukung Pak Anies yg dilabelin radikal ga ada tuh yg protes. Itu baru namanya toleransi",riopermana paqr elah main jaman anies jakarta banget izin terbit rumah ibadah gereja vihara pura kuil timnas non dukung anies dilabelin radikal protes nama toleransi,Negatif,0.0780305,0.7840063,0.13796319
@simamaung Abang2an persib geus teu bisa diandelkeun... Dari tahun ke tahun pemain jeung pelatih jempolan datang dan pergi.tapi ya gitu2 aja mainnya... Mungkin manajemen persib ada niatan buat potong generasi kayak timnas atau psm lah di level klub mah.siapa tau bisa berubah...,abangan persib geus teu diandelkeun main jeung latih jempol pergitapi main manajemen persib niat potong generasi kayak timnas psm level klub mahsiapa ubah,Negatif,0.3808281,0.42575556,0.19341639
@StatsRawon Bad news buat Persebaya dan Timnas (senior-U23) 😰. Semoga gak parah dan Andhika mainnya lebih tenang lagi,bad news baya timnas senioru moga parah andhika main tenang,Negatif,0.008516476,0.9417944,0.0496891
@idextratime ini mainnya harus pakai timnas masing masing ya?,main pakai timnas,Negatif,0.30839902,0.38966322,0.3019378
Andai saja timnas indo in real life mainnya kayak di e-football 😄,andai timnas indonesia real life main kayak efootball,Negatif,0.20164165,0.5734689,0.22488949
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo kita lawan siapa dah?",korsel main longball kayak era gelap timnas indonesia lawan deh,Negatif,0.007484192,0.9602107,0.032305155
"Belom bisa move on dari permainan timnas kemaren, ini liat persib mainnya kaya apaan anjir😂",move on main timnas kemarin lihat persib main kayak anjir,Negatif,0.07994255,0.8097677,0.11028977
kmrn nonton timnas trus skrg nonton liga 1 meni asa jauh gini mainnya,kemarin tonton timnas tonton liga meni asa main,Negatif,0.27548552,0.45471907,0.2697955
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo",korsel main longball kayak era gelap timnas indonesia,Negatif,0.014147725,0.9478856,0.037966765
"Setelah sekian lama ga nonton liga indo, terus ngebandingin sama permainan Timnas di Asian Cup lngsng mikir Main apaan nih?"" BUSET JAUH BNGT.  Nonton liga indo vibesnya kek nonton fun football, masih ga keliatan profesional²nya. Mainnya kek sesuka pemainnya/ kek ga pake taktik""",sekian tonton liga indonesia ngebandingin main timnas asi cup lngsng mikir main buset banget tonton liga indonesia vibesnya kayak tonton fun football lihat profesional main kayak suka main kayak pakai taktik,Negatif,0.1497674,0.56176925,0.28846338
@idextratime bayangin timnas beneran mainnya kyk efootball :(,bayang timnas main kayak efootball,Negatif,0.077763975,0.7769504,0.14528558
Pengen juga rewards pemain yang lagi perform di liga sekarang seperti @AbramWenas . Kayanya boleh sekali-sekali dikasih kesempatan si TimNas. Biar semakin semangat juga dia mainnya 💪🏽,pengin rewards main perform liga kaya sekalisekali kasih timnas semangat main,Negatif,0.11331017,0.637938,0.24875185
@idextratime @bliblidotcom Orang Indonesia sudah terbiasa lihattimnas tersingkir jadi gk bgtu sakit apa lagi timnas jg mainnya cukup baik lha klo jepang kan harapannya juara mana tersingkir gara2 gol di menit akhir lagi apa gak nyesek tuh,orang indonesia lihattimnas singkir sakit timnas main jepang harap juara singkir gara-gara gol menit sesak,Negatif,0.015706485,0.92073655,0.0635569
"@PorosHalangID penyebab ga keliatan sistem mainnya ya grgr pemainnya yg ga mempuni, sama aja kaya timnas STY gabisa mainin sistemnya klo pemainnya kyk lokal2an aja harus dikombinasi sm pemain naturalisasi",lihat sistem main gara-gara main kayak timnas sty enggak bisa mainin sistem main kayak lokal kombinasi main naturalisasi,Negatif,0.2388578,0.42194223,0.33919993
"@utdfocusid @basid_hm @bliblidotcom Adaptasi nya di timnas juga ya? 🤭 kalo cuma di klub sih Oke ya, ini nyampe timnas juga kek gitu mainnya. Adaptasi yg mana nih? 🤭",hm adaptasi timnas klub oke timnas kayak main adaptasi,Negatif,0.25284973,0.5118367,0.23531358
"Pandit Senior Bilang Pemain Timnas Indonesia Ini Mainnya Gila, Shin Tae-yong Disebut Beruntung https://t.co/axXxRTgzmz",pandit senior main timnas indonesia main gila shin taeyong untung,Negatif,0.30420706,0.36248457,0.3333084
"Bukan Marselino Ferdinan, Pandit Senior Ini Berani Sebut Pemain Terbaik Timnas Indonesia: Mainnya Gila!  Bung Binder berani sebut sosok ini sebagai pemain terbaik bagi Timnas #Timnas #MarselinoFerdinan #tvOnenews  Selengkapnya  https://t.co/v4obAdvgoJ https://t.co/v4obAdvgoJ",marselino ferdinan pandit senior berani main timnas indonesia main gila binder berani sosok main timnas lengkap,Negatif,0.044742763,0.8855816,0.069675654
@idextratime @bliblidotcom Better timnas Indonesia gaksih mainnya? Bete banget nontonnya match ini,better timnas indonesia gaksih main bete banget nontonnya match,Negatif,0.024404267,0.90547264,0.07012313
@ardisatriawan ini mainnya pake pemain timnas masing-masing pakk 😭,main pakai main timnas masingmasing pakk,Negatif,0.026075384,0.89555854,0.078366116
"@x0ox346051 @medioclubID Ohh anti keturunan to ternyata ?? Timnas Indonesia kalau cuma diisi pemain Liga 1 ya dbantai, contoh di asian games, liga 1 jelek banget level mainnya, jadi kalau Sty dikasih target tinggi ya sudah bener ambil pemain keturunan",oh anti turun nyata timnas indonesia isi main liga dbantai contoh asi games liga jelek banget level main sty kasih target ambil main turun,Negatif,0.0031470512,0.9826629,0.014190041
"Bukan Marselino Ferdinan, Pandit Senior Ini Berani Sebut Pemain Terbaik Timnas Indonesia: Mainnya Gila! https://t.co/ihDJckaNCr",marselino ferdinan pandit senior berani main timnas indonesia main gila,Negatif,0.067002505,0.77392304,0.1590745
@Pine1243 @garem_oren @id_lgk Lagian mesir kagak ketolong juga yang main dieropa aja berapa🤣sama indo juga bagusan timnas mainnya,oren lgk mesir kagak tolong main dieropa berapasama indonesia bagus timnas main,Negatif,0.20595726,0.39958212,0.39446068
"Juhyeong kudu bagus terus sih mainnya, dia calon OF'er tetap di timnas sih gw bilang, udah ga ada beban wamil juga~ all he has to do is play great baseball ✨",juhyeong kudu bagus main calon ofer timnas gue beban wamil all he has is play great baseball,Negatif,0.05197458,0.7748743,0.17315117
"@f_wijayaa @AMFTervaf @TMidn_news @TimnasIndonesia Keknya dia dulu mainnya cuma friendly match, jadi masih aman secara asalkan dia mainnya maks 3x di negara pertama dan itu cuma di match non-competitive + mainnya ketika dia masih di umur under-21, dia masih bisa bela timnas lain asalkan eligible",wijayaa news kayak main friendly match aman main maks negara match noncompetitive main umur under bela timnas eligible,Negatif,0.0045638736,0.9648559,0.030580193
"@AMFTervaf @TMidn_news @TimnasIndonesia Keknya dia dulu mainnya cuma friendly match, jadi masih aman secara asalkan dia mainnya maks 3x di negara pertama dan itu cuma di match non-competitive + mainnya ketika dia masih di umur under-21, dia masih bisa bela timnas lain asalkan eligible",news kayak main friendly match aman main maks negara match noncompetitive main umur under bela timnas eligible,Negatif,0.005157033,0.960763,0.034079988
@idextratime Bisa2nya timnas Indonesia nggak lolos padahal Australia mainnya biasa aja wkwk,timnas indonesia lolos australia main wkwk,Negatif,0.2717669,0.44594556,0.28228757
"@nasi_uduk89 @ariffuadi79 @wobowobow @Box2boxID @Box2BoxBola @TimnasIndonesia udah gausah bawa” timnas 2023, intinya kan korea sama indonesia jaman segitu mainnya gitu” doang, kalo kalah tipis ya BIASA AJA",uduk enggak usah bawa timnas inti korea indonesia jaman segitu main doang kalah tipis,Negatif,0.03449779,0.8482778,0.117224395
@Indostransfer Ini yg pada nyaranin ke klub Asean lu jangan pd aneh2 dah kocak   Orang kita narik orangdi Eropa buat main di timnas tu ya biar di timnas ada pemain yg bisa bawa kultur kerjanya dr Eropa  Kalo disuruh ke Asean sm aja bohong  Noh Amat ke JDT jd kocak mainnya,saran klub asean lu aneh deh kocak orang tarik orangdi eropa main timnas timnas main bawa kultur kerja eropa suruh asean bohong noh jdt kocak main,Negatif,0.0009817875,0.99338186,0.0056363535
"Ada 2 faktor timnas mainnya enak, 1 karena STY, 2 Kualitas siaran dari operator tv di stadion yang bikin enak dilihat, ga kebayang kalo operator lokal yg nyiarin, cmiiw ✌️",faktor timnas main enak sty kualitas siar operator tv stadion enak lihat bayang operator lokal nyiarin cmiiw,Negatif,0.062240362,0.5555827,0.3821769
@wijaya_strong @Indostransfer timnas babak 1 mainnya seperti rank 80 bahkan kadang 70  timnas babak 2 mainnya seperti rank 120 dan kadang bahkan balik ke setelan liga 1,strong timnas babak main rank kadang timnas babak main rank kadang setel liga,Negatif,0.29036078,0.41889066,0.29074857
@theaseanball PSSI masukin timnas skrg jalur host aja y? Utg timnas cowo senior mainnya kmrn bener dan bs lolos jalur kualifikasi.. liga cewe ga ada apalagi yg junior bisa2nya ada timnasnya..,pssi masuk timnas jalur host utg timnas cowok senior main kemarin lolos jalur kualifikasi liga cewek junior timnasnya,Negatif,0.1619235,0.72508544,0.11299097
"Gue nonton timnas dari jaman SD 2008an, akhir2 ini doang gaya mainnya bagus bener. Beda tipis ama emyu sekarang  Kalo STY cabut diganti pelatih indo yg jelek, progress timnas balik dari 0 lagi sih",gue tonton timnas jaman sd an doang gaya main bagus beda tipis emyu sty cabut ganti latih indonesia jelek progress timnas,Negatif,0.08442511,0.5693091,0.34626573
"@indosupporter wdkowkdwk mainnya jelek, masih jagoan tim sma gua dulu dah kalo liat permainan 'timnas' kek gini. local pred local pred, makan noh local pred",wdkowkdwk main jelek jago tim gua deh lihat main timnas kayak local pred local pred makan noh local pred,Negatif,0.20485742,0.57599723,0.21914534
@idextratime Itakura kalo di timnas mainnya libero apa ngga si?,itakura timnas main libero,Negatif,0.10591394,0.6627748,0.23131123
"@idextratime @bliblidotcom boring gameplay. Katanya dua duanya calon juara, mainnya kayak tai. Masih mending gameplay timnas, pantesan knetz pada marah2 sama Klinsman dan minta STY balik",boring gameplay calon juara main kayak tahi mending gameplay timnas pantesan knetz marah klinsman sty,Negatif,0.00602948,0.9668523,0.027118161
"@ghozali0312 @indosupporter IS dulu pernah punya tim yg keren diantara semua kelompok umur timnas yakni u19 eranya Evan Dimas, smpe saat ini bhkn belum nemu lagi yg kyak gitu Mainnya pun bnyak bola pendek, squad pun dibentuk dri keliling nyari pemain, knpa skrng ngoyo ya? Apa mungkin bnyakan pemain titipan""",is tim keren kelompok umur timnas era evan mas nemu kayak main bola pendek squad bentuk keliling cari main ngoyo bnyakan main titip,Negatif,0.27889007,0.38353762,0.3375723
"@indosupporter padahal mereka calon penerus timnas senior tp bapuk bgt mainnya passingnya mencerminkan bukan pemain timnas, doni tri yg kelihatan ngegendong, no 5 pemain tarkam liga 3 abis ngoper cuma jalan santai,ilang bola nyikut pemain lawan 🤣 emosinya digedein",calon timnas senior bapuk banget main passingnya cermin main timnas doni tri lihat ngegendong no main tarkam liga habis ngoper jalan santaiilang bola nyikut main lawan emosi digedein,Negatif,0.023932362,0.6626531,0.3134146
@indosupporter Melihat Timnas U20 main ini asam lambungku langsung naik. Sungguh. Bukan menghujat tapi ini memang jelek betul mainnya. Bahkan Kalau dibandingkan jaman Evan Dimas dkk ini masih jauh dibawah apalagi dibandingkan kakak2 di senior sekarang.,lihat timnas main asam lambung langsung sungguh hujat jelek main banding jaman evan mas dkk banding kakak senior,Negatif,0.18175374,0.5703556,0.24789065
"Timnas U-20 jelek bener mainnya, ngga ada pola 😂",timnas jelek main pola,Negatif,0.0012856472,0.9882451,0.010469197
@utdfocusid @bliblidotcom bener-bener atraktif banget loh padahal Indonesia lawan Australia hal seperti ini yang harus rutin diperagain Indonesia mau siapa pun lawannya cuma Shin Tae-yong yang berani lakuin revolusi di Timnas Indonesia sempet ga percaya kalo Indonesia sekelas itu mainnya walau kalah,benerbener atraktif banget indonesia lawan australia rutin diperagain indonesia lawan shin taeyong berani laku revolusi timnas indonesia percaya indonesia kelas main kalah,Negatif,0.086879835,0.5635231,0.34959704
"@yanpanjie @dwiwahyue_ @SiaranBolaLive Bukan salah pelatih? Otaknya dipake bro, federasi justru sering memfasilitasi pelatih timnas tapi tetep aja minim prestasi. Kalo liga mah gausah ditanya, emang liga kita itu busuk tapi ditengah kebusukan itu, cuma sty yg masih bisa bagus mainnya. Dan kualitas liga emg keluhan sty",salah latih otak pakai bro federasi fasilitas latih timnas minim prestasi liga mah enggak usah liga busuk busuk sty bagus main kualitas liga keluh sty,Negatif,0.0025127493,0.98364323,0.0138440505
timnas u20 mainnya jelek passing salah mulu ya begitulah gambaran timnas tanpa sty,timnas main jelek passing salah mulu gambar timnas sty,Negatif,0.009588493,0.95656914,0.03384238
"Sekarang lawannya udah Jepang, Australia ga lagi timor leste, brunei. Kemarin aja bilangnya target 16 besar mau perpanjang katanya profesional? Di tangan STY mainnya timnas udah baguss pakk, kalo ditinggal sty mau balik diera kegelapan lagi? Mulai dari awal lagi?",lawan jepang australia timor leste brunei kemarin target profesional tangan sty main timnas bagus pakk tinggal sty era gelap,Negatif,0.06375073,0.6897696,0.24647963
"@The_RedsIndo BIG NO, ntar mainnya balik ke setelan pabrik. Di era STY timnas mainnya udah berkembang, masak mau di mundurin lagi. Yang bener aja? Rugi dong!",redsindo big no entar main setel pabrik era sty timnas main kembang masak mundurin rugi,Negatif,0.19644286,0.5846123,0.21894479
"@The_RedsIndo kalo yang gantiin STY beneran FH, mohon maaf gue pensiun nonton timnas 🙏🙏  mau lu juara AFF 10 kali jg bodoamat ajg, udah kebaca gaya mainnya gimana",redsindo ganti sty fh mohon maaf gue pensiun tonton timnas lu juara aff kali bodoamat ajg baca gaya main,Negatif,0.01946657,0.9236538,0.056879643
@KABAR_CHELSEA Lah dulu diego costa gacor di chelsea tapi timnas gatau kyk apa mainnya intinya jarang keliatan dah di timnas,chelsea ego costa gacor chelsea timnas enggak tau kayak main inti jarang lihat deh timnas,Negatif,0.006901196,0.96995115,0.023147684
