full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"Dimana-mana tugas pelatih timnas ya cari pemain yg sesuai kriteria dan tentunya sesuai dgn rencana mainnya, bukan kriteria ketum federasinya. Kalo emg STY lebih suka dgn striker tipe yg bisa nahan bola dan jadi pemantul atau bagus akselerasinya, ya Struick emg udah paling bagus.",dimanamana tugas latih timnas cari main sesuai kriteria sesuai rencana main kriteria tum federasi sty suka striker tipe tahan bola pantul bagus akselerasi struick bagus,Positif,0.0629265,0.17168921,0.7653843
"@Indostransfer Habis Luis milla ganti Simon McMenemy, Timnas jadi njomplang banget mainnya https://t.co/6eaRDz3UfJ",habis luis milla ganti simon mcmenemy timnas njomplang banget main,Positif,0.04082962,0.14313559,0.81603473
"@nasi_uduk89 @ariffuadi79 @wobowobow @Box2boxID @Box2BoxBola @TimnasIndonesia nih mungkin lu lupa mainnya kedua timnas tahun 2007 tuh cuma modal longball, crossing, skill individu, sama nyari kesalahan lawan doang, barangkali lupa mainnya kurang lebih kaya ini   https://t.co/sc8TtHypoz",uduk lu lupa main timnas modal longball crossing skill individu cari salah lawan doang barangkali lupa main kayak,Positif,0.24490273,0.32829195,0.42680535
"Di babak 16 besar cuma timnas doang yg gak cetak gol dan kalah telak, tp mayoritas bilang mainnya bagus, terbagus selama nonton timnas katanya.",babak timnas doang cetak gol kalah telak mayoritas main bagus bagus tonton timnas,Positif,0.13267131,0.38511324,0.4822155
"Gw sgt senang liat permainan timnas indonesia lawan australia kemarin, seru. Berani menekan lawan. Ga kyk dlu baru menit 60 udh kehabisan tenaga.  Klo gw jd ketum PSSI udh lgsg gw kasih kontrak jangka panjang. Ga perlu target juara, itu mah bonus, yg penting mainnya bener aja dlu",gue senang lihat main timnas indonesia lawan australia kemarin seru berani tekan lawan kayak menit habis tenaga gue tum pssi langsung gue kasih kontrak jangka target juara mah bonus main,Positif,0.27330437,0.29743218,0.4292635
"@kevinbahasbola Betul, penyelesaian akhir menjadi pr bagi timnas. Walaupun secara garis besar timnas ini mainnya udh cantik bangett kaya tim tim epl wkkww keren",selesai pr timnas garis timnas main cantik banget kayak tim tim epl wkkww keren,Positif,0.09245355,0.42196912,0.4855774
"@SiaranBolaLive fahkri husaini jadi pelatih timnas, fix timnas mainnya long ball long ball gak jelas lagi. terus banyak pemain titipan bung towel wkwkwkwkkw",fahkri husaini latih timnas fix timnas main long ball long ball main titip towel wkwkwkwkkw,Positif,0.107823946,0.15618533,0.7359907
Nonton timnas kelompok umur jadi gak seru semenjak timnas senior mainnya bagus. Standarnya naik.,tonton timnas kelompok umur seru semenjak timnas senior main bagus standar,Positif,0.1749738,0.34771788,0.47730833
"@lucxme_ @ImranHassan234 @idextratime @TimnasIndonesia Ga lihat rata2 umur pemain timnas senior brp? Ini bukan soal skor akhir, tp pola permainan. Mau kalah telak dr usbek sm thailand juga ga masalah, namnya juga uji coba. Tp kelihatan skema mainnya?",lihat umur main timnas senior skor pola main kalah telak usbek thailand nama uji coba lihat skema main,Positif,0.31624588,0.33532897,0.34842512
"@id_fm Waktu Milla juga gitu kan... udah bener nih jalannya  Mainnya juga oke waktu itu tapi memang secara prestasi piala gk ada eh tiba-tiba diganti karena gk menuhin target asian games  Nah skrg ini arahnya bakal kesana juga, udah bener ini timnas kita mau melangkah ke arah yg baik",fm milla jalan main oke prestasi piala eh tibatiba ganti menuhin target asi games arah kesana timnas lang arah,Positif,0.16458416,0.2265142,0.6089016
"@Fans_kardus11 @idextratime Pelatih bagus itu butuh pemain bagus juga. tanpa pemain bagus, pelatih ga ada gunanya. Klub aja ga sadar-sadar untuk bikin mainnya bagus &amp  bikin pemainnya jadi TOP wkwkkw Pemain klub sedikit banget yg masuk tim into timnas senior tuh",kardus latih bagus butuh main bagus main bagus latih klub sadarsadar main bagus main top wkwkkw main klub banget masuk tim into timnas senior,Positif,0.0007241894,0.026961878,0.9723139
"@The_RedsIndo Ngeri kalau pemain keturunan ini di timnas dilatih sama pelatih yang ga kompeten. Ga akan banyak ngaruh ke pemainnya soalnya di klub pasti lebih bagus, cuma bayangin jauh2 terbang buat bela timnas cuma buat disuruh main bola yg ga jelas arah mainnya.",redsindo ngeri main turun timnas latih latih kompeten ngaruh main klub bagus bayang terbang bela timnas suruh main bola arah main,Positif,0.19927563,0.32403255,0.4766918
"mulai suka timnas waktu diasuh coach sty karna mainnya mulai bagus, jd tertarik buat nonton. eh skrg ada rumor ganti pelatih lagi kayak FAKLAH ANJG",suka timnas asuh coach sty main bagus tarik tonton eh rumor ganti latih kayak faklah anjg,Positif,0.0903103,0.44742662,0.46226305
Emang harus diakui sih pas babak pertama itu timnas mainnya bagus tp tetep finishingnya ampassss🥱🥱🥱,pas babak timnas main bagus finishingnya ampassss,Positif,0.012886115,0.093790576,0.8933233
"Udah kaya tim eropa mainnya. Kalau timnas pertengahan 90an, udah dishoot kenceng dari detik ke-20 kayanya",kayak tim eropa main timnas an dishoot kencang detik kaya,Positif,0.25142774,0.24820754,0.5003647
"@idextratime @bliblidotcom Coach fakhri. Nanti pemain full di isi pemain Liga 1, mainnya long ball, menit 60 udah kecapean. Timnas idaman😋",coach fakhri main full isi main liga main long ball menit cape timnas idam,Positif,0.33082956,0.26624542,0.40292498
@ainurohman saya setuju kalo STY Mending pergi ajja... Mau sebagus apapun pelatihnya tetep aja timnas indonesia mainnya ya kayak gitu juga....,tuju sty mending pergi bagus latih timnas indonesia main kayak,Positif,0.24007653,0.33830824,0.42161524
"Timnas Indonesia sekarang mainnya udah Piala Asia, terus lawan-lawannya udah makin berkelas kayak Jepang, Irak, dan Australia. Eh masa' pelatihnya malah Fakhri 🤣🤣🤣  Panjang umur sepakbola Indonesia 😅",timnas indonesia main piala asia lawanlawannya kelas kayak jepang irak australia eh latih fakhri umur sepakbola indonesia,Positif,0.30763373,0.29275477,0.39961147
"Menatap Piala Asia ini bener beda banget pas diawal lolos, dengan pas seminggu mau mulai.  Awal optimis sekali. Pas mau mulai pesimis sekali.  Simple aja, pengen timnas lebih baik mainnya dibandingkan 2 pertandingan #wcq202 Uji coba lawan Libya &amp  Iran beneran gak saya anggap sih""",tatap piala asia beda banget pas lolos pas minggu optimis pas pesimis simple pengin timnas main banding tanding uji coba lawan libya iran anggap,Positif,0.06941349,0.35448942,0.5760971
"@colamandala @ainurohman era Luis milla dulu sayang banget, pas lagi naik2nya timnas, coba waktu itu diperpanjang ya minimal sampe AFF aja lah, kayaknya bisa juara klo liat mainnya",era luis milla sayang banget pas timnas coba minimal aff kayak juara lihat main,Positif,0.0026753964,0.066879734,0.93044484
"@gilabola_ina Setuju. Sy nonton Timnas dr jaman kaptennya Iswadi Idris th 70an. (Ya, sy tua). Sy YAKIN Timnas skrg mainnya BAGUS &amp  msh bs lebih bagus lg, krn msh muda², pelatihnya cocok dan momentumnya sdg bagus. Jangan dirusak (dg ganti pelatih ataupun terlambat perpanjang kontrak pelatih).",ina tuju tonton timnas jaman kapten iswadi idris an tua timnas main bagus bagus muda latih cocok momentum bagus rusak ganti latih lambat kontrak latih,Positif,0.007797862,0.15433529,0.83786684
"@Indostransfer Nonton timnas di afc, terus nonton liga 1, beda bgt cara mainnya",tonton timnas afc tonton liga beda banget main,Positif,0.23524924,0.2778297,0.48692107
"@gilabola_ina @carson_gianluca Gass bkin petisi aja ntr min.. bukan ngebela satu pihak, tpi demi progress timnas indo lebih baik kedepannyaa Trlepas piala asia kmren, ga liat apa kita mainnya dah ckup okee...media,komentator asing serta pelatih australia jga mengakui dan mengapresiasi timnas kita",ina gianluca gass petisi entar min bela progress timnas indonesia kedepannyaa trlepas piala asia kemarin lihat main deh okeemediakomentator asing latih australia apresiasi timnas,Positif,0.020070797,0.14500746,0.8349217
@thejurgenholic @bliblidotcom Semoga mainnya makin bagus biar bisa bersaing sama Foden di timnas Inggris,moga main bagus saing foden timnas inggris,Positif,0.0037991866,0.05303628,0.94316465
"@idextratime udah ga layak, semenjak sering nonton timnas mainnya enak",layak semenjak tonton timnas main enak,Positif,0.06304504,0.27815506,0.6587999
"@idextratime Tadi malam 7 pemain naturalisasi, 4 saya yg urus supaya cepat bisa main dalam waktu 8 bulan (cepatkan)...jd pemain timnas tidak hanya Liga 1 tapi juga pemain naturalisasi...dan semua td malam bagus mainnya...puas ngga sama semua pemain td malam ?",malam main naturalisasi urus cepat main cepatkanjd main timnas liga main naturalisasidan malam bagus mainnyapuas main malam,Positif,0.20036061,0.3027842,0.4968552
"@MafiaWasit Tadi malam 7 pemain naturalisasi, 4 saya yg urus supaya cepat bisa main dalam waktu 8 bulan (cepatkan)...jd pemain timnas tidak hanya Liga 1 tapi juga pemain naturalisasi...dan semua td malam bagus mainnya...puas ngga sama semua pemain td malam ?",malam main naturalisasi urus cepat main cepatkanjd main timnas liga main naturalisasidan malam bagus mainnyapuas main malam,Positif,0.20036061,0.3027842,0.4968552
"@idextratime di klub mainnya ngaco, di timnas ngaco juga,dan negaranya gagal di piala afrika.. balik ke klub naik pesawat pribadi dan cengar cengir.. urip songo tenan..",klub main aco timnas aco jugadan negara gagal piala afrika klub pesawat pribadi cengar cengir urip songo tenan,Positif,0.3430666,0.2785259,0.37840748
@unmagnetism STY ini apa ya mainnya kurang greget. kalau main bertahan trus coach benny dollo juga bisa seperti timnas 2009. kita harusnya berani bermain terbuka seperti Man City. kita lihat negara tetangga saja mampu menahan imbang Korea rank 23 masa kita ga mampu nahan Australia rank 25,sty main greget main tahan coach benny dollo timnas berani main buka man city lihat negara tetangga tahan imbang korea rank tahan australia rank,Positif,0.33622164,0.31639794,0.34738043
"@unmagnetism Lolos sih 16 besar, tapi cuma dibantu negara lain? Menang lawan Vietnam jg dapat gol dari langit. Seharusnya timnas gak seperti itu mainnya, coba pakai talenta2 asli Indonesia pasti lebih semangat mainnya, jadi kita pakai full lokal, pelatih nya indra sjafri 😤",lolos bantu negara menang lawan vietnam gol langit timnas main coba pakai talenta asli indonesia semangat main pakai full lokal latih indra sjafri,Positif,0.30168763,0.261131,0.4371814
"@IDGoonerscom Klo timnas mainnya bgtu dengan kualitas pemainnya ITU luar biasa tpi kalau arsenal dengan kualitas yang Ada Tapi Gak dapet apa2, EMG dibawah Arteta no hope dapet gelar",timnas main kualitas main arsenal kualitas arteta no hope gelar,Positif,0.1314477,0.33489096,0.53366137
appreciate buat timnas indo mainnya keren betul,appreciate timnas indonesia main keren,Positif,0.246401,0.25119925,0.50239974
"@NurHasa52632749 @erirendy5 @Indostransfer Tpi di era itu timnas kita msih menangan klo ketemu mereka, beda jauh ketika dilatih si engkong, hasil paling bagus ya seri, itupun di kandang kita mainnya",era timnas menang ketemu beda latih engkong hasil bagus seri kandang main,Positif,0.23473343,0.25089407,0.5143725
"timnas indo mainnya build up pelan-pelan dari belakang u bilang keren dan mirip tim epl, giliran semua tim serie a mainnya kaya gitu dibilang boring. pundit bola hipokrit amat kaya prabowo😑",timnas indonesia main build up pelanpelan keren tim epl gilir tim serie main kayak boring pundit bola hipokrit kayak prabowo,Positif,0.30428508,0.33620778,0.35950717
"Tidak kangen sama sekali, timnas waktu itu mainnya kebanyalan long ball, dapat bola buang jauh. Timnas sekarang jauh lebih berkembang dengan one two pass nya. Lagian lawannya lapis 2 waktu itu dan yg sekarang adalah tim pildun nya australi yg lolos 16 besar pildun.",kangen timnas main kebanyalan long ball bola buang timnas kembang one two pas lawan lapis tim pildun australi lolos pildun,Positif,0.31210265,0.25396726,0.4339301
"ivar menurut gue paling konsisten  otaknya encer banget jadi ga heran kalo dia market valuenya udah tembus 300K euro di umur 20 tahun  oh iya satu lagi, ivar itu adalah salah satu aktor timnas yang bisa bikin timnas jadi kelihatan enak mainnya  kalo duet ama haye gacor parah sih",ivar gue konsisten otak encer banget heran market valuenya tembus euro umur oh iya ivar salah aktor timnas timnas lihat enak main duet haye gacor parah,Positif,0.027933884,0.41079798,0.56126803
@adhi64543061 @mrdzputra kemarin lihat pas babak pertama mainnya keren banget lho. - Umpan mengalir - Jarang kesalahan - Build Up tertata - Pemahaman Taktik bagus semoga bisa jadi tulang punggung masa depan TIMNAS Indonesia.,kemarin lihat pas babak main keren banget lho umpan alir jarang salah build up tata paham taktik bagus moga tulang punggung timnas indonesia,Positif,0.0043603326,0.06123867,0.934401
"Tadi malam 7 pemain naturalisasi, 4 saya yg urus supaya cepat bisa main dalam waktu 8 bulan (cepatkan)...jd pemain timnas tidak hanya Liga 1 tapi juga pemain naturalisasi...dan semua td malam bagus mainnya...puas ngga sama semua pemain td malam ?",malam main naturalisasi urus cepat main cepatkanjd main timnas liga main naturalisasidan malam bagus mainnyapuas main malam,Positif,0.20036061,0.3027842,0.4968552
@virtualballers hubner sih keren bgt mainnya. baru gabung udh nyetel sama tim salut bgt. semoga yang lain jg bs stabil performanya kaya dia. semangat timnas🇮🇩🤍,hubner keren banget main gabung nyetel tim salut banget moga stabil performa kayak semangat timnas,Positif,0.0010242398,0.029772352,0.9692035
"makan tu beruntung. namanya jg olahraga, byk faktor yg buat suatu tim bs lanjut trs di turnamen diantaranya kerja keras, mentalitas dibarengi sdikit keberuntungan. akui aja timnas kita catat rekor baru lolos ke knockout. timnas kita dah berprogress, dr segi mainnya dah naik kelas",makan untung nama olahraga faktor tim turnamen kerja keras mentalitas bareng sdikit untung timnas catat rekor lolos knockout timnas deh berprogress segi main deh kelas,Positif,0.05609729,0.20215422,0.7417486
"@ainurohman Mainnya bagus banget sih udahan🔥 lupakan kekalahan 4 gol ini, fokus memperbaiki kekurangan yang ada dan konsisten menjadikan permainan seperti ini sbg standar minimum timnas",main bagus banget udahan lupa kalah gol fokus konsisten main standar minimum timnas,Positif,0.00440622,0.0628419,0.9327519
@javierali @GOAL_ID turunin ekspektasi lu yg kita lawan kemarin langganan masuk pildun dan timnas ini baru masuk piala asia setelah 17 thn absen dan pertama kali masuk 16 besar. mainnya juga udah bagus kok kalo lu liat permainannya bukan skornya ya.,id turunin ekspektasi lu lawan kemarin langgan masuk pildun timnas masuk piala asia absen kali masuk main bagus lu lihat main skor,Positif,0.26342064,0.25384226,0.482737
Nggak berhenti bilang BANGGA ama Timnas sekarang. Skuad termuda di turnamen✅ Mainnya tidak menggambarkan peringkat FIFA sama sekali✅ Rekor dan sejarah baru terpecahkan✅ Struick kalau senyum manis banget✅ https://t.co/f4yvN3U5s9,henti bangga timnas skuad muda turnamen main gambar peringkat fifa rekor sejarah pecah struick senyum manis banget,Positif,0.08969661,0.23363478,0.6766686
"Tadi malam 7 pemain naturalisasi, 4 saya yg urus supaya cepat bisa main dalam waktu 8 bulan (cepatkan)...jd pemain timnas tidak hanya Liga 1 tapi juga pemain naturalisasi...dan semua td malam bagus mainnya...",malam main naturalisasi urus cepat main cepatkanjd main timnas liga main naturalisasidan malam bagus main,Positif,0.2798961,0.31719196,0.40291193
"@Indostransfer Gol ke1 beruntung, gol ke2 kesalahan dari asnawi, gol 3 4 emang udah gaada semangat lagi mainnya timnas. Jadi bener apa kata sty permainan kita udah bagus tapi balik lagi keberuntungannya masih belum berpihak ke kita. Lawan australia bisa main kaki ke kaki aja udah salut saya.",gol untung gol salah asnawi gol enggak ada semangat main timnas sty main bagus untung lawan australia main kaki kaki salut,Positif,0.052582033,0.31985396,0.62756395
Terlepas dari hasil. Timnas mainnya keren pakai sangat. #STYSTAY https://t.co/ilv4UoVhVQ,lepas hasil timnas main keren pakai,Positif,0.1649063,0.23658052,0.5985131
