full_text,processed,predicted_label,predicted_probability_netral,predicted_probability_negatif,predicted_probability_positif
"@VNCSOOYA_10 @fakeforlive @barcastuff_idn Gw nonton semua match timnas jerman era nagelsmann juga gk jauh beda gaya mainnya ama flick, apalagi pas kalah ama austria dan turki, emang pemain2 jerman aja banyak yg ngedrop.",idn gue tonton match timnas jerman era nagelsmann beda gaya main flick pas kalah austria turki main jerman ngedrop,Negatif,0.1804435,0.5107022,0.30885428
"Dan yang gw salut, kali ini Pak Anies dan tim mainnya cukup bersih banget. Yang kotor2nya paling di level yang bawah banget diluar tim inti (timnas amin). Itupun paling ejek2an sosmed doang.  Bahkan kali ini Anies cukup menjaga jarak ama ulama2 provokatif yang lalu2. Salut",gue salut kali anies tim main bersih banget kotor level banget tim inti timnas amin ejek sosmed doang kali anies jaga jarak ulama provokatif salut,Negatif,0.023152696,0.87867516,0.0981722
@agamzet @agramadhaan @ccosrr @UpdateBolabola @love_gbk kalo gitu mending konser + timnas mainnya di gbk dua-duanya?,gbk mending konser timnas main gbk duaduanya,Negatif,0.21425949,0.49339205,0.2923484
Pantes aja ntn timnas kor mainnya jelek bgt kmrn lawan yordan..trnyata krna emg ad masalah internal,tonton timnas kor main jelek banget kemarin lawan yordantrnyata internal,Negatif,0.0058653136,0.94752365,0.046611022
"@hari_coupetz @smpkcng @UpdateBolabola bener sih 😅 cuma kalo mau melebarkan konteksnya, timnas jg lanjutan kualifikasi pildun mainnya di bulan ini. malahan mepet sehari sama perkiraan hari pengumuman hasil akhir rekap KPU. itu sih yg juga jadi concern bang~",coupetz lebar konteks timnas kualifikasi pildun main mepet hasil rekap kpu concern bang,Netral,0.3785092,0.27091578,0.350575
"misal mereka bener main di indo, mainnya di JIS apa GBK ya? soalnya kalau Maret kan bentrok Ama timnas Indonesia",main indonesia main jis gbk maret bentrok timnas indonesia,Positif,0.30128536,0.25936872,0.43934596
@Miduk17 @Ariantobudi5 Saya bangga saat Timnas kalah 3-1 dari Jepang sebab MAINNYA CANTIK.,bangga timnas kalah jepang main cantik,Positif,0.243402,0.2536232,0.50297487
@addlagii @Catatan_ali7 Bukan gitu.. 5tahunn lalu mainnya jg gini.. prabowo unggul. Kecurangn byk sama bgt lah kayak sekarang..2 kali ke MK 2 kali kalah.. makanya untuk ke3 dan kali ini anies jd pd pesimis.. kirain ada plot twist.. timnas amin nyiapin sesuatu.. mungkin pengawal dr luar,ali tahunn main prabowo unggul kecurangn banget kayak kali kali kalah kali anies pesimis ira plot twist timnas amin nyiapin,Positif,0.13053903,0.22546566,0.6439953
"Di TIMNAS sepak Bola saja sudah melakukan pondasi untuk perubahan,.agar Kedepan Indonesia Punya Timnas Yang Disegani Dunia,. Tapi malah memilih gaya mainnya Seperti Liga 2",timnas sepak bola laku pondasi perubahanagar indonesia timnas segani dunia pilih gaya main liga,Negatif,0.059309307,0.8581805,0.08251023
"@Indostransfer Memang dia jelek banget mainnya! Gak habis pikir bisa masuk timnas. Lamban,  rapuh, mudah ditembus. Perhatikan waktu lawan Australia waktu Piala Asia kmrn, 3 gol karena kelemahan Baggot gampang dieksploitasi.",jelek banget main habis pikir masuk timnas lamban rapuh mudah tembus perhati lawan australia piala asia kemarin gol lemah baggot gampang eksploitasi,Negatif,0.014694833,0.9342093,0.051095866
"@server_timnas @UpdateBolabola Nah..klo bek jangkung harus gini mainnya... Gk bole adu sprint... Tekel, body charge, duel  hrus kuat",timnas nahklo bek jangkung main adu sprint tekel body charge duel kuat,Positif,0.35189083,0.27778533,0.37032384
"@dyotalaks @SiaranBolaLive @makanbolaID Masa sich ngab. Makanya sekarang kok ngamuk2 terus. Mungkin dia pingin timnas mainnya kaya bebek di tengah lapangan, jadi komplin Mulu si towel itu ya. 🤣🤣",ngab ngamuk pengin timnas main kayak bebek lapang komplin mulu towel,Negatif,0.003616098,0.9714769,0.024907034
"@AkunInstan @RhmnAndi @volleyballidn Fahri pemain timnas juga bareng sama mega brngkat duluan ke LN bulan september kmrin, dia malah bagus terus sm kaya mega. Cuma mmng mtchnya sulit diakses dan mainnya jam 11 mlem mulu. Dia posisnya sama kaya farhan tp skrg posisi no 3 trbaik urusan passing ngalahin libero lain",fahri main timnas bareng mega brngkat duluan ln september kemarin bagus kayak mega mmng mtchnya sulit akses main jam mlem mulu pos kayak farhan posisi no urus passing kalah libero,Negatif,0.2105651,0.4599538,0.32948104
"@Jerseyforum Pingin jersey timnas buatan Erspo bisa bikin timnas menangan dan mainnya keren. Karena jersey biasa aja sekalipun, kalo timnya menangan pasti banyak yang beli..   Sama 3 layer harga. Udah cukup itu aja 🎯",pengin jersey timnas erspo timnas menang main keren jersey tim menang beli layer harga,Positif,0.22284357,0.31692976,0.46022674
@UpdateBolabola Kalo udah main di timnas khawatir dikatain pemain males. Do'i mainnya ga banyak lari. Simple tapi vital. Eksekusi bola matinya yahud.,main timnas khawatir katai main malas doi main lari simple vital eksekusi bola mati yahud,Positif,0.2608336,0.2985613,0.44060507
timnas hoki bgt bisa dapet thom haye jago bener mainnya 😭,timnas hoki banget thom haye jago main,Positif,0.015467152,0.23403569,0.7504971
"@idextratime @bliblidotcom Ngeri bgt gaya mainnya haye , mimpi apa timnas punya diaspora kek gini 😭",ngeri banget gaya main haye mimpi timnas diaspora kayak,Positif,0.026726462,0.39809495,0.5751787
@SiaranBolaLive Mainnya kayak mirip timnas Indonesia ya. Jangan2 pelatihnya memang bener2 jiplak permainan yang fantastis timnas Indonesia,main kayak timnas indonesia latih jiplak main fantastis timnas indonesia,Negatif,0.18132539,0.5553696,0.263305
@mudasir_11 @indosupporter Pemain indonesia yang kebiasaan star syndrome kaya gini emang udah harusnya dibuang. Soalnya kalo masuk ke timnas biasanya mainnya kek tai,main indonesia star syndrome kayak buang masuk timnas main kayak tahi,Negatif,0.05512354,0.81206346,0.13281305
"ngintip bundesliga ayah minjae mainnya beda sama pas di taeguk, gw rasa ada aura jelek yg nutupin pemain aboard pas balik ke timnas",intip bundesliga ayah minjae main beda pas taeguk gue aura jelek tutup main aboard pas timnas,Negatif,0.038061045,0.8738028,0.0881362
"Siapa yg kemarin nonton Timnas Indo lolos 16 besar Piala Asia di era Presiden Jokowi? Gimana, bangga kan? Hanya di era Jokowi l, jaya jaya jaya  Gitu kah mainnya? 🤣",kemarin tonton timnas indonesia lolos piala asia era presiden jokowi bangga era jokowi jaya jaya jaya kah main,Positif,0.30859044,0.25745258,0.433957
@derwustenfuchss @indosupporter Kalau benar spt itu artinya dia kurang jauh mainnya. Dulu Guss Hiddink jg pernah ngelatih Chelsea saat masih jd pelatih timnas Russia.,arti main guss hiddink ngelatih chelsea latih timnas russia,Positif,0.34787536,0.27410874,0.37801588
"@Indostransfer Ni pelatih emg GG sih. Gak salah Borneo rekrut dan perpanjang ni pelatih 😁  Secara pola mainnya, bagus dan no doubt sih. Klo buat pelatih Timnas, cocok sih. Apalagi usia muda",latih salah borneo rekrut latih pola main bagus no doubt latih timnas cocok usia muda,Positif,0.020497773,0.11697324,0.8625289
Musim ini memang seru Premier League punya Aston Villa La Liga punya Girona Bundesliga punya Leverkusen Indonesia punya Timnas Amin (POV:  Tim underdog yang mainnya lumayan bagus nan konsisten) #cumansekedarkomen #bukanpendukung01atau03apalagi02,musim seru premier league aston villa liga girona bundesliga leverkusen indonesia timnas amin pov tim underdog main lumayan bagus konsisten,Negatif,0.04760369,0.4923418,0.46005452
"Nontonin timnas volly Indonesia, mainnya bisa keren gitu ya",nontonin timnas volly indonesia main keren,Positif,0.2660858,0.2834264,0.4504878
@barrudaks abis ini langsung ikut timnas ya? UPDATE KE AKU PLEASE TD GIMANA MAINNYA,habis langsung timnas update please main,Negatif,0.2840088,0.5204513,0.19553983
@meta_parad44820 @idextratime Liat nanti wkwk. Diaspora era etho blm ada yg main dan liga nya msh kacau. Prestasi yg km banggakan itu cm timnas yg dilatih STY. yg bahkan cara mainnya udh berkembang dan bagus di AFF 2021 Singapore. Liga ga bikin etho kesorot cm timnas. Dan klo ngikutin timnas mah itu kerja STY,parad lihat wkwk diaspora era etho main liga kacau prestasi bangga timnas latih sty main kembang bagus aff singapore liga etho sorot timnas timnas mah kerja sty,Positif,0.07456945,0.35853234,0.56689817
"@Kim_TDH Tapi belum tahu 2 anaknya itu di usia berapa mainnya... klo U23, U20 or U17 harusnya dicek sama PSSI or tim pelatih... kalau memang punya kualitas untuk timnas kenapa engga...",tdh anak usia main orang cek pssi orang tim latih kualitas timnas,Negatif,0.00400874,0.9780643,0.01792695
"@JgnJudiOnline @Dw1_Haryant0 @pthlhd @indosupporter makanya nonton bola itu kalau mau di nilai jangan cmn liat goal2 doang, tp cara mainnya. lu harus sadar diri, negara lu selama ini stuck, baru skrng berani bermain secara modern. lu harus liat pelatih lokal di timnas usia aja cara mainnya gmn? sorry to say katrok.",haryant tonton bola nilai cuman lihat goal doang main lu sadar negara lu stuck berani main modern lu lihat latih lokal timnas usia main sorry sayang katrok,Negatif,2.0890278e-05,0.99975425,0.00022481215
Timnas Amin mainnya cantik gak grasah grusuh kyk capres sebelah pas 🤣🤣🤣 Jgn di intimidasi di 14 Peb 2024 tetap 01. @AditBandit234 @AndyTjondro   @G0mb4k   @xquitavee,timnas amin main cantik grasah grusuh kayak capres belah pas intimidasi peb,Negatif,0.15407062,0.6964693,0.14946
"@Unterhose08 @Opariorio @idextratime @EmiratesFACup Enzo di timnas cemerlang mainnya karena ada Mac Allister, pun dengan si Caicedo mainnya bagus karena ada Mac Allister pas main di Brighton.  Nah skrng 2 orng itu tandeman di Chelsea. Mainnya masih on off, klo lg bagus ya bagus. Tp lebih sering off perform..angin2an blm konsisten",enzo timnas cemerlang main mac allister caicedo main bagus mac allister pas main brighton orang tandem chelsea main on off bagus bagus off performanginan konsisten,Negatif,0.061462473,0.6658721,0.27266547
"@Aranaya1902 @Z_4bidin @indosupporter ya ga tau, gua ga ada kritik karena gua liat sendiri mainnya timnas beneran berkembamg dibanding sebelum sebelumnya",bidin gua kritik gua lihat main timnas berkembamg banding,Negatif,0.06560591,0.77606267,0.15833142
@FabHakim @Indostransfer main di klub pun banyak kebobolan nya faktor bek dan mainnya aga kurang setelah balik dari timnas butuh istirahat   wkwk,main klub bobol faktor bek main aga timnas butuh istirahat wkwk,Positif,0.27223176,0.22713727,0.500631
"@singeuri14 Tpi semoga mainnya serius buat test tim masing-masing, tpi gk tau kenapa udh pesimis duluan soalnya ini tim merah lucu tpi timnas indo jga gk kalah lucu sih *eh🤐",moga main serius test tim masingmasing pesimis duluan tim merah lucu timnas indonesia kalah lucu eh,Positif,0.32991573,0.25826353,0.4118207
"@tisadati @ruangtaktik wkwkwk sepakat, dulu cuma bisa bagian stopper sama sapu bersih bola aja, mana bisa suruh build up serangan sama true pass 😂 dulu aja saya pas 2010 bilang kalau timnas AFF 2010 mainnya biasa aja pada dihujat ama temen² saya, padahal emang biasa aja mainnya 😆",wkwkwk sepakat stopper sapu bersih bola suruh build up serang true pas pas timnas aff main hujat teman main,Negatif,0.017396195,0.60043466,0.38216907
"@kumparan Wahh kok gini mainnya.  Timnas sudah mulai bagus, jgn karena 02 nnti kalah pnya niat buruk mau hancurkan Timnas",main timnas bagus kalah niat buruk hancur timnas,Negatif,0.0048927353,0.96979314,0.025314093
"Titip peetanyaan utk pundit itu, min. Tolong tanyain, kenapa Vietnam kalau bertemu Indonesia mainnya jadi agresif, tengil bahkan cendrung kasar? Juga sering memancing-mancing emosi pemain² timnas Indonesia. Padahal bertemu tim lain, Vietnam bermain 'normal'.",titip peetanyaan pundit min tolong vietnam temu indonesia main agresif tengil cendrung kasar memancingmancing emosi main timnas indonesia temu tim vietnam main normal,Positif,0.30942756,0.3058533,0.3847192
"@habilhudioro @CoachJustinL baru liat mainnya M Sihran enak ternyata. umur msh 24 jg. cuma emang postur terlalu kecil, tp bisa tuh utk timnas yg lagi ga ada pemain2 gesit dan cepat",lihat main sihran enak nyata umur postur timnas main gesit cepat,Negatif,0.107937165,0.4484352,0.44362766
"@aarifbudiart @barcastuff_idn Flick bagus dalam mengimprove fitness dan stamina pemain, sesuai dgn gaya mainnya yg kuat high press dan cepat.. Di Timnas susah diterapin karna fitness dan stamina pemain tergantung pelatihan apa yg pemain dapatkan di klub asal masing² pemain",idn flick bagus mengimprove fitness stamina main sesuai gaya main kuat high press cepat timnas susah diterapin fitness stamina main gantung latih main klub main,Positif,0.13307801,0.2271356,0.63978636
"@SeputarMadrid Pemain muda tpi bkn pemain muda macam Nico Paz, Iker Bravo dan pemain muda biasanya. Tapi pemain muda macam vini, rodrygo, bellingham, camavinga pemain muda yg mainnya dewasa. Ga lama lgi bakal main di timnas prancis senior nih bocil",main muda main muda nico paz iker bravo main muda main muda vini rodrygo bellingham camavinga main muda main dewasa main timnas prancis senior bocil,Positif,0.036945023,0.14173532,0.82131964
"@kevinbahasbola Timnas Indo yg skuad nya tergolong muda dituntut mainnya kek timnas Argentina atau Prancis. Lawakan macam apa ini bung, termasuk bokap gw dia juga punya mindset yg gini juga😅",timnas indonesia skuad golong muda tuntut main kayak timnas argentina prancis lawa masuk bokap gue mindset,Negatif,0.09788316,0.73226064,0.16985618
"@charliebaung @FaktaSepakbola Timnas itu mainnya di jawa,bali,paling jauh ya palembang..selain itu tdk akan mau🤣",timnas main jawabalipaling palembangselain,Negatif,0.2848047,0.36901262,0.34618267
"@Indostransfer @mkrohman Nadeo dan Adam be like  Ya gini kita mainnya di timnas broo""""",nadeo adam be like main timnas broo,Negatif,0.055640787,0.8400467,0.10431253
"@medioclubID bagusnya kemauan towel kita turutin aja, pecat sty terus ganti pelatih sesuai rekomendasi towel, tapi nanti kalo ternyata timnas mainnya jadi jelek towel dihukum tembak mati sebagai pertanggung jawaban",bagus towel turutin pecat sty ganti latih sesuai rekomendasi towel nyata timnas main jelek towel hukum tembak mati tanggung,Negatif,0.0017445534,0.9889509,0.009304515
"@razakasri @medioclubID Lolos 16 besar loh, dan timnas mainnya ga kick and rush terus babak kedua udah ngos ngosan .  Gaada pemain titipan juga, squad termuda pula.  Kalo diliat dari 1 dekade terakhir timnas, nyangka ga bakal lolos 16 besar? Juara AFF aja kagak. Lolos piala asia aja baru setelah 2007.",lolos timnas main kick and rush babak ngos ngosan enggak ada main titip squad muda lihat dekade timnas sangka lolos juara aff kagak lolos piala asia,Negatif,0.0497663,0.8556945,0.09453927
@afcasiancup Anjirrr gue kiraa korea bakalan yg juara😭 tpi timnas arab tuh emanggg bagus bgt mainnya,anjir gue kiraa korea juara timnas arab emanggg bagus banget main,Negatif,0.011369522,0.7286834,0.2599471
"@kegblgnunfaedh Serius nanya, kalo mainnya bagus gini ada kemungkinan buat masuk timnas sana gak?",serius main bagus masuk timnas,Positif,0.07325766,0.39938343,0.52735895
"Timnas Korsel mainnya ga jelas, ga ada variasi serangan. Wajar kalau kalah lawan Jordan.",timnas korsel main variasi serang wajar kalah lawan jordan,Negatif,0.2534029,0.43500334,0.31159374
imo jordan ini timnas yg mainnya bener2 konsisten dr awal sih,imo jordan timnas main konsisten,Negatif,0.12363094,0.5658605,0.3105085
@Indostransfer Korsel jelek banget mainnya semenjak awal turnamen beruntung aja bisa sampai semifinal 😆 pantesan timnas sekelas Malaysia bisa nahan imbang mereka,korsel jelek banget main semenjak turnamen untung semifinal pantesan timnas kelas malaysia tahan imbang,Negatif,0.017706336,0.83945024,0.14284337
Sebenernya mega udah terkenal sih di kalangan penikmat voli indo. Tapi mungkin buat orang awam/umum lebih kenal wilda atau nggak yolla yuliana karena lebih sering diundang di acara tv juga. Kalo aku dari dulu emang paling suka mainnya mega ini diantara pemain timnas lainnya,mega kenal kalang nikmat voli indonesia orang awamumum kenal wilda yolla yuliana undang acara tv suka main mega main timnas,Negatif,0.20843802,0.43969554,0.35186648
"@karimamrullah82 @ainurohman Mas anda mainnya kurang jauh. Voli itu paling parah dan tertinggal federasinya dibanding PSSI dan PBSI😭. Mana ketumnya boomer antikritik jarang ngirim timnas apalagi putri ke turnamen inter, alasannya ga punya duit mulu!",mas main voli parah tinggal federasi banding pssi pbsi tum boomer antikritik jarang kirim timnas putri turnamen inter alas duit mulu,Negatif,0.18555678,0.62384427,0.1905989
Baru sadar ini mainnya pake stat pemain irl sesuai timnas masing2 dan menang lawan jepang 💀 Jagonya berlipat lipat,sadar main pakai stat main irl sesuai timnas menang lawan jepang jago lipat lipat,Negatif,0.18012393,0.59715986,0.2227162
"Ya setidaknya bisa cetak 1 gol 👏 Tapi gregetan timnas dalam posisi ketinggalan gamau main pressing kayak lawan Vietnam kemarin Kalo udah posisi kalah ya all out aja, bikin foul terus biar irama mainnya Jepang juga terganggu. Kayak lawan Vietnam kemarin kan bikin banyak foul",cetak gol gregetan timnas posisi tinggal enggak mau main pressing kayak lawan vietnam kemarin posisi kalah all out foul irama main jepang ganggu kayak lawan vietnam kemarin foul,Negatif,0.2968529,0.39140925,0.3117379
"Lolos atau enggak timnas Indo dr fase grup #AFCAsianCup2023 , apresiasi buat pemain, pelatih dan setiap elemen yg mempersiapkan timnas ini. Nggak nyangka aja. Timnas, ranking 140an FIFA, mainnya nggak kayak ‘timnas yg dulu gua tau’. Mental jg keras!! Salut lah!!",lolos timnas indonesia fase grup apresiasi main latih elemen timnas sangka timnas ranking an fifa main kayak timnas gua mental keras salut,Negatif,0.043157496,0.83475864,0.122083895
"@FaktaSepakbola Kalau kaya gini, Mereka mainnya pakai timnas Indo berarti ya ? Keren amet stats pemainnya kan juga dibawah"" daei negara lain. Apalagi Jepang.""",kayak main pakai timnas indonesia arti keren amet stats main daei negara jepang,Negatif,0.17522484,0.54481655,0.2799586
"@mr_riopermana @roman_paqr @legislatweet Ya elah mainnya kurang jauh, jaman Pak Anies di Jakarta banyak banget perizinan yg diterbitkan untuk rumah ibadah baik gereja, vihara, pura sampai kuil. Timnas jg banyak yg nonis. Dan pendukung Pak Anies yg dilabelin radikal ga ada tuh yg protes. Itu baru namanya toleransi",riopermana paqr elah main jaman anies jakarta banget izin terbit rumah ibadah gereja vihara pura kuil timnas non dukung anies dilabelin radikal protes nama toleransi,Negatif,0.0780305,0.7840063,0.13796319
@Bali_Football habis nonton Piala Asia terus nonton Liga 1 rasanya jeblok bener. Ga yakin bakal bisa melahirkan pemain yg mainnya kayak timnas di Piala Asia kemaren~,football habis tonton piala asia tonton liga jeblok lahir main main kayak timnas piala asia kemarin,Positif,0.2312921,0.29358584,0.475122
"@yourmaolanaa @noershall @Iniozan9 @idextratime wkwkwk ngeliat ettorito kek mainnya timnas italia jaman 2000an  gol 1, langsung bertahan, ulur waktu😂🤣",wkwkwk lihat ettorito kayak main timnas italia jaman an gol langsung tahan ulur,Positif,0.3327046,0.29640472,0.37089068
@simamaung Abang2an persib geus teu bisa diandelkeun... Dari tahun ke tahun pemain jeung pelatih jempolan datang dan pergi.tapi ya gitu2 aja mainnya... Mungkin manajemen persib ada niatan buat potong generasi kayak timnas atau psm lah di level klub mah.siapa tau bisa berubah...,abangan persib geus teu diandelkeun main jeung latih jempol pergitapi main manajemen persib niat potong generasi kayak timnas psm level klub mahsiapa ubah,Negatif,0.3808281,0.42575556,0.19341639
"@CTsubasa_indo Di bagian ini kurang masuk akal, kiper legendaris tapi mainnya di timnas kelompok umur",indonesia masuk akal kiper legendaris main timnas kelompok umur,Netral,0.40500563,0.34907216,0.24592221
@StatsRawon Bad news buat Persebaya dan Timnas (senior-U23) 😰. Semoga gak parah dan Andhika mainnya lebih tenang lagi,bad news baya timnas senioru moga parah andhika main tenang,Negatif,0.008516476,0.9417944,0.0496891
@idextratime ini mainnya harus pakai timnas masing masing ya?,main pakai timnas,Negatif,0.30839902,0.38966322,0.3019378
@PKSejahtera Mudah2an timnas dah petain potensi kecurangan di 19 provinsi. Utk capai 50%+1 mungkin mainnya di situ. Bisa jadi penggelembungan or pengurangan suara.,mudah timnas deh petain potensi curang provinsi capai main situ gelembung orang suara,Positif,0.15779306,0.3387865,0.5034205
"@idextratime Mari berandai-andai timnas mainnya di Asian Cup kaya di eAsian Cup. Mungkin belum sekarang, semoga tahun yang akan datang mainnya sekeren ini.   https://t.co/9ZDKGG3dTM",mari berandaiandai timnas main asi cup kayak easian cup moga main keren,Netral,0.36167547,0.2776252,0.36069933
Andai saja timnas indo in real life mainnya kayak di e-football 😄,andai timnas indonesia real life main kayak efootball,Negatif,0.20164165,0.5734689,0.22488949
Chelsea musim ini tanding sama timnas aja keknya bagusan mainnya timnas.,chelsea musim tanding timnas kayak bagus main timnas,Positif,0.12709159,0.22608662,0.6468218
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo kita lawan siapa dah?",korsel main longball kayak era gelap timnas indonesia lawan deh,Negatif,0.007484192,0.9602107,0.032305155
Ga boong ini dejavu kcc taun lalu sama fp yang timnas jordan terus dia di fiba ac mainnya BAGUS BANGET KYK 🤡🤡🤡,bohong dejavu kcc fp timnas jordan fiba ac main bagus banget kayak,Positif,0.072132275,0.3697497,0.55811805
Edo abis balik dari timnas malah jadi tarkam gini mainnya wkwk,edo habis timnas tarkam main wkwk,Netral,0.48864946,0.32148695,0.18986355
"@aunrrahman bener sih, bahkan timnas aja yg peringkat bawah mainnya enak, sistematis banget. terus nonton liga 1 jadi agak gimana gitu",timnas peringkat main enak sistematis banget tonton liga,Positif,0.0098005375,0.1101769,0.88002264
"Belom bisa move on dari permainan timnas kemaren, ini liat persib mainnya kaya apaan anjir😂",move on main timnas kemarin lihat persib main kayak anjir,Negatif,0.07994255,0.8097677,0.11028977
kmrn nonton timnas trus skrg nonton liga 1 meni asa jauh gini mainnya,kemarin tonton timnas tonton liga meni asa main,Negatif,0.27548552,0.45471907,0.2697955
"@idextratime korsel mainnya longball terus, udah kek era kegelapan timnas indo",korsel main longball kayak era gelap timnas indonesia,Negatif,0.014147725,0.9478856,0.037966765
"Setelah sekian lama ga nonton liga indo, terus ngebandingin sama permainan Timnas di Asian Cup lngsng mikir Main apaan nih?"" BUSET JAUH BNGT.  Nonton liga indo vibesnya kek nonton fun football, masih ga keliatan profesional²nya. Mainnya kek sesuka pemainnya/ kek ga pake taktik""",sekian tonton liga indonesia ngebandingin main timnas asi cup lngsng mikir main buset banget tonton liga indonesia vibesnya kayak tonton fun football lihat profesional main kayak suka main kayak pakai taktik,Negatif,0.1497674,0.56176925,0.28846338
"Lee Soyoung tuh bener bener ya krusial banget buat defensenya jkj. Udah keren, cool, pembawaannya kalem, mainnya bagus semua aspek. Bener bener kesayangan sejuta umat 🙏 Please kmu jgn cidera lagi, mau liat kmu pake baju timnas olimpiade nanti 🫂",lee soyoung krusial banget defensenya jkj keren cool bawa kalem main bagus aspek sayang juta umat please cidera lihat pakai baju timnas olimpiade,Positif,0.012770369,0.11123246,0.8759971
Nonton AFC eASIAN Cup seru banget!! Timnas mainnya jago banget anjg🤩,tonton afc easian cup seru banget timnas main jago banget anjg,Positif,0.0020513963,0.11113868,0.8868099
@idextratime bayangin timnas beneran mainnya kyk efootball :(,bayang timnas main kayak efootball,Negatif,0.077763975,0.7769504,0.14528558
Pengen juga rewards pemain yang lagi perform di liga sekarang seperti @AbramWenas . Kayanya boleh sekali-sekali dikasih kesempatan si TimNas. Biar semakin semangat juga dia mainnya 💪🏽,pengin rewards main perform liga kaya sekalisekali kasih timnas semangat main,Negatif,0.11331017,0.637938,0.24875185
"Gue nonton @Lakers main, udah kayak @unmagnetism nonton timnas main. Kalo pas ditinggal, mainnya bagus, pas lagi ditonton, jelek banget",gue tonton main kayak tonton timnas main pas tinggal main bagus pas tonton jelek banget,Positif,0.024475452,0.30687693,0.6686476
