full_text,topic,processed,predicted_label,predicted_probability
@fuhayra Fw: somethinc yang low ph Moist cosrx yang oil free mantep bgt buat ngurangin redness,4,fw somethinc low ph memoist cosrx oil fre mantap banget rednes,Positif,[0.98979974]
@ohmybeautybank I've survived jg nder meskipun skrg blm mulus banget tp jerawatnya kalau pms ajaa Coba kamu hilangin produk yg ada alkohol parfum sama paraben nder. Rekomendasi Fw: hadalabo dearme beauty g2g blueberry npure abu2 Moist cosrx cerave hadalabo Ss: azarine facetology,2,ive survived dar belum_mulus banget jerawat pms coba hilang produk alkohol parfum paraben dar rekomendasi fw hadalabo dearme beauty tidak_bluebery npure abu memoist cosrx cerave hadalabo azarine facetology,Negatif,[0.79219985]
Ada yg pake skin1004 moist/cream nya gak sih? Review dong aku pake moist cosrx tenyata gk cocok di aku st ku oily klo pake ini jdi tambah oily trus gerah mau gnti syg bgt nunggu hbis dlu deh tpi bingung mau ganti apa https://t.co/B7XuRTvoUW,4,pakai sk moistcream tidak_review pakai memoist cosrx tenyata tidak_cocok st ku oily pakai oily gerah ganti sayang banget tungu habis deh bingung ganti apa-apa,Negatif,[0.5814277]
@ohmybeautybank moist cosrx no alcohol nder gede juga termasuknya dan ini awet bgtt https://t.co/12VYQa7BlO,3,memoist cosrx no alcohol dar gede masuk awet banget,Positif,[0.81401795]
skincare koreanya ternyata emg sebagus itu ya baru make moist cosrx 2 minggu udh kerasa kulit muka lebih sehat,2,skincare koreanya nyata bagus iya pakai memoist cosrx mingu kulit muka-muka sehat,Positif,[0.94058436]
moist cosrx berat bgt dan agak sumuk kalo dipake pas pagi,3,memoist cosrx berat banget sumuk pakai pas pagi,Positif,[0.60791016]
@ohmybeautybank moist wardah which hazel ya Allah bayangin aku udah beli moist cosrx oil free harga 200k ga cocok balik2 ke wardah si kuning yg ga sampe 30k itu tolong dong buat kemasan yg gedean dikit,4,memoist wardah which hazel iya alah bayang beli memoist cosrx oil fre harga tidak_cocok wardah kuning tidak_tolong kemas gede dikit,Negatif,[0.5708436]
@ohmybeautybank aku pake moist cosrx yang oil-free. setelah banyak nyoba nyoba moist cuma itu doang yang ga bikin kulit makin berminyak. anw aku pake moist kalo malem ajaa soalnya kalo pagi kan pake ss nah di ss itu udah ada kandungan buat moist kulit.,1,pakai memoist cosrx oilfre coba coba memoist doang tidak_kulit minyak anw pakai memoist malam pagi pakai kandung memoist kulit,Positif,[0.806436]
ak pakee moist cosrx ini udah 3 bulan mau habis sih. BUAT KULIT KENYEL2 PAGINYA enak kali woi. apalagi kalo dicium pipi sm ayang abis make moist ini pasti membal bibir ayang kelen. coba lah,2,pakai memoist cosrx habis kulit kenyel pagi enak kali woi cium pipi ayang habis pakai memoist membal bibir ayang kelen coba,Positif,[0.96404666]
@ohmybeautybank aku normal to oily pke moist cosrx yg snail cream nder,3,normal oily pakai memoist cosrx snail cream dar,Positif,[0.86514544]
Iri sama orang yg cocok sama ampoule skin1004 sama moist cosrx soalnya menurut gue murah dapet skincare gentong itu,2,iri orang-orang cocok ampoule sk memoist cosrx gue murah skincare gentong,Positif,[0.8060391]
@riianjanii Aku combi kak. Yang tzone minyakan tp u zone aku keringg banget. Dan meskipun makek ss tetep bisa dry. Makanya si moist cosrx ini bener bener nyelamatin aku dari sekian aku cobain moistt,4,combi kak tzone minyak-minyakan zone kering banget makek dry memoist cosrx benar benar selamat sekian coba memoist,Positif,[0.6885138]
@ohmybeautybank INI NDERR DEMI APA KUSAMKU HILANG KEMERAHANKU JG HILANG tambahin moist cosrx advanced snail 92 tambah mantulll https://t.co/wJtkRtN8pX,3,dar apa-apa kusam hilang merah hilang memoist cosrx advanced snail pantul,Positif,[0.6904018]
@whutzeetoya Jokes aside focalskin bagus ga buat jerawat aku pake moist cosrx malah jraway,2,jokes aside focalskin bagus tidak_jerawat pakai memoist cosrx jraway,Positif,[0.91864204]
kayaknya enakeun ini.. teksturnya agak mirip moist cosrx yg birch sap,4,kayak enakeun tekstur memoist cosrx birch sap,Positif,[0.74156296]
UNGUUU FAK CAKEP BANGET TAPI MOIST COSRX GW ABIS,2,ungu fak cakep banget memoist cosrx gue habis,Positif,[0.6295916]
mulai bruntusan.. INI BENERAN AKU GAK COCOK PAKE MOIST COSRX KAH....???,2,bruntusan benar tidak_cocok pakai memoist cosrx kah,Negatif,[0.5617493]
muka w pake moist cosrx &amp; skintific enak bgt asli yaallah alhamdulillah cocok bgt ternyata ,3,memuka-muka pakai memoist cosrx skintific enak banget asli yalah alhamdulilah cocok banget nyata,Positif,[0.9693869]
@kaleessee yaallah sama punya moist cosrx sialnya beneran cocok. makenya hemat² biar ga abis tp ini uda beneran mw abis jalan nyaris 6 bulanan,2,yalah memoist cosrx sial benar cocok makenya hemat tidak_habis benar habis jalan,Positif,[0.8142089]
buat yg pernah nyaranin pake moist cosrx PLIS MAKASIH BANGET KARNA MOIST ITU KONDISI WAJAHKU BAIKAN,2,saran pakai memoist cosrx plis terima kasih banget memoist kondisi wajah bai,Positif,[0.95125407]
@aeerrputihh moist cosrx salah gue terkecoh harga murah,2,memoist cosrx salah gue kecoh harga murah,Positif,[0.72120225]
@Jojessky Aku ga cocok pakw moist cosrx duit ku melayang ,3,tidak_cocok pakw memoist cosrx duit ku layang,Negatif,[0.97740465]
Mending ini apa moist cosrx ya.. Yg cosrx tu kaya minyakan gt jadinya kalo pake..,4,mending apa-apa memoist cosrx iya cosrx kayak meminyak-minya pakai,Positif,[0.5535552]
@ohmybeautybank Bener2 back to basic pasca nyoba2 skincare dan berujung breakout parahhh milk cleanser viva mw sea makeup fw cosrx moist cosrx ss biore,2,benar back basic pasca coba skincare ujung breakout parah milk cleanser viva sea makeup fw cosrx memoist cosrx biore,Negatif,[0.6331116]
@ohmybeautybank Aku pake moist cosrx yg oil control sama cosrx snail mucin pokoknya sehat banget di muka,4,pakai memoist cosrx oil control cosrx snail memuc pokok sehat banget memuka-muka,Positif,[0.9908963]
@rawolive Mnurutku dia ga hydrate kak mngkanya aku combine sama moist cosrx snail buat bekas jerawat menghitam dia memudarkan cuma ya harus sabar kak soalnya dia lumayan lama tapi kalo buat cerahin dia best bngett sihh,2,mnurutku tidak_hydrate kak mngkanya combine memoist cosrx snail bekas jerawat hitam pudar iya sabar kak lumayan cerah best banget,Positif,[0.99078125]
@kyddoss sebelumnya aku pake moist cosrx cocok udah habis berbotol botol cuma ya tetep aja berasa berat gitu loh kak sekarang gak pake moist sama sekali tapi gak kering kulit kuu,2,belum_pakai memoist cosrx cocok habis botol botol iya asa berat kak tidak_pakai memoist tidak_kering kulit ku,Positif,[0.7608964]
@ohmybeautybank Aku pake moist cosrx cocok buat dry skin klo mau mncerahkan bisa dikombo sama snail mucinnya tp gak cepet sih butuh proses https://t.co/nHK7QtcYSN,2,pakai memoist cosrx cocok dry sk mncerahkan kombo snail mucinya tidak_cepat butuh proses,Positif,[0.9749839]
COSRX Snail Mucin 96 Power Essence Produk ini q beli stlah beli Moist COSRX dan trnyta wow kombo yg sgt bagus. Sgt melembabkan bikin kulit lebih mulus dan memudarkan dark spot. Kulit muka keliatan jauh lebih sehat! Yg mau bisa dicheck di shopeenya https://t.co/X5wDrIc9fC https://t.co/mScQVoLAJV,4,cosrx snail memuc power esence produk beli stlah beli memoist cosrx trnyta wow kombo bagus lembab kulit mulus pudar dark spot kulit memuka-muka lihat sehat dicheck shopenya,Positif,[0.99425346]
@satuduapppiiip @ohmybeautybank makasih loh kak aku untung belum beli. sekarang aku lagi pake yg moist cosrx tapi yg snail all in one cream itu aku pikir yg oil free lebih bagus ternyata malah becek. ,1,terima kasih kak untung belum_beli pakai memoist cosrx snail al one cream pikir-pikir oil fre bagus nyata becek,Positif,[0.63662195]
@ohmybeautybank pokoknya skincare korea. walaupun mahal diawal tapi awet sampe setengah tahun. fw cosrx good morning moist cosrx oil free (lebih suka yang snail) ss carasun kuning st combi to oily,4,pokok skincare korea mahal awet tahun-tahun fw cosrx god morning memoist cosrx oil fre suka snail carasun kuning st combi oily,Positif,[0.89743143]
@diarydiary20 Fw hadalabo gokyujun moist cosrx ss skinaqua tutup ijo kak. Aku st oily btw Kayanya klo kusam kurang cocok sama ss nya dehh kak,4,fw hadalabo gokyujun memoist cosrx skinaqua tutup ijo kak st oily btw kaya kusam cocok deh kak,Negatif,[0.55936515]
apa aku beli moist skingame ya? ato ada saran yg lain gk guys? skrng aku pake moist cosrx oil free ngerasa kurang lembab,4,apa-apa beli memoist skingame iya saran tidak_guys pakai memoist cosrx oil fre lembab,Positif,[0.89279646]
sedih bgt moist cosrx skrng harganya up 270k,4,sedih banget memoist cosrx harga up,Positif,[0.5978948]
WWWWUGHHH ABIS MASKERAN MUGWORT DITIMPA MOIST COSRX ADALAH HMNBHGHHH ENAK BGT ANJING,2,wugh habis masker mugwort timpa memoist cosrx hmnbhgh enak banget anjing,Negatif,[0.7644007]
@womanfeeds_id tolong yg akunnya gak gembokan bilangin sendernya emang skrg moist cosrx ingredientnya ada yang diilangin. tea tree dan citrusnya jd gak wangi.,2,id tolong a tidak_gembokan sender memoist cosrx ingredientnya lang tea tre citrusnya tidak_wangi,Positif,[0.9542368]
@ohmybeautybank fw : erha ance yang biru moist cosrx oil free cintaku duniaku sayangku moist : sama kaya sender,4,fw erha ance biru memoist cosrx oil fre cinta dunia sayang memoist kayak sender,Positif,[0.6404911]
@ohmybeautybank pencarian moist ku panjaaaang bgt. tp moist cosrx snail baru coba tahun kemarin tp udah jadi moist kecintaan bgttttttt,4,cari memoist ku banget memoist cosrx snail coba tahun-tahun kemarin memoist kecintan banget,Positif,[0.8232578]
mw bgt ya Allah tp moist cosrx abis aja ak menangis meraung raung untuk repurchase,3,banget iya alah memoist cosrx habis tangis raung raung repurchase,Negatif,[0.97973764]
@ohmybeautybank Moist cosrx di muka badak saya hasilnya b aja asli.,3,memoist cosrx memuka-muka badak hasil asli,Negatif,[0.5451522]
@ohmybeautybank baru pake semingguan yg watery dia dr fisik mirip moist cosrx itu tp setelah di-apply lebih lengket in a good way sih. kalau cosrx dia berasa lgsg leleh di-apply tapi kalau ini ga masih bisa ngerasain tekstur pelembabnyah,2,pakai seminguan watery fisik memoist cosrx sete diaply lengket god way cosrx asa langsung leleh aply tidak_rasai tekstur pelembabnyah,Positif,[0.9851746]
@ohmybeautybank Moist cosrx yang oil free kata orang sebagus itu tapi kataku se gabagus itu. Bikin minyakan lama menyerap nya bkin agak kusam,4,memoist cosrx oil fre kata-kata orang-orang bagus gabagus meminyak-minya serap kusam,Negatif,[0.63915217]
@ohmybeautybank Moist cosrx maybe emang ga cocok di aku karna tiap kulit org beda-beda,3,memoist cosrx maybe tidak_cocok kulit orang bedabeda,Negatif,[0.9508617]
@jivsal Ya kann!! Dengan isi sebanyak itu lumayan banget loh meskipun aku fans moist cosrx garis keras wkwk,3,iya isi lumayan banget fan memoist cosrx garis keras wkwk,Positif,[0.6019592]
@dokyeomentary_ aku pake moist cosrx sm ss skinaqua tutup putih. mantullll,4,pakai memoist cosrx skinaqua tutup putih pantul,Positif,[0.9677169]
DEMIAPA MOIST COSRX W BNRN WORKS yaallah terharu kulit yg lepas2 sdh mulai menyatu kembali,2,demiapa memoist cosrx benar works yalah haru kulit lepas,Positif,[0.81178916]
@ohmybeautybank aku pake ini nggak ada masalah apa-apa di kulit wajah ku yang oily cukup melembabkan ringan juga. tapi giliran aku pake moist lokal malah jerawatan mulu padahal selama pake moist cosrx ini nggak pernah jerawatan mukanya bersihan juga,3,pakai tidak_apapa kulit wajah ku oily lembab ringan gilir pakai memoist lokal jerawat mulu pakai memoist cosrx tidak_jerawat muka bersih,Positif,[0.9158844]
@ohmybeautybank Diaku ini oke cuma menurutku kurang aja lembabnya akhirnya beralih lagi ke snail moist cosrx tp overall enakeun kok di layer sama apapun masuk cepet set dan g bikin gerah selama pakai ini aman aman aja kulitku,3,diaku oke lembab alih snail memoist cosrx overal enakeun layer masuk cepat set gerah pakai aman aman kulit,Positif,[0.98847103]
@ohmybeautybank Aku ga cocok pakai ini malah tambah buat kusam waktu itu pernah abis exfo terus pake moist cosrx ini malah muka ku kaya jadi merah gitu padahal urutan pake skincare nya bener emang akunya ga cocok sih sm cosrx ini dan satu lagi malah buat bruntusan di idung,2,tidak_cocok pakai kusam habis exfo pakai memoist cosrx memuka-muka ku kayak merah urut pakai skincare benar a tidak_cocok cosrx bruntus hidung,Negatif,[0.51591027]
-jualaness moist cosrx ori dari official store HJ 170k aja dijual karna ngga cocok https://t.co/fO6zXpMJbu,0,jualanes memoist cosrx orisinal oficial store hj jual tidak_cocok,Negatif,[0.5826013]
@gevenavraa moist cosrx oil free ultra moisturizing bikin lembab benerin skin barrier mana abisnya 6 bulanan️,4,memoist cosrx oil fre ultra moisturizing lembab benar sk barier abis,Positif,[0.62637115]
@ohmybeautybank Kalau aku pakai cosrx nder memang kebetulan kulitku oily dan area Tzone paling parah. Untungnya bisa terkontrol dengan moist cosrx https://t.co/z1ptU3t22G,4,pakai cosrx dar kulit oily area tzone parah untung kontrol memoist cosrx,Positif,[0.7252424]
Gue keknya emang gak cocok dah ama tu moist cosrx pake itu malah beruntusan padahal niat gue ngabisin aja karna beli yg kecil. Ya udah emang paling bener illiyoon,4,gue kayak tidak_cocok deh memoist cosrx pakai beruntus niat gue abis beli kecil-kecil iya benar iliyon,Negatif,[0.9107339]
@ohmybeautybank Aku kayak gini abis nyoba moist cosrx pertama kali aku terus pakai sampai sekarang udah 1 bulan. Jerawat ini hilang 2-3 hari aja. Sekarang kulitku better bangeeet. Purging bukan si itu namanya,2,kayak habis coba memoist cosrx kali pakai jerawat hilang kulit beter banget purging bukan_nama,Negatif,[0.5979495]
@jnlofs kalau mau pake moist cosrx yg snail muchin (pake kalau malem aja) / azarine bebas mau pake malem atau pagi nyesuain kulit aku pake itu. kulit kt sama type oily pake itu kalau malem hasilnya bagus banget tp ini cocok cocokan yaa !!,4,pakai memoist cosrx snail muchin pakai malam azarine bebas pakai malam pagi nyesuain kulit pakai kulit type oily pakai malam hasil bagus banget cocok cocokan iya,Positif,[0.98754585]
@ohmybeautybank Moist cosrx iniiii andalan bgt bagus di kulit https://t.co/16A5LpxWv1,4,memoist cosrx andal banget bagus kulit,Positif,[0.9821968]
@ohmybeautybank temanku pake basic skincare aja sama salep dan obat dari consult di halodoc. fw: cosrx good morning moist cosrx oil free ss: carasun kuning. 2 bulanan alhamdulillah udah mendingan,4,teman pakai basic skincare salep obat consult halodoc fw cosrx god memorning memoist cosrx oil fre carasun kuning alhamdul mending,Positif,[0.9168797]
wow u guys harus coba moist cosrx yg oilfree itu bagus bgt!!!!!!,2,wow guys coba memoist cosrx oilfre bagus banget,Positif,[0.9710735]
agaknya harga moist cosrx mahal gegara pak anies,4,harga memoist cosrx mahal gegara anies,Positif,[0.57128924]
@ohmybeautybank sebagai st normal to dry yg udah coba illiyoon dan cosrx prefer illiyoon karena jauh lebih ngelembapin. sorry to say tp menurutku moist cosrx ini overated,2,st normal dry coba iliyon cosrx prefer iliyon lembap sory sayang memoist cosrx overated,Positif,[0.8635099]
Pencapaian terbesar gweh bln ini: beli moist cosrx snail pake duit sendiri... 215k di sociolla... Hasilnya okehh kok ak rajin pake kalo weekend tiap abis mandi sm sblm tidur kalo hari sekolah pas sebelum tidur doang.. soalnyh kalo pagi ditumpuk ss jd oily,1,capai gweh beli memoist cosrx snail pakai duit sociola hasil okeh rajin pakai wekend habis mandi belum_tidur sekolah pas belum_tidur doang soalnyh pagi tumpuk oily,Positif,[0.86220723]
pengen nyoba moist cosrx tapi kok lumayan ya harganya ,2,pengin coba memoist cosrx lumayan iya harga,Positif,[0.6709907]
@ohmybeautybank Cosrx moist nder!!! aku normal to dry sebelumnya pake skintific tapi ga sanggup repurchase mahal trs isinya dikit:( cosrx bagus bgt asli muka ku jadi lebih alus dan cerahan pas pake moist cosrx. Dia membantu skincare lain bekerja lebih maksimal https://t.co/16A5LpxWv1,2,cosrx memoist dar normal dry belum_pakai skintific tidak_sangup repurchase mahal isi dikit cosrx bagus banget asli memuka-muka ku alus cerah pas pakai memoist cosrx bantu skincare kerja maksimal,Positif,[0.9486917]
@convomfs beli di cosrx ada shopeemallnya. harga lebih murah dikit dari sociolla tadi siang aku juga beli pas live moist cosrx dari yg biasanya 240an jadi cuma 185an,1,beli cosrx shopemalnya harga murah dikit sociola siang beli pas live memoist cosrx an an,Positif,[0.9137869]
@convomfs help ges gw mau beli moist cosrx tapi kata sodara gw itu brand pro israel bnrn ga siii??? mumpung blm beli,2,help ges gue beli memoist cosrx kata-kata sodara gue brand pro israel benar tidak_mumpung belum_beli,Negatif,[0.9855987]
@sandyyakala Nda ji kak saya pake moist cosrx dengan exfonya avoskin bersamaan dan sejauh ini aman aman sajaa,2,indak ji kak pakai memoist cosrx exfonya avoskin saman aman aman,Positif,[0.9929946]
@ohmybeautybank Sebenarnya pengen nyoba moist cosrx tp stok originote ku masih banyak.Dan takutnya ga mampu beli cosrx bulan berikutnya karna harganya lumayan mahal jadi mau tetap pake originote aja yang udah pasti bisa kebeli karna sajauh ini masin aman aman aja,2,benar pengin coba memoist cosrx stok originote ku banyakdan takut tidak_beli cosrx harga lumayan mahal pakai originote kebel sajauh masin aman aman,Positif,[0.9451659]
@lmnpqrstuvwxy Skin type kita samaa aku lebih prefer ke moist skintific kak bestt bangett nah kalo moist cosrx bagus cuma di aku kurang ngefek gt huhu,3,sk type prefer memoist skintific kak best banget memoist cosrx bagus ngefek huhu,Positif,[0.96266925]
@putrisilwii @ohmybeautybank Kak aroma dari moist cosrx gimana ya? Aku barusan beli dari soco app tapi bau nya agak apek. Kata adminya formula baru.,4,kak aroma memoist cosrx iya barusan beli soco bau apek kata-kata adminya formula,Positif,[0.50792384]
seneng bgttt moist cosrx ku udah dateng,2,senang banget memoist cosrx ku,Positif,[0.84850156]
@imintyu @ohmybeautybank Bener bangeeeet aku mau ganti cosrx ke Hyalupure. Soalnya makin ke sini moist cosrx rasanya bikin kulit sumuk rada panas,4,benar banget ganti cosrx hyalupure memoist cosrx kulit sumuk rada panas,Positif,[0.8790806]
ok kayaknya ak bakal ganti moist cosrx yg snail mucin tp semoga cocok deh sumpahhh isine buanyak bgt mana mahal bgt nek ga cocok ya nangis to aku,4,ok kayak ganti memoist cosrx snail memuc moga cocok deh sumpah isine buanyak banget mahal banget nek tidak_cocok iya tangis,Negatif,[0.5617595]
@perampork mjb kak mau nanya moist cosrx snail sama oil free bagus mana yaa menurut kamu? soalnya aku pake snail dan ngerasa cocok tapi next mau coba oil free. tia.,4,mjb kak memoist cosrx snail oil fre bagus iya pakai snail cocok next coba oil fre tia,Positif,[0.85442793]
@beautales_ @ohmybeautybank aku pake moist cosrx knp kerasa tambah berat ya di muka mana makin banyak tumbuh bulu bulu halus lagi,3,pakai memoist cosrx berat iya memuka-muka tumbuh bulu bulu halus,Positif,[0.88142544]
@ohmybeautybank Kemerahan pake aja moist cosrx.udh paling jos. Paginya mendingan. Besok nya pake lagi di aku udh ilang,1,merah pakai memoist cosrxudh jos pagi mending besok pakai hilang,Negatif,[0.54069155]
lah demi apa anjir? aku baru tau moist cosrx yg snail cream ternyata udah ada yg tubee nyesel bgtt aku barusan bgt beli tadi but not knowing klo ada yg tube.. gatau sih ada ato ngga tadi di socio,0,apa-apa anjir memoist cosrx snail cream nyata tube sesal banget barusan banget beli but not knowing tube enggak tau tidak_socio,Negatif,[0.69053984]
gue mau beli moist cosrx tapi mahal bgt budget gue gak cukup ,2,gue beli memoist cosrx mahal banget budget gue tidak,Positif,[0.53722477]
gajadi repurchase moist azarine deh ini klo moist cosrx udh abis mo nyoba moistnya skingame pls pls pls harus cocok!!!,4,gajadi repurchase memoist azarine deh memoist cosrx habis coba memoist skingame pls pls pls cocok,Positif,[0.8671615]
@ohmybeautybank type kulit ku juga kering nder pernah juga ngelupas di deket bibir terus aku pake moist cosrx snail all in one cream sampe skrg udh gapernah ngelupas lagi karena dia melembabkan bgt,1,type kulit ku kering dar lupas bibir pakai memoist cosrx snail al one cream enggak pernah lupas lembab banget,Positif,[0.9018446]
@chaejenay Bismillah pengen moist cosrx krn muka ku gampang bgt jerawatan wish me luck!!,4,bismilah pengin memoist cosrx memuka-muka ku gampang banget jerawat wish me luck,Positif,[0.7364851]
@ohmybeautybank emang terlalu thick nder moist cosrx tapi soal ngelembabin sama bikin glowing dia mantep. coba pakai moist nya dabe beaute deh itu ringan banget gak bikin kusem tapi tetep ngelembabin di akuu,2,thick dar memoist cosrx lembab glowing mantap coba pakai memoist dabe beaute deh ringan banget tidak_kusam lembab,Positif,[0.9843742]
@convomf akuu moist cosrx bagus banget nderr,3,memoist cosrx bagus banget dar,Positif,[0.8616509]
@ohmybeautybank kayaknya karena moist cosrx itu thick gak sih? trus dipakeiin ke kulit yang oily jadi makin oily kulitnya. Coba cari moist yang watery gel mungkin originote dorskin atau azarine bisa. Cmiiw yaa.,4,kayak memoist cosrx thick tidak_dipakein kulit oily oily kulit coba cari memoist watery gel originote dorskin azarine cmiw iya,Negatif,[0.6099011]
@ohmybeautybank Moist cosrx yang ini. Mahal dikit tapi awet sampe 2-3 bulan https://t.co/qSUXXiAfbJ,2,memoist cosrx mahal dikit awet,Positif,[0.5089389]
@ohmybeautybank Baiknya gel sih bisa pakai moist COSRX snail atau COSRX Oil-Free.,4,baik gel pakai memoist cosrx snail cosrx oilfre,Positif,[0.965882]
@ohmybeautybank cobain pake moist cosrx yg oil free itu nder aku dulu rajin pake itu alhamdulillah bersih sampe skrg,4,coba pakai memoist cosrx oil fre dar rajin pakai alhamdul bersih,Positif,[0.95232815]
punyaku sisa beli moist cosrx dri smua wl ga guna ku,4,sisa beli memoist cosrx wl tidak_ku,Positif,[0.57443464]
@ohmybeautybank Moist cosrx nder bagus bgt https://t.co/16A5LpxWv1,3,memoist cosrx dar bagus banget,Positif,[0.96298605]
OH BARU INGET gue sempet make moist cosrx yg ini ㅠㅠㅠㅠㅠ OKE INI YG PALING OKE SO FAR bikin muka w lembab tp ga lebay minyakan dan ga clogging. tp belum kesampean repurchase ㅠㅠㅠㅠ nanti yh syg ㅠ https://t.co/6tCB0qrfZb,1,oh gue pakai memoist cosrx oke oke sok far memuka-muka lembab tidak_lebay meminyak-minya tidak_cloging belum_repurchase iya sayang,Positif,[0.9783696]
Btw baru pake moist cosrx enak bgt Gk dari dulu bjir (yayalah mahal) (tp irit),2,btw pakai memoist cosrx enak banget tidak_bjir yayalah mahal irit,Positif,[0.87783897]
@beautales_ pas paket moist cosrx punyaku dateng langsung aku pake dan DUAR paginya jerawat aku kering dan kempes semua terus tekstur kulit membaikk. sempet galau mau beli karna harganya yang agak mahal tapi pas uda beli ga menyesal sama sekali wehhh,2,pas paket memoist cosrx langsung pakai duar pagi jerawat kering kempes tekstur kulit baik galau beli harga mahal pas beli tidak_sesal weh,Positif,[0.77783555]
@putrisilwii @ohmybeautybank Kak review moist cosrx utk kulit normal tk dry kakk pengen nyoba tp kemasan nya gede bgt jdi butuh honest review,2,kak review memoist cosrx kulit normal dry kak pengin coba kemas gede banget butuh honest review,Positif,[0.62721014]
@beautales_ yaAllah setuju bangettt tapi aku cuma pake moist cosrx sihh. bener-bener amaze karna alhamdulillah cocokk di kulitkuu yang oily ini. sebelum pake moist cosrx kulitku gradakan plus jerawatan ada 11,4,yalah tuju banget pakai memoist cosrx benerbener amaze alhamdul cocok kulit oily belum_pakai memoist cosrx kulit grada plus jerawat,Positif,[0.96483296]
ntr kalo ni moist w abis beneran w usahakan itu moist cosrx,4,entar memoist habis benar usaha memoist cosrx,Positif,[0.6138854]
penasaran dua2nyaaaa wkt itu aku pake moist skin1004 yg centella di wajah tuh enak bgttt. tapi agak kurang lembab aja trs kata temen deketku yg cosrx mania moist cosrx katanya seenak itu....,3,penasaran pakai memoist sk centela wajah enak banget lembab kata-kata teman cosrx mania memoist cosrx senak,Positif,[0.92848]
@beautales_ Plis cakep banget kulitnya udah dari lama mau pake moist cosrx ,4,plis cakep banget kulit pakai memoist cosrx,Positif,[0.86634094]
moist cosrx emg bagus ngelembabin bgt alhamdulillahnya lebih cocok sm moist elformula,2,memoist cosrx bagus lembab banget alhamdulilahnya cocok memoist elformula,Positif,[0.93177074]
@beautales_ Maju mundur mau beli moist cosrx iniii,4,maju mundur beli memoist cosrx,Positif,[0.7922955]
@beautales_ Moist cosrx juara!! Aku pake,2,memoist cosrx juara pakai,Positif,[0.75719965]
@beautales_ aku juga pake moist cosrx yg oil skin enak sih sejauh ini,3,pakai memoist cosrx oil sk enak,Positif,[0.9864442]
@beautales_ Aku juga pake moist cosrx cakep banget emang,2,pakai memoist cosrx cakep banget,Positif,[0.937108]
@beautales_ Tapi sumpah setuju moist cosrx yang ini emang bagus banget. Padahal lotion tapi gampang di blend nya,1,sumpah tuju memoist cosrx bagus banget lotion gampang blend,Positif,[0.9224567]
moist cosrx pernah aku bahas di sini! ini ternyaman untuk aku yang oily skin dan bikin aku sembuh dr break out brutal . PLS jgn beli sembarangan aku pernah dapet yg palsu jd break out lagi aku kmrn belinya di sini yaa : https://t.co/1cRlszJDXS https://t.co/k8DDJE9SPw,1,memoist cosrx bahas ternyaman oily sk sembuh break out brutal pls jangan_beli sembarang palsu break out kemarin beli iya,Negatif,[0.9065938]
