text,label,processed
di map posisi nya deket aslinya msh jauh makanya aku kasih bintang,positive,"['map', 'posisi', 'aslinya', 'kasih', 'bintang']"
kok pelayanan aplikasi tokopedia dan go jek semakin jelek saya top up saldo go pay tidak langsung otomatis masuk ke kedua akun tsb setiap isi saldo harus lapor ke customer servicenya terlebih dulu,negative,"['pelayanan', 'aplikasi', 'tokopedia', 'go', 'jek', 'jelek', 'top', 'up', 'saldo', 'go', 'pay', 'tidak', 'langsung', 'otomatis', 'masuk', 'akun', 'isi', 'saldo', 'lapor', 'customer', 'servicenya']"
apk apa ini saldo saya di sedot sampe   padahal saya butuh uang itu udah saya laporin malah ya ada tanggapan ga ada kelanjutan masak saya tidur tiba tiba bikin transaksi sendiri aneh banget mana ga tindakan uninstall aja daripada ilang saldo kalian di makan sama dia sekarang di makan lgi ribu gimna sih apk ini,negative,"['apk', 'apa-apa', 'saldo', 'sedot', 'butuh', 'uang', 'laporin', 'tanggapan', 'enggak', 'kelanjutan', 'masak', 'tidur', 'transaksi', 'aneh', 'banget', 'enggak', 'tindakan', 'uninstall', 'hilang', 'saldo', 'makan', 'makan', 'ribu', 'apk']"
saya turunin lagi bintangnyakenapa paylaternya saya di blokirtoh selama ini di bayar terus kokmasa cuma beberapa hari gak menggunakan transaksi gopay langsung di blokir,positive,"['turunin', 'bintangnyakenapa', 'paylaternya', 'blokirtoh', 'bayar', 'kokmasa', 'enggak', 'transaksi', 'gopay', 'langsung', 'blokir']"
paylater dilock jadi pada males belanja tokped padahal promo di paylatergo food juga,positive,"['paylater', 'dilock', 'malas', 'belanja', 'tokped', 'promo', 'paylatergo', 'food']"
kenapa aplikasinya sering muncul lagi ada masalah tidak bisa di gunakan pada transaksi buruk sekali kesiapa saya adukan,negative,"['aplikasinya', 'muncul', 'tidak', 'transaksi', 'buruk', 'kesiapa', 'adukan']"
setelah upgrade kenapa susah sekali masuk ke aplikasi nya selalu keluar lagi gopay latter yang sudah hampir bulan ini selalu bermasalah penjelasan dari laporan juga tidak menyelesaikan padahal kalau terlambat pembayaran denda nya padahal saldo limit masih full,negative,"['upgrade', 'susah', 'masuk', 'aplikasi', 'gopay', 'latter', 'bermasalah', 'penjelasan', 'laporan', 'tidak', 'menyelesaikan', 'terlambat', 'pembayaran', 'denda', 'saldo', 'limit', 'full']"
apk semakin kesini semakin tdk mendukung banyak nge bug ny gak gunaaa gak membantuuu,negative,"['apk', 'kesini', 'tidak', 'mendukung', 'nge', 'bug', 'enggak', 'gunaaa', 'enggak', 'membantuuu']"
ini kenapa jadi gak bisa gini ya gojek sayang bangetkurang terbaru apa update banget itu app gojek saya,negative,"['enggak', 'gojek', 'sayang', 'bangetkurang', 'terbaru', 'apa-apa', 'update', 'banget', 'app', 'gojek']"
fitur lokasi tersimpannya tolong rapihin ka masa cuma muncul alamat yang bisa interact bisa liat alamat yang lainnya tapi ga bisa di interact percuma dong disimpan duh gimana sih jelasinnya coba deh save lebih alamat yang ke dst itu ga bisa di klik,negative,"['fitur', 'lokasi', 'tersimpannya', 'tolong', 'rapihin', 'kak', 'muncul', 'alamat', 'interact', 'lihat', 'alamat', 'enggak', 'interact', 'disimpan', 'duh', 'jelasinnya', 'coba', 'deh', 'save', 'alamat', 'dst', 'enggak', 'klik']"
tolong perbaiki untuk gofood masak anter makanan bisa sampe jam padahal makanannya jadi cuma menit kami sebagai pihak resto jadi kesal karena sering kena komplain dari pihak pelanggan,negative,"['tolong', 'perbaiki', 'gofood', 'masak', 'anter', 'makanan', 'jam', 'makanannya', 'menit', 'resto', 'kesal', 'kena', 'komplain', 'pelanggan']"
masukan buat gojek yaitu sangat mendukung jika driver gojek kasih bintang kecil resto sama dengan menghapus riwayat dengan resto bersangkutan alasan agar meningkatkan kesungguh an dalam pekerjaan baik driver maupun resto cukup adil bagi driver kehilangan riwayat dengan resto sebaliknya cukup adil juga bagi resto kekurangan driver begitu juga sebaliknya riwayat driver akan kuat dengan resto jika driver beri buat resto terima kasih salam gojek semoga makin sukses,positive,"['masukan', 'gojek', 'mendukung', 'driver', 'gojek', 'kasih', 'bintang', 'kecil-kecil', 'resto', 'menghapus', 'riwayat', 'resto', 'bersangkutan', 'alasan', 'meningkatkan', 'kesungguh', 'an', 'pekerjaan', 'driver', 'resto', 'adil', 'driver', 'kehilangan', 'riwayat', 'resto', 'adil', 'resto', 'kekurangan', 'driver', 'riwayat', 'driver', 'kuat', 'resto', 'driver', 'resto', 'terima', 'kasih', 'salam', 'gojek', 'semoga', 'sukses']"
layanan yang sangat bisa diandalkan banyak promonya juga terutama pesan antar makanan,positive,"['layanan', 'diandalkan', 'promonya', 'pesan', 'makanan']"
instal karna pengen kasih bintang tolong ya iklannya mengganggu,negative,"['instal', 'pengin', 'kasih', 'bintang', 'tolong', 'iklannya', 'mengganggu']"
kemaren masih bisa sekarang ga bisa lagi tolong di bantu ini kenapa biasa nys saya beli di shopee pake gosend instan bisa lacak driver nya udah sampe mana tapi sekarang ga bisa tolong di bantu,positive,"['kemarin', 'enggak', 'tolong', 'bantu', 'nys', 'beli', 'shopee', 'pakai', 'gosend', 'instan', 'lacak', 'driver', 'enggak', 'tolong', 'bantu']"
pelayanan dan promo terbaik tidak pernah mengecewakan,positive,"['pelayanan', 'promo', 'terbaik', 'tidak', 'mengecewakan']"
bingung mau ngomong apa bagus semua soalnya,positive,"['bingung', 'mengomong', 'apa-apa', 'bagus']"
masukan ya min saya suka belanja di berapa toko butuh fitur gosend yang bisa ngambil barang di beberapa titik toko dan di antar semua barang itu si satu alamat thankyou,positive,"['masukan', 'min', 'suka', 'belanja', 'toko', 'butuh', 'fitur', 'gosend', 'ngambil', 'barang', 'titik', 'toko', 'barang', 'alamat', 'thankyou']"
aplikasi nya lagi bermasalah sado saya ga balik setelah gagal transaksi,negative,"['aplikasi', 'bermasalah', 'sado', 'enggak', 'gagal', 'transaksi']"
semakin mendukung kemageranku keluar kost buat beli makan karena promo gofood ga kira banyak bangettttttt,positive,"['mendukung', 'kemageranku', 'kost', 'beli', 'makan', 'promo', 'gofood', 'enggak', 'banget']"
selama pake gojekblm pernah kecewasmg selalu lebih baik lagiaplikasinya sama para driver nya,positive,"['pakai', 'gojekblm', 'kecewasmg', 'lagiaplikasinya', 'driver']"
selama saya menggunakan aplikasi ini terkendala dengan koneksi yang diharuskan mengunakan wifi tolong sama devnya agar segala fiturnya bisa koneksi dengan jaringan apapun yang penting ada koneksi internet baik wifi atau paket data agar memudahkan pengguna,positive,"['aplikasi', 'terkendala', 'koneksi', 'diharuskan', 'mengunakan', 'wifi', 'tolong', 'devnya', 'fiturnya', 'koneksi', 'jaringan', 'apapun', 'koneksi', 'internet', 'wifi', 'paket', 'data', 'memudahkan', 'pengguna']"
apk apaan ini transaksi gagal saldo tetep kepotong isi keterangan saldo di refund tapi tetep aja ngak balik saldo saya sudah saya coba hubungin via email sama via pusat bantuan di aplikasi responya lama kali sekali di respon yg respon malah bot,negative,"['apk', 'transaksi', 'gagal', 'saldo', 'kepotong', 'isi', 'keterangan', 'saldo', 'refund', 'enggak', 'saldo', 'coba', 'hubungin', 'via', 'email', 'via', 'pusat', 'bantuan', 'aplikasi', 'responya', 'kali', 'respon', 'respon', 'bot']"
makin lama makin tidak bagus pelayanan gofood jarak dekat tapi pengantaran jam lebih jarak resto cuma km,negative,"['tidak', 'bagus', 'pelayanan', 'gofood', 'jarak', 'pengantaran', 'jam', 'jarak', 'resto']"
aplikasi nya sering crash tolong la di perbaiki bug nya,negative,"['aplikasi', 'crash', 'tolong', 'perbaiki', 'bug']"
tidak bisa masuk di android,negative,"['tidak', 'masuk', 'android']"
aneh akun saya padahal sudah upgrade tapu gak bisa kirim saldo kan apk tolol,negative,"['aneh', 'akun', 'upgrade', 'tapu', 'enggak', 'kirim', 'saldo', 'apk', 'tolol']"
mau transaksi malem malah gangguan mulu beli token aja susah gara ada perbaikan jadi gagal terus,negative,"['transaksi', 'malam', 'gangguan', 'mulu', 'beli', 'token', 'susah', 'gara-gara', 'perbaikan', 'gagal']"
masalah saya itu transaksi saya dinyatakan gagal tapi saldo saya berkurang sesuai dengan jumlah transaksi dan itu tidak terbaca di riwayat solusinya apa pengembalian dana atau trackingnya gimana kasih kejelasan,positive,"['transaksi', 'dinyatakan', 'gagal', 'saldo', 'berkurang', 'sesuai', 'transaksi', 'tidak', 'terbaca', 'riwayat', 'solusinya', 'apa-apa', 'pengembalian', 'dana', 'trackingnya', 'kasih', 'kejelasan']"
kenapa servernya gangguan mlu sih saya lagi urgent mau buka pesenan tiket go transit malah gak bisa saya mau pulang gk bisa kluar stasiun ini makin gak jelas aplikasinya,negative,"['servernya', 'gangguan', 'malu', 'urgent', 'buka', 'pesenan', 'tiket', 'go', 'transit', 'enggak', 'pulang', 'enggak', 'stasiun', 'enggak', 'jelas-jelas', 'aplikasinya']"
aplikasi   jls klai setiap   perluin barcode lu slalu   bisa buat bayar kn ngeselin bngt klau bukan soal uang jg lu dh gw maki bos,negative,"['aplikasi', 'jls', 'klai', 'perluin', 'barcode', 'lu', 'bayar', 'mengesalkan', 'banget', 'bukan', 'uang', 'lu', 'deh', 'gue', 'maki-maki', 'bos']"
mulai gak jelas aplikasinya gopayleter gak bisa di gunakan padahal limit masih utuh,negative,"['enggak', 'jelas-jelas', 'aplikasinya', 'gopayleter', 'enggak', 'limit', 'utuh']"
kecewa dengan sekarang tidak bisa bayar qris dengan gopay later,negative,"['kecewa', 'tidak', 'bayar', 'qris', 'gopay', 'later']"
paylater ga bisa di pake kenapa ya tadi nya dpet limt jtan turun jdi,negative,"['paylater', 'enggak', 'pakai', 'dpet', 'limt', 'jtan', 'turun']"
diskon jadi sedikit saya pulang pergi kerja main musik pakai transportasi gojek sekarang gojek sudah mahal sampai saya harus jalan kaki berangkat atau pulang kerja parah bangetudah turun sekarnag naik lagi ga ada diskon lagi parha mahal,negative,"['diskon', 'pulang', 'pergi', 'kerja', 'main', 'musik', 'pakai', 'transportasi', 'gojek', 'gojek', 'mahal', 'jalan', 'kaki', 'berangkat', 'pulang', 'kerja', 'parah', 'bangetudah', 'turun', 'sekarnag', 'enggak', 'diskon', 'parha', 'mahal']"
makin terbelakang aplikasi nya nambahin mode pembayaran jenius gak bisa,negative,"['terbelakang', 'aplikasi', 'nambahin', 'mode', 'pembayaran', 'jenius', 'enggak']"
loginmasuk aplikasi ini kalau bisa dipermudah tdk usah dikasih banyak pertanyaan,negative,"['loginmasuk', 'aplikasi', 'dipermudah', 'tidak', 'dikasih']"
apa lagi ini gopaylater ga bisa di pake kecuali di goridegocargofood apa apaan ini gua butuh buat beli kuota malah ga bisa di pake gmn sih edit hari ini gopaylater ga bisa di pake di semua layanan ada apa ini mau di layanan gojektokopediadll ga bisa sama sekali,negative,"['apa-apa', 'gopaylater', 'enggak', 'pakai', 'kecuali', 'goridegocargofood', 'apa-apa', 'gua', 'butuh', 'beli', 'kuota', 'enggak', 'pakai', 'edit', 'gopaylater', 'enggak', 'pakai', 'layanan', 'apa-apa', 'layanan', 'gojektokopediadll', 'enggak']"
eror terus yaampun server bermasalah server lagi padat udh update sama aja udh uninstall trus install lagi sama aja pdhal lagi butuh saldo di gopay lgi butuh goride buat pesenan online jdi terkendala banget tolong dong dibenerin udah keseringan eror nih mana disaat urgent,negative,"['eror', 'yaampun', 'server', 'bermasalah', 'server', 'padat', 'update', 'uninstall', 'install', 'butuh', 'saldo', 'gopay', 'butuh', 'goride', 'pesenan', 'online', 'terkendala', 'banget', 'tolong', 'dibenerin', 'keseringan', 'eror', 'disaat', 'urgent']"
tolong respon nya uda melakukan pelunasan gopaylater sebelum jatuh tempo melalui va bca mobile berhasil tapi tagihan masi muncul dan serta laporan belum ada jawaban yang memuaskan,negative,"['tolong', 'respon', 'pelunasan', 'gopaylater', 'jatuh', 'tempo', 'va', 'baca', 'mobile', 'berhasil', 'tagihan', 'muncul', 'laporan', 'belum', 'memuaskan']"
aplikasinya kurang memuaskan kali drivet ga balas chat saya tanya apakah di cancel aja atau ngak malah di diemin kalau telat menit   kasih diskon   maaf waktu saya jauh lebih berharga daripada itu satan saya mungkin dibuatkan siste vip buat yg mau bayar lebih dapat driver yg lebih dekqt untuk customer urgent,negative,"['aplikasinya', 'memuaskan', 'kali', 'drivet', 'enggak', 'balas', 'chat', 'cancel', 'enggak', 'diamkan', 'telat', 'menit', 'kasih', 'diskon', 'maaf', 'berharga', 'satan', 'dibuatkan', 'siste', 'vip', 'bayar', 'driver', 'dekqt', 'customer', 'urgent']"
tiba tiba aplikasi nge stuck trus close sendirisusah dpet driver,negative,"['aplikasi', 'nge', 'stuck', 'close', 'sendirisusah', 'dpet', 'driver']"
bego ga bisa hapus alamat yang tersimpan lebih bego dari aplikasi sejenis yanh lain cuma karena disuntik dana doang bisa bertahan karya anak bego,negative,"['bego', 'enggak', 'hapus', 'alamat', 'tersimpan', 'bego', 'aplikasi', 'sejenis', 'yanh', 'disuntik', 'dana', 'doang', 'bertahan', 'karya-karya', 'anak-anak', 'bego']"
sangat berguna dan membantu,positive,"['berguna', 'membantu']"
payahh limit masih ada tapi gopaylater gabisa dipake ga kaya dulu mudah dalam menjalankan kannya,negative,"['payah', 'limit', 'gopaylater', 'enggak bisa', 'dipakai', 'enggak', 'kayak', 'mudah', 'menjalankan', 'kannya']"
di tingkatkan lg kwalitas nya,positive,"['tingkatkan', 'kwalitas']"
november baru pake lagi gojek aplikasi ok driver banyak tarif ok penggunan baru banyak promo makasih gojek dan tim,positive,"['november', 'pakai', 'gojek', 'aplikasi', 'ok', 'driver', 'tarif', 'ok', 'penggunan', 'promo', 'terima kasih', 'gojek', 'tim']"
sangat membantu dalam pesan antar,positive,"['membantu', 'pesan']"
agak aneh yaa saya order gofood itu menunggu dapat driver nya lama sedangkan dilapangan banyak driver driver yg nganggurbelom dapet order jadi ini prioritaskan driver unggulan kasihan driver driver non unggulan lainnya jadi saya baru dapet driver ketika driver unggulanprioritas itu menyelesaikan orderan sebelumnya,negative,"['aneh', 'order', 'gofood', 'menunggu', 'driver', 'dilapangan', 'driver', 'driver', 'nganggurbelom', 'order', 'prioritaskan', 'driver', 'unggulan', 'kasihan', 'driver', 'driver', 'non', 'unggulan', 'driver', 'driver', 'unggulanprioritas', 'menyelesaikan', 'orderan']"
selalu susah pesen gocar terlalu jauh driver ada yg tidak terlalu jauh lngsungd   kawab sedang makan mintak di cancel,negative,"['susah', 'pesan', 'gocar', 'driver', 'tidak', 'lngsungd', 'kawab', 'makan', 'mintak', 'cancel']"
ga jelas banget sekarang gojek tidak bisa menggunakan gopaylater lagi padahal tidak pernah telat membayar,negative,"['enggak', 'jelas-jelas', 'banget', 'gojek', 'tidak', 'gopaylater', 'tidak', 'telat', 'membayar']"
saya mau tanya katanya bisa beli pulsa di tokopedia dengan sistem cicilan tapi kenapa tagihannya malah full sebulan saya kan mau   bayar apa ada yang salah sistem gopay later tolong di jawab min,negative,"['beli', 'pulsa', 'tokopedia', 'sistem', 'cicilan', 'tagihannya', 'full', 'sebulan', 'bayar', 'apa-apa', 'salah', 'sistem', 'gopay', 'later', 'tolong', 'min']"
orderan sy dpt lawan arah koq bisaya sy buat pilihan orderan satu arah lingkar selatan arah pulang karna udah mlm terus msk orderan ke lawan arah mandalo darat yah dgn hati kesel sy jalani jg das udah selesai orderan yg ini ttp sy lanjutkan order satu arah lingkar selatan   ini msk tp ke arah kenali besar jg lawan arah yg sy inginkan karna kesel abis orderan sy tdk jln kan pertanyaan sy kenapa pertanyaan sy tdk   jawah koq malah nanya,positive,"['orderan', 'lawan', 'arah', 'bisaya', 'pilihan', 'orderan', 'arah', 'lingkar', 'selatan', 'arah', 'pulang', 'malam', 'masuk', 'orderan', 'lawan', 'arah', 'mandalo', 'darat', 'hati-hati', 'kesel', 'jalani', 'das', 'selesai', 'orderan', 'lanjutkan', 'order', 'arah', 'lingkar', 'selatan', 'masuk', 'arah', 'kenali', 'besar-besar', 'lawan', 'arah', 'kesel', 'habis', 'orderan', 'tidak', 'jalan', 'tidak', 'jawah']"
maav kaksaya ingin mengeluarkan keluhan karna saat inisaya ingin membayar tagihan gopay pinjam dan menggunakan virtual acounttp tdk bisadn disitu pun tdk ad pilihan yg bisa di gunakan sedangkan gopay saya diblokir dn tdk bisa dibuka kembalitolong ditindak lanjuti kakkarna sya ingin membayar cicilandan akan jatuh tempo besok,negative,"['maav', 'kaksaya', 'mengeluarkan', 'keluhan', 'inisaya', 'membayar', 'tagihan', 'gopay', 'pinjam', 'virtual', 'acounttp', 'tidak', 'bisadn', 'disitu', 'tidak', 'pilihan', 'gopay', 'diblokir', 'tidak', 'dibuka', 'kembalitolong', 'ditindak', 'lanjuti', 'kakkarna', 'membayar', 'cicilandan', 'jatuh', 'tempo', 'besok']"
sekrang nyaman karena respon dan drivernya dengan baik,positive,"['nyaman', 'respon', 'drivernya']"
sekarang kalau mau nge gofood nggak asik jaraknya jauhjauh padahal pilih terdekat,positive,"['nge', 'gofood', 'enggak', 'asik', 'jaraknya', 'jauhjauh', 'pilih', 'terdekat']"
sangat membantu untuk perjalanan aktivitas kerja,positive,"['membantu', 'perjalanan', 'aktivitas', 'kerja']"
akurat dan membantu dalam keseharian pada transportasi dan terjamin aman,positive,"['akurat', 'membantu', 'keseharian', 'transportasi', 'terjamin', 'aman']"
mantap cepat akurat,positive,"['mantap', 'cepat', 'akurat']"
saya kecewa saya lupa ganti nomor dan nomor lama hilang pin juga saya lupa namun emailnya aktif dari infonya bisa verifikasi by email untuk kemudian ganti nomor namun malah diminta pin lagi saya sudah coba via email tidak ada respon melayang sisa saldo gopay padahal sebelumnya untuk mengganti nomor dan pin via email masih bisa sekarang sudah dapat otp via email masih harus masuk pin ketika pakai menu pilihan lupa pin malah otp tidak ada opsi via email,negative,"['kecewa', 'lupa', 'ganti', 'nomor', 'nomor', 'hilang', 'pin', 'lupa', 'emailnya', 'aktif', 'infonya', 'verifikasi', 'by', 'email', 'ganti', 'nomor', 'pin', 'coba', 'via', 'email', 'tidak', 'respon', 'melayang', 'sisa', 'saldo', 'gopay', 'mengganti', 'nomor', 'pin', 'via', 'email', 'otp', 'via', 'email', 'masuk', 'pin', 'pakai', 'menu', 'pilihan', 'lupa', 'pin', 'otp', 'tidak', 'opsi', 'via', 'email']"
ngasih promo gopay later potongan tpi gabisa di pakai udh daftar ulang malah ga di setujui dengan alasan yang menurut saya tidak sesuai dgn apa yg terjadi sm saya padahal sblm nya udh pernah pake gopay later sekali tapi sekarang mau make lagi harus daftar lagi udh daftr malah gabisa di gagalkan terus kalo ngsh promo ga niat ya ga usah apk tolol org butuh cepat malah di perlambat ga jelas asli buruk sekali,negative,"['mengasih', 'promo', 'gopay', 'later', 'potongan', 'enggak bisa', 'pakai', 'daftar', 'ulang', 'enggak', 'setujui', 'alasan', 'tidak', 'sesuai', 'apa-apa', 'pakai', 'gopay', 'later', 'memakai', 'daftar', 'daftr', 'enggak bisa', 'gagalkan', 'ngsh', 'promo', 'enggak', 'niat', 'enggak', 'apk', 'tolol', 'orang', 'butuh', 'cepat', 'perlambat', 'enggak', 'jelas-jelas', 'asli', 'buruk']"
tombol buat pencet tombol metode pembayarannya terlalu kecil,positive,"['tombol', 'pencet', 'tombol', 'metode', 'pembayarannya', 'kecil-kecil']"
ini gimana si gojek akun gopaylater saya ga bisa digunakan padahal sebelumnya bisa gapernah galbay gopay later juga trs sekarang malah gabisa dipakai utamain kepuasan pelanggan dong bener mau semuanya beralih ke sebelah saya mau akun gopaylater saya aktif digunakan kembali ya,negative,"['gojek', 'akun', 'gopaylater', 'enggak', 'enggak pernah', 'galbay', 'gopay', 'later', 'enggak bisa', 'dipakai', 'utamain', 'kepuasan', 'pelanggan', 'beralih', 'sebelah', 'akun', 'gopaylater', 'aktif']"
aplikasi gofood makin lambat cari driver nya dan maps driver dari awal juga ga keliatan malah pas udah jalan baru nampak pokoknya pembaruan kali ini bukan makin efektiv,negative,"['aplikasi', 'gofood', 'lambat', 'cari', 'driver', 'maps', 'driver', 'enggak', 'pas', 'jalan', 'menampak', 'pokoknya', 'pembaruan', 'kali', 'bukan', 'efektiv']"
perjalanan jadi nyaman menggunakan gojek aman dan bagus,positive,"['perjalanan', 'nyaman', 'gojek', 'aman', 'bagus']"
algoritma pemilihan driver terlalu jauh tidak mendapatkan driver terdekat menyusahkan,negative,"['algoritma', 'pemilihan', 'driver', 'tidak', 'driver', 'terdekat', 'menyusahkan']"
pelayanannya cukup memuaskan ramah dan nyaman,positive,"['pelayanannya', 'memuaskan', 'ramah', 'nyaman']"
kenapa gopay later saya tidak bisa di gunakan kembali padahal saya sudah bayar tagihan dan limitnya masih ada mana disana di tuliskan ops ada sedikit ganggu masa mulai tgl sampai sekarang tgl masih gangguan terus tolong di perbaiki sistem nya mana kalau telat bayar kena denda rb giliran mau pakai gopay later malah gak bisa sama sekali,positive,"['gopay', 'later', 'tidak', 'bayar', 'tagihan', 'limitnya', 'disana', 'tuliskan', 'ops', 'ganggu', 'tanggal', 'tanggal', 'gangguan', 'tolong', 'perbaiki', 'sistem', 'telat', 'bayar', 'kena', 'denda', 'ribu', 'giliran', 'pakai', 'gopay', 'later', 'enggak']"
baru saja menambahkan kartu debit untuk pembayaran menit kemudian kartu tsb hilang sendiri ajaib,negative,"['kartu', 'debit', 'pembayaran', 'menit', 'kartu', 'hilang', 'ajaib']"
udah bagus kalo bisa banyakin promo,positive,"['bagus', 'membanyaki', 'promo']"
aplikasinya bagis kalian wajib cobain deh pasti ga bakalan nyesel,positive,"['aplikasinya', 'bagis', 'wajib', 'coba', 'deh', 'enggak', 'menyesal']"
harga mahal menang nama doang harusnya bisa bersaing sama yg baru lebih murah hilangkan biaya layanan mending murah customer banyak daripada mahal customer sedikit,negative,"['harga', 'mahal', 'menang', 'nama-nama', 'doang', 'bersaing', 'murah', 'hilangkan', 'biaya', 'layanan', 'mending', 'murah', 'customer', 'mahal', 'customer']"
sangat bermanfaat sayangnya ketika saya hendak membayar tagihan gopaylaternya karena hape saya hilang akhirnya tidak bisa   bayarkan mohon kiranya pihak gopay later menidaklanjuti,positive,"['bermanfaat', 'sayangnya', 'membayar', 'tagihan', 'gopaylaternya', 'hape', 'hilang', 'tidak', 'bayarkan', 'mohon', 'gopay', 'later', 'menidaklanjuti']"
status juragan pembayaran lancar limit ada blm di pake eh pas update paylater gak bisa di pake apus aja limit nya,negative,"['status', 'juragan', 'pembayaran', 'lancar', 'limit', 'belum', 'pakai', 'eh', 'pas', 'update', 'paylater', 'enggak', 'pakai', 'hapus', 'limit']"
selalu yangkutnya driver yg jauh map dan posisi driver sering gak sesuai,negative,"['yangkutnya', 'driver', 'map', 'posisi', 'driver', 'enggak', 'sesuai']"
saya pakai gojek sudah lama sekalitiba tiba kenapa gopay latter tidak bisa digunakansaya walau pernah telat membayar tagihan gopay latter tapi tetap selalu saya bayar dengan dendanyatapi kali ini sya tidak bisa gunakan sama sekalibikin kecewa aja nih gojektolong beri penjelasan yang akurat ya terima kasih,negative,"['pakai', 'gojek', 'sekalitiba', 'gopay', 'latter', 'tidak', 'digunakansaya', 'telat', 'membayar', 'tagihan', 'gopay', 'latter', 'bayar', 'dendanyatapi', 'kali', 'tidak', 'sekalibikin', 'kecewa', 'gojektolong', 'penjelasan', 'akurat', 'terima', 'kasih']"
saya kasih bintang dulu semakin di update sama sekali ga bisa buka menu yg ada di aplikasi gojek lemot parah padahal buka aplikasi lain aman,negative,"['kasih', 'bintang', 'update', 'enggak', 'buka', 'menu', 'aplikasi', 'gojek', 'lemot', 'parah', 'buka', 'aplikasi', 'aman']"
cukup baguspertahankan kualitas pengantar para drivernya,positive,"['baguspertahankan', 'kualitas', 'pengantar', 'drivernya']"
gopay gimana sih saldo baru top up tiba tiba hilang diriwayat juga gak ada transaksikomplen di ig gak ada responbener bener payah,negative,"['gopay', 'saldo', 'top', 'up', 'hilang', 'diriwayat', 'enggak', 'transaksikomplen', 'ig', 'enggak', 'responbener', 'payah']"
