text,label,processed
kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,negative,"['pencatutan', 'nama-nama', 'mpo', 'melanggar', 'hukum', 'enggak', 'wkwkwkwkkwkk']"
ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,negative,"['enggak', 'suka', 'ahok', 'pas', 'kalah', 'otomatis', 'dukungannya', 'lari', 'mas', 'aniessandi']"
dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,negative,"['banteng', 'garuda', 'ksatria', 'bpk', 'gentle', 'cinta']"
"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”",negative,"['gara-gara', 'ektp', 'dikorupsi', 'fotoku', 'pelan', 'stickmoticons']"
"Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide, sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id",negative,"['double', 'lol', 'menuduh', 'miskin', 'ide', 'copy']"
Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,negative,"['kemana', 'antasari', 'kalah', 'melempem', 'benerbener', 'akting']"
Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,negative,"['tidak', 'modal', 'omongan', 'kerja', 'nyata']"
"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",negative,"['pakdhe', 'karwo', 'pilgub', 'jatim', 'deh', 'karwo', 'isyaratkan', 'agus', 'tidak', 'maju', 'pilgub', 'jatim']"
"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",negative,"['paslon', 'salah', 'langkah', 'sandi', 'bukan', 'tidak', 'bumerang', 'gagal', 'suara']"
"Jangan2, relawan inilah yang gembosi #AHY lalu.",negative,"['jangan-jangan', 'relawan', 'gembosi']"
"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",negative,"['manakah', 'sang', 'ksatria', 'samurai', 'prajurit', 'pembangun', 'semangat', 'harapan', 'pahlawan', 'dinantinantikan', 'rakyat']"
"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",negative,"['arena', 'tabir', 'kegelapan', 'tiada', 'harapan', 'menyergap', 'rakyat', 'kemana', 'rakyat', 'mencari', 'ketulusan']"
"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",negative,"['isu', 'diangkat', 'video', 'dishare', 'video', 'disebar', 'buzzer', 'eh', 'jelang', 'disebar']"
Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss,negative,"['bu', 'carik', 'tidak', 'coblos', 'kemarin', 'piss']"
Awas ye kalo minta dukungan suara pendukung #AHY	,negative,"['awas', 'ye', 'dukungan', 'suara', 'pendukung']"
Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,negative,"['pelaku', 'pengirim', 'sms', 'gelap', 'antasari', 'azhar']"
Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,negative,"['antasari', 'diancam', 'harry', 'tanoe']"
"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",negative,"['tuduhan', 'kerap', 'dilontarkan', 'anak-anak', 'ingusan', 'mayor', 'terdengar', 'dudah', 'berubah', 'sanjungan']"
JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.,negative,"['joke', 'terbaik', 'pilkada', 'serentak', 'pku', 'pari']"
Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,negative,"['jangan-jangan', 'curiga', 'saldonya', 'kenti', 'blt', 'orang-orang', 'berbuat', 'belum', 'apa-apa', 'curiga', 'mekanismenya', 'apa-apa']"
ahoker masih bully #AHY,negative,"['ahoker', 'bully']"
Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,negative,"['sayang', 'mayor', 'dikader', 'pemimpin', 'taruna', 'beliau', 'teratas', 'pilihan']"
setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,negative,"['setuju', 'banget', 'tidak', 'bersyukur', 'kemrin', 'tidak', 'banjir', 'sibuk', 'mencari', 'pembelaan', 'sombong']"
pakai sedotan atau sodetan versi #AHY,negative,"['pakai', 'sedotan', 'sodetan', 'versi']"
Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,negative,"['hellloooo', 'suara', 'rakyat', 'mengerti', 'suara', 'rakyat', 'bukan', 'suaranya', 'orang', 'dek', 'ngopi', 'gih']"
Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,negative,"['cari', 'teman', 'jelas-jelas', 'gubernur']"
"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy",negative,"['kesatria', 'lapang', 'dada', 'hoax', 'kalah', 'menang', 'ulama', 'bayaran']"
"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",negative,"['agus', 'tersingkir', 'ahok', 'anies', 'rebutan', 'suara', 'ahy', 'kepentingan', 'kelompok']"
Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,negative,"['kehilangan', 'kesempatan', 'menduduki', 'gubernur', 'dki']"
Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,negative,"['konstituen', 'risih', 'mulutnya', 'ahok', 'pilih', 'anies', 'gerombolan', 'khilafah', 'dibelakangnya', 'memilih', 'ahok']"
Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,negative,"['cari', 'teman', 'yeedan', 'gubernur', 'barutunggu', 'hasil', 'resmi', 'kpu', 'dengar', 'pernyataan']"
blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,negative,"['blunder', 'hina', 'butuh', 'suara', 'ngemis', 'orang-orang', 'hina', 'jleb']"
Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,negative,"['mencaci', 'maki-maki', 'pepo', 'memo', 'mengemis', 'suara', 'orang-orang', 'hina']"
Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,negative,"['golput', 'pemilih', 'nampaknya']"
Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,negative,"['merhatiin', 'relawan', 'rehat', 'ganjal', 'islah', 'relawan']"
"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",negative,"['pakar', 'mantan', 'surabaya', 'surat', 'anas', 'urbaningrum', 'jeruji', 'besi', 'sindiran', 'mantan']"
Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/,negative,"['jangan-jangan', 'sekeluarga', 'pemilih', 'program', 'dp', 'nyata', 'sekeluarga', 'memilih']"
"#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...",negative,"['sylvi', 'aniessandiaga', 'basukidjarot', 'debat', 'pilkada', 'dki', 'jangan-jangan', 'jual', 'mimpi', 'gubernur']"
ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,negative,"['ah', 'bang', 'aji', 'disitu', 'kalah']"
"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY",negative,"['rendah', 'hati-hati', 'pendukung', 'paslon', 'berat', 'hati-hati', 'foto-foto']"
Aku bangga jadi anak memo. #AHY #moshing,negative,"['bangga', 'anak-anak', 'memo']"
Pendukung #AHY sulit melupakan bully2 seperti ini,negative,"['pendukung', 'sulit', 'melupakan', 'bully']"
pantas saja #AHY hancur,negative,['hancur']
"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy",negative,"['anggap', 'sebulan', 'dijual', 'pindah', 'tangan', 'orang-orang', 'elit', 'partai', 'gerindra', 'pks']"
"#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil",negative,"['antasari', 'konferensi', 'pers', 'surabaya', 'surabaya', 'konferensi', 'pers', 'surabaya', 'rengekan', 'anak-anak', 'kecil-kecil']"
Tim yang tidak pernah tidur #ahy,negative,"['tim', 'tidak', 'tidur']"
Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,negative,"['coba', 'beretika', 'dukungan', 'konstituen', 'setia', 'jangan-jangan', 'menipu', 'meme', 'berita', 'palsu', 'rachland', 'nashidik']"
"Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.",negative,"['kasihan', 'tidak', 'menyadari', 'musuh', 'sarung', 'selfienya', 'motivasi', 'terselubung', 'hmmm']"
amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,negative,"['amieeennnnn', 'tidak', 'lupa', 'janji', 'manis', 'kampanye', 'sang', 'mayor', 'sejati']"
"Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.",negative,"['pilkada', 'dki', 'ahy', 'surabaya', 'target', 'hoax', 'fitnah', 'akunakun', 'pendukung', 'ahok']"
"AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja",negative,"['ahy', 'mentah-mentah', 'dikarbit', 'demokrat', 'pilkada', 'dki', 'kemenangan', 'pemilu', 'memakai', 'sentimen', 'sara']"
"Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI.",negative,"['akibat', 'pernyataan', 'antasari', 'suara', 'ahy', 'melorot', 'pilkada', 'dki']"
"Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri",negative,"['enam', 'kampanye', 'pilkada', 'kubu', 'ahy', 'pendukung', 'ahok', 'sibuk', 'serang', 'program', 'ahy', 'tidak', 'kampanye', 'program', 'ahok']"
(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,negative,"['apa-apa', 'dicontohkan', 'ahy', 'pendukungnya', 'paska', 'putaran', 'pilkada', 'dki', 'jakarta', 'perentangan', 'tajam']"
AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,negative,"['ahy', 'tim', 'berjalan', 'menjauh', 'hiruk', 'pikuk', 'pilkada', 'melanjutkan', 'perjalanan', 'politik', 'kecewa']"
"Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf",negative,"['ahy', 'kalah', 'berpidato', 'timnya', 'terdiam', 'menangis', 'melepaskan', 'pilkada', 'dki']"
"sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif.",negative,"['sejujurnya', 'penilaian', 'subyektif', 'cepat', 'ahy', 'kalah', 'pilkada', 'bukan', 'modal', 'catatan', 'negatif']"
Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya,negative,"['tolak', 'bajingan', 'tengik', 'ahy', 'tukang', 'sogok', 'pemilih', 'bangsat', 'ahy', 'sungguh', 'berbahaya']"
tolak ahy yang berpolitik membawa agama #AHYMaininSARA,negative,"['tolak', 'ahy', 'berpolitik', 'membawa', 'agama']"
"Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro",negative,"['astaga', 'pendukung', 'ahy', 'tidak', 'terima', 'hasil', 'surveyharusnya', 'tolak', 'acuan', 'semangat']"
"Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY",negative,"['sahsah', 'tolak', 'ukur', 'kedewasaan', 'warga', 'dki', 'ahy', 'menang', 'pola', 'pikir-pikir', 'warga', 'primitif']"
Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,negative,"['suara', 'warga', 'dihargai', 'sembako', 'tolak', 'ahy', 'penyuapan', 'warga']"
Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya,negative,"['ahy', 'tidak', 'pilkada', 'tidak', 'asyik']"
tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY,negative,"['tinggal', 'seleksi', 'tendemnya', 'pilkada', 'dki', 'ahy', 'kalah', 'tendemnya', 'salah', 'pilih', 'mengurangi', 'kualitas', 'ahy']"
Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,negative,"['segelintir', 'pendukung', 'ahy', 'ditikung', 'tweet', 'akun', 'resmi', 'parpol', 'pendukung', 'aniessandi']"
AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.,negative,"['ahy', 'menanggung', 'akibat', 'cuitan', 'ayahnya', 'produktif']"
"kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki",negative,"['kering', 'darah', 'menghisap', 'darah', 'mumpung', 'stok', 'darahnya', 'bergudanggudang', 'darah', 'hantu', 'diminum', 'setan']"
"Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK",negative,"['reaksi', 'pendukung', 'ahy', 'bersikap', 'bawa perasaan', 'pecundang', 'ajang', 'pilkada']"
"Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki",negative,"['suara', 'bergetar', 'ahy', 'maaf', 'kecewakan', 'pendukungnya']"
"AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki",negative,"['ahy', 'kalah', 'kandang', 'respon', 'tetangga']"
"lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI",negative,"['lini', 'pertahanan', 'ahy', 'rapuh', 'debat', 'efek', 'aksi', 'efek', 'antasari', 'efek']"
Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki,negative,"['gagal', 'pilkada', 'dki', 'jakarta', 'ahy', 'diisukan', 'maju', 'pilgub', 'jatim']"
AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI,negative,"['ahok', 'melejit', 'anies', 'menanjak', 'ahy', 'mengapung']"
"Berdasarkan survey sementara, AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI",negative,"['berdasarkan', 'survey', 'ahy', 'masuk', 'besar-besar', 'selamat']"
"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI",negative,"['meninggalkan', 'zona', 'aman', 'nyaman', 'kemajuan', 'jakarta', 'hasil', 'sesuai', 'harapan', 'ahy']"
"Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI",negative,"['kasihan', 'ahy', 'kalah', 'umroh', 'dibantu', 'doa', 'juta', 'umatternyata', 'allah', 'netral', 'tidak', 'berpolitik']"
"Jual baju bekas AHY, baru 3 bulan, PM for info #PilkadaDKI @AgusYudhoyono",negative,"['jual', 'baju', 'bekas', 'ahy', 'pm', 'for', 'info']"
"AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount",negative,"['ahy', 'vocalis', 'band', 'rock', 'lompat', 'lompat', 'mulu', 'bang', 'kerjaannya']"
"Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak",negative,"['kasihan', 'benar-benar', 'nasib', 'ahy', 'karir', 'tni', 'tamat', 'nafsu', 'pepo', 'cepat', 'parpol', 'tidak', 'dagang']"
Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI,negative,"['jangan-jangan', 'surabaya', 'ahy', 'kalah', 'garagara', 'antasari', 'survey', 'menunjukan', 'ahy', 'merosot', 'elektabilitasnya']"
"Saya bertanya kepada Bapak Presiden, TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*",negative,"['presiden', 'tv', 'rusak', 'apa-apa', 'ahy', 'tidak', 'hasil', 'qc', 'enggak apa-apa']"
Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017,negative,"['pepo', 'belum', 'prihatin', 'ahy', 'pecundang']"
Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres,negative,"['selamat', 'ahy', 'rakyat', 'mundur', 'tni', 'kalah', 'pilkada', 'dki']"
heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	,negative,"['heeebohhhhagus', 'sylvi', 'kalah', 'tps', 'tmpat', 'hak', 'pilihnya']"
Yang pilih #AHY semoga tidak  ikut demokrat yaa kalau benar mau dukung Ahok.,negative,"['pilih', 'semoga', 'tidak', 'demokrat', 'benar-benar', 'dukung', 'ahok']"
"Demokrat ke Ahok, Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv",negative,"['demokrat', 'ahok', 'gerindra', 'tantangan', 'bermain', 'politik', 'kotor']"
"Mesin robot #AHY-Sylvi lupa dimatiin, jadi masih masuk trending topik",negative,"['mesin', 'robot', 'sylvi', 'lupa', 'dimatiin', 'masuk', 'trending', 'topik']"
Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????,negative,"['pendukung', 'mari', 'rapatkan', 'barisan', 'paslon', 'buang', 'issu', 'miring', 'paslon', 'dipimpin', 'terdakwa', 'simulut', 'ember']"
"Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY",negative,"['rakyat', 'menangis', 'kalah', 'bukan', 'aspek', 'pribadi', 'kepentingan', 'rakyat']"
"Maksud hati caper dari ahy/silvy, eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>",negative,"['maksud', 'hati-hati', 'caper', 'ahysilvy', 'eh', 'kena', 'protes', 'face', 'with', 'stuckout', 'tounges', 'rolling', 'on', 'the', 'floor', 'laughing', 'rolling', 'on', 'the', 'floor', 'laughing']"
"AHY bisa kok menang pilgub DKI, bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI",negative,"['ahy', 'menang', 'pilgub', 'dki', 'ngumpulin', 'bola', 'dragon', 'ball', 'rolling', 'on', 'the', 'floor', 'laughing', 'rolling', 'on', 'the', 'floor', 'laughing']"
Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI,negative,"['ah', 'lihat', 'ahy', 'norman', 'kamaru', 'ahy', 'jualan', 'bubur', 'haji', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes']"
"AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua, Ahok-Djarot vs Anies-Sandi.",negative,"['ahy', 'besar-besar', 'tersingkir', 'persevering', 'face', 'persevering', 'face', 'dilanjuntukan', 'putaran', 'ahokdjarot', 'vs', 'aniessandi']"
"AHY nyungsep , orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI",negative,"['ahy', 'nyungsep', 'orang-orang', 'bapaknya', 'menyarankan', 'coblos', 'no', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes']"
Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki  @Metro_TV,negative,"['nyoblos', 'berkabung', 'tongue', 'memakai', 'baju', 'hitamatau', 'sedih', 'smiling', 'face', 'with', 'open', 'mouth', 'smiling', 'eyes', 'tv']"
AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€¦ http://dlvr.it/PGqY,negative,"['ahy', 'cemas', 'situasi', 'sosial', 'pilkada', 'jakarta', 'pilkada', 'dki', 'jakarta', 'berdampak', 'negatif', 'bukan']"
AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.,negative,"['ahy', 'kalah', 'sisi', 'negatif', 'umat', 'islam', 'tertunda', 'menempatkan', 'pemimpin', 'sisi', 'positif', 'umat', 'islam', 'terhindar', 'hujat', 'buka', 'aib']"
#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>,negative,"['ahy', 'ahy', 'mengomong', 'karakter', 'barusan', 'omongkan', 'sisi', 'negatif', 'orang-orang', 'tongue', 'oncoming', 'fist']"
"AHY hanya membicarakan negatif saja untuk Jakarta, tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI",negative,"['ahy', 'membicarakan', 'negatif', 'jakarta', 'tidak', 'solusi', 'mengatasi', 'nol', 'besar-besar', 'thumbs', 'down']"
Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7  via @beritasatu #JakartaAdalahKita,negative,"['kicauan', 'negatif', 'surabaya', 'diyakini', 'pengaruhi', 'elektabilitas', 'ahy', 'via']"
"Ya Alloh Tuhan YME, AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi",negative,"['allah', 'tuhan', 'yme', 'ahy', 'didukung', 'senator', 'beraura', 'negatif']"
"menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>",negative,"['menemukan', 'foto-foto', 'lingkaran', 'orang-orang', 'ahy', 'penuh', 'integritas', 'kwalitas', 'negatif', 'waspada', 'waspada', 'thumbs', 'down']"
