text,score,label
nyaman bgt pakai gojek tampilannya juga lebih mudah   pahami kadang agak lama loadingnya tp gk mslh,5,Positif
katanya bebas biaya admin transfer   mana ada udah isi saldo dari bank ada adminnya kirim ke rekening bank lain kena admin transfer gopay sama ajah mending pake mobile banking,2,Negatif
aplikasi paling bahaya bisa membuka data di hp saya dan mengendalikan hp saya,1,Negatif
udah hari komplain ga bisa metode bayar pake gopay melalui jasa gojek ga ada solusi sistem nya bobrok,1,Negatif
payleter ga bisa di gunakan untuk membeli pulsa token listrik ga guna bgt ini payleter buat apa buat pajangan doang biar terlihat keren ga guna ga bisa di andelin,1,Negatif
jaringan saya bagus kenapa lemot bgt sih gojek,1,Negatif
jadi bintang dulu tadinya udah sya kasih bintang cuman karna awal gopaylater saya sudah bisa setelah di update gopaylaternya malah pengajuan gagal terus padahal saya tidak pernah telat bayar jauh hari sebelum jatuh tempo pun sudah saya bayar,1,Negatif
puasss sama aplikasi nyaa sangat di butuh kan buat yng sering laper tengah malam tpi mager mau kluar,5,Positif
udah   kejadian pesen driver keduanya jemput barengan lah saya bingung akhirnya di cancel eeh hari ini lebih aneh saya sudah sampai ada driver yg chat halo posisi saya sudah sampai lah itu siapa yg order kan ngerugiin pak driver jek gmn sih,3,Netral
nunggu jam ga dapet driversistem macem apa begitupadahal banyak gocar disini,5,Positif
tolong ini kenapa tiba gopaylater saya kok tidak bisa dibuat transaksi untuk beli kuotapulsa saja tidak bisa memakai metode pembayaran gopaylater,3,Netral
apa apaan udh di update tetap aja ga bisa tf dan lain katanya koneksi bermasalah gmn sih,1,Negatif
selalu banyak promo sih semoga bisa bersaing dengan aplikasi lain saya harap promo di gojek akan lebih banyak lagi agar masyarakat bisa berailih menggunakan aplikasi ini terutama gofoodnya,5,Positif
setelah diperbaharui kok malah lambat banget loadingnya,2,Negatif
titik susah untuk sesuai lokasi driver cuman liat lokasi titik gak baca deskripsi alamat ambil patokan lokasi yang tidak sesuai jadi eror berlipat lipat sebelumnya pensan makanan yang ternyata kosong di restaurantnya app toko dengan driver eror semua uninstal gojek solusinya,1,Negatif
ga nyaman banget de akhir akhir ini orde gocar instan distasiun tugu jogjakenapa selalu ditanya tujuan kemanakalau deket mereka ngga mau ambil kita diorderkan regulerdengan alasan tidak ada driverpadahal banyak yg nongkrong disitu tolong dong manajemen gojek jogja gimana nih,1,Negatif
balikin gopay later kayak dulu lagi skrang di pegang multifinance anak bangsat malah bnyak kekurangan ny,1,Negatif
gopaylayer sudah tidak bisa di gunakanmengecewakan sekaliuninstal gojek klo kaya gini,1,Negatif
sangat membantu sekaligoodjob gojeksukses truuus,5,Positif
makin kesini makin parah trutama kalau habis hujan kali membatalkan dan dibatalkan belum lagi mencari drivernya bisa sampai menit lamanya,1,Negatif
ko saya top up dari bri tidak masuk ya sedangkan di status nya berhasil dan di riwayat brimo nya berhasil,3,Netral
aplikasi gopaylater tidak bisa digunakan untuk membeli pulsa dan membayar tagihan ini kenapa ya,1,Negatif
tolong maps nya dibenahi rute alternatif yg diberikan tdk sesuai dengan rute sebenarnya membuat driver bingung,4,Positif
harga terlalu murah kasian driver nya,1,Negatif
aplikasi yg sangat membantu untuk urusan transportasi pelayanan cepat sesuai aplikasi,5,Positif
makin kesini gopaylater ga bisa di pake ke opsi transaksi pembayaran seperti pulsa,4,Positif
top up gopay tidak muncul tp sudah masuk ke aplikasinya,1,Negatif
kenapa di akun saya sudah bulan tidak ada promo untuk gofood,1,Negatif
gopay later tau tau ga bisa digunakan pembayaran selalu tepat waktu padahal sangat membantu gajelas skrg,1,Negatif
udah bayar buat chat dokter di gomed mahal pas mau chat malah lola dan ga bisa chattan alhasil uang melayang sakitnya tetep laen kali tolongnya gojek knp gomednya begini banget si,1,Negatif
aplikasinya akhirakhir ini bermasalah memuat lambat gopay paylater tidak bisa digunakan walaupun saldonya masih penuh padahal sebelumnya sangat bisa diandalkan sekarang susah masuk kehalaman paylater saja tidak bisabagian bantuan tidak memberikan solusi padahal kalau telat bayar sehari saja kena denda   kembalikanlah kemudahan gopay yang duluberi untuk tingkat kepuasan nanti kalau udah fix saya akan ubah jadi,1,Negatif
tidak bisa di akses untuk gofood nya,1,Negatif
makin kesini makin lemot tolong driver yg sok an itu di ingatkan udh pesen gofood lama banget gk dapet driver padahal dicek di goride banyak driver ngetime tpi gk ada yg nerima orderan tolong difikirkan juga biar gk merugikan pembeli dan penjual untuk driver sampah kayak gitu,1,Negatif
sangat mempermudah dalam transaksi dan transportasi,5,Positif
aplikasi sering bermasalah dalam bulan ini selalu begitu sangat menyiksa tidak bisa di andalkan dan harus pindah ke aplikasi lain,1,Negatif
gosah mentang ujan semaunya aja naikin harganya alhasil klo lagi dapet yg murah drivernya malah gak ngambil kan kon nyol pokoknya perbaiki lagi ya oh iya tambahan apk ini suka error ketika dipesan katanya mau diperbaiki kok gak cepet diperhatikan lagi ya apk nya jan sikit error sikit error cem apk murahan,1,Negatif
sangat mudah dan cepat,5,Positif
mohon perhatiannya buat admin dan jajaran kepungurusan gojek berkaitan dengan mahalnya tarif ongkir makanan di gojek juga besarnya potongan makanan ke pemilik resto hingga berimbas pada turunnya penjualan dan konsumen lebih milih untuk beli langsung ke resto,1,Negatif
gofood lagi mahal ongkosnya goshop milih warung terdekat gak bisayg ada jauh bgthmmmklo tetangga sebelah kok bisa masuk semua warung terdekattolong di perbaiki lagi yah gojek dan banyakin promo voucher jgn kemahalan yah nyesek soalnya klo belanja deket ongkosnya mahal bgt orng jd mikir mendingan jalan sndiri,2,Negatif
ketika driver gocar melakukan panggilan tidak terdapat notifikasi maupun tombol untuk menjawab panggilan handphone hanya bergetar terusmenerus posisi driver gocar di maps ada perbedaan jarak yang cukup jauh di maps posisinya agak delay dibanding realita ketika penjemputan sejauh ini dua keluhan di atas yang paling sering saya alami sejak menggunakan aplikasi ini,1,Negatif
maksdnya kebayakan mencoba apaan mau order ga bisa sh,1,Negatif
ongkirnya sedikit mahal ya dari grab tapi gak apa lah terus tingkatkan kualitas,5,Positif
gopay later tidak bsa dipakai pdhl full dan selalu ontime kalo ada tagihan,1,Negatif
kenapa sih gofood terkadang promonya ada kadang gak bikin bete aja,4,Positif
paylater tidak bisa di gunakan kembalikan payleter yg dulu,1,Negatif
paylater tidak bisa di gunakan kembalikan payleter yg dulu,1,Negatif
knp gojek akhir ini bermasalah lemot   gopaylater gk bisa di pake padahal saldo full   stts aktif cobalah di perbaiki biar bisa di andalkan krn saya sdh nyaman dgn kmgojek,5,Positif
disaat lagi malas masakgofood selalu membantuku,5,Positif
