text,label,processed
drivernya ramah dan sopan sepanjang sy menggunakan jasa aplikasi ini hanya sajasktg tarifnya mahal betul tdk sebanding dgn umr yg ada di daerah sering adain promo dong boss biar kami para karyawan dg penghasilan pasan bisa ttp menggunakan jasa aplikasi ini dan aplikasi ini ttp kompetitip pastinya,positive,"['drivernya', 'ramah', 'sopan', 'jasa', 'aplikasi', 'sajasktg', 'tarifnya', 'mahal', 'tidak', 'sebanding', 'umr', 'daerah', 'mengadakan', 'promo', 'bos', 'karyawan', 'penghasilan', 'pasan', 'jasa', 'aplikasi', 'aplikasi', 'kompetitip', 'pastinya']"
beli pulsa kok gak bisa mana udah is   saldo hadeh noob,positive,"['beli', 'pulsa', 'enggak', 'is', 'saldo', 'hadeh', 'noob']"
sejauh ini memudahkan aku buat transaksi kemana saja dan aplikasi di hp aku ringan dan gak lemot itu saja dan kembangkan biar lebih baik lagi,positive,"['memudahkan', 'transaksi', 'kemana', 'aplikasi', 'hp', 'ringan', 'enggak', 'lemot', 'kembangkan']"
aplikasinya mantap cuma kurangnya gaada go fly jadi gabisa menghindari macet,positive,"['aplikasinya', 'mantap', 'kurangnya', 'enggak ada', 'go', 'fly', 'enggak bisa', 'menghindari', 'macet']"
cepat driver sopan menjaga keamanan,positive,"['cepat', 'driver', 'sopan', 'menjaga', 'keamanan']"
tolong dong aplikasinya diperbaiki tiap ada telepon driver masuk tidak akan muncul di layar hp terpaksa harus saya telepon ulang,positive,"['tolong', 'aplikasinya', 'diperbaiki', 'telepon', 'driver', 'masuk', 'tidak', 'muncul', 'layar', 'hp', 'terpaksa', 'telepon', 'ulang']"
aplikasi sejauh ini berfungsi dengan baik,positive,"['aplikasi', 'berfungsi']"
sangat membantuand bermanfaat semoga makin maju and ttp berkembangttp salulu di ats apl gojek,positive,"['membantuand', 'bermanfaat', 'semoga', 'maju', 'and', 'berkembangttp', 'salulu', 'apl', 'gojek']"
tolong ya gojek untuk mempermudah complain mechanismnya omset trilyunan masa no call center costumer susah dihubungi gmn caranya kita chat driver kalau hp kita ketinggalan di gocar saya menit baru bs kesambung dgn call center,positive,"['tolong', 'gojek', 'mempermudah', 'complain', 'mechanismnya', 'omset', 'trilyunan', 'no', 'call', 'center', 'costumer', 'susah', 'dihubungi', 'chat', 'driver', 'hp', 'ketinggalan', 'gocar', 'menit', 'kesambung', 'call', 'center']"
banyakin promo kak untuk gofood nya untuk daerah pangkalpinang bangka belitung,positive,"['membanyaki', 'promo', 'kak', 'gofood', 'daerah', 'pangkalpinang', 'bangka', 'belitung']"
nyaman bgt pakai gojek tampilannya juga lebih mudah   pahami kadang agak lama loadingnya tp gk mslh,positive,"['nyaman', 'banget', 'pakai', 'gojek', 'tampilannya', 'mudah', 'pahami', 'kadang', 'loadingnya', 'enggak']"
puasss sama aplikasi nyaa sangat di butuh kan buat yng sering laper tengah malam tpi mager mau kluar,positive,"['puasss', 'aplikasi', 'butuh', 'laper', 'malam', 'mager']"
udah   kejadian pesen driver keduanya jemput barengan lah saya bingung akhirnya di cancel eeh hari ini lebih aneh saya sudah sampai ada driver yg chat halo posisi saya sudah sampai lah itu siapa yg order kan ngerugiin pak driver jek gmn sih,positive,"['kejadian', 'pesan', 'driver', 'jemput', 'barengan', 'bingung', 'cancel', 'eeh', 'aneh', 'driver', 'chat', 'halo', 'posisi', 'order', 'ngerugiin', 'driver', 'jek']"
nunggu jam ga dapet driversistem macem apa begitupadahal banyak gocar disini,positive,"['menunggu', 'jam', 'enggak', 'driversistem', 'apa-apa', 'begitupadahal', 'gocar']"
tolong ini kenapa tiba gopaylater saya kok tidak bisa dibuat transaksi untuk beli kuotapulsa saja tidak bisa memakai metode pembayaran gopaylater,positive,"['tolong', 'gopaylater', 'tidak', 'transaksi', 'beli', 'kuotapulsa', 'tidak', 'memakai', 'metode', 'pembayaran', 'gopaylater']"
selalu banyak promo sih semoga bisa bersaing dengan aplikasi lain saya harap promo di gojek akan lebih banyak lagi agar masyarakat bisa berailih menggunakan aplikasi ini terutama gofoodnya,positive,"['promo', 'semoga', 'bersaing', 'aplikasi', 'harap', 'promo', 'gojek', 'masyarakat', 'berailih', 'aplikasi', 'gofoodnya']"
sangat membantu sekaligoodjob gojeksukses truuus,positive,"['membantu', 'sekaligoodjob', 'gojeksukses', 'truuus']"
ko saya top up dari bri tidak masuk ya sedangkan di status nya berhasil dan di riwayat brimo nya berhasil,positive,"['top', 'up', 'bri', 'tidak', 'masuk', 'status', 'berhasil', 'riwayat', 'brimo', 'berhasil']"
tolong maps nya dibenahi rute alternatif yg diberikan tdk sesuai dengan rute sebenarnya membuat driver bingung,positive,"['tolong', 'maps', 'dibenahi', 'rute', 'alternatif', 'tidak', 'sesuai', 'rute', 'driver', 'bingung']"
aplikasi yg sangat membantu untuk urusan transportasi pelayanan cepat sesuai aplikasi,positive,"['aplikasi', 'membantu', 'urusan', 'transportasi', 'pelayanan', 'cepat', 'sesuai', 'aplikasi']"
makin kesini gopaylater ga bisa di pake ke opsi transaksi pembayaran seperti pulsa,positive,"['kesini', 'gopaylater', 'enggak', 'pakai', 'opsi', 'transaksi', 'pembayaran', 'pulsa']"
sangat mempermudah dalam transaksi dan transportasi,positive,"['mempermudah', 'transaksi', 'transportasi']"
sangat mudah dan cepat,positive,"['mudah', 'cepat']"
ongkirnya sedikit mahal ya dari grab tapi gak apa lah terus tingkatkan kualitas,positive,"['ongkirnya', 'mahal', 'grab', 'enggak', 'apa-apa', 'tingkatkan', 'kualitas']"
kenapa sih gofood terkadang promonya ada kadang gak bikin bete aja,positive,"['gofood', 'terkadang', 'promonya', 'kadang', 'enggak', 'bete']"
knp gojek akhir ini bermasalah lemot   gopaylater gk bisa di pake padahal saldo full   stts aktif cobalah di perbaiki biar bisa di andalkan krn saya sdh nyaman dgn kmgojek,positive,"['gojek', 'bermasalah', 'lemot', 'gopaylater', 'enggak', 'pakai', 'saldo', 'full', 'stts', 'aktif', 'cobalah', 'perbaiki', 'andalkan', 'nyaman', 'kmgojek']"
disaat lagi malas masakgofood selalu membantuku,positive,"['disaat', 'malas', 'masakgofood', 'membantuku']"
paling kesal klo udh order go food trs si driver gbsa di hubungin lama trs gabisa batalkan pesanan,positive,"['kesal', 'order', 'go', 'food', 'driver', 'gbsa', 'hubungin', 'enggak bisa', 'batalkan', 'pesanan']"
sejauh ini masi okee apalagi ada goride sama gocar comfort jd bisa milih,positive,"['okee', 'goride', 'gocar', 'comfort', 'memilih']"
selamat hari jadi yg ke thn pt gojek semoga sukses amiin saya suka dgn layanan transfortasinya kalo bisa ke peloksok perkampungan sudah banyak layanan drivernya,positive,"['selamat', 'pt', 'gojek', 'semoga', 'sukses', 'amin', 'suka', 'layanan', 'transfortasinya', 'peloksok', 'perkampungan', 'layanan', 'drivernya']"
saldo saya berubah di gopay setelah saya ganti email di gojek dengan email yang sama dengan di akun gopay saya mau kembali ke akun sebelumnya tapi sudah tidak bisa sehingga saya tidak bisa melihat riwayat transaksi saya lagi mohon bantuannya,positive,"['saldo', 'berubah', 'gopay', 'ganti', 'email', 'gojek', 'email', 'akun', 'gopay', 'akun', 'tidak', 'tidak', 'riwayat', 'transaksi', 'mohon', 'bantuannya']"
gojek tetap aplikasi yg paling utama dan terdepan,positive,"['gojek', 'aplikasi', 'utama', 'terdepan']"
good fitur semakin lengkap,positive,"['good', 'fitur', 'lengkap']"
aplikasi ini dapat di andalkan untuk keperluan trasportasi,positive,"['aplikasi', 'andalkan', 'keperluan', 'trasportasi']"
ada apa dengan go payleter susah sekali mengkoneksikan pembayaran ngk seperti biasanya,positive,"['apa-apa', 'go', 'payleter', 'susah', 'mengkoneksikan', 'pembayaran', 'enggak']"
pas pesen selalu dapet drivernya yg jauh padahal byk yg deket sgt tidak efektif,positive,"['pas', 'pesan', 'drivernya', 'tidak', 'efektif']"
sumpa murah amayyy pokonya suka amayy tapi   sukanya di bagian gofoodny mahal bangettttt,positive,"['sumpa', 'murah', 'amayyy', 'pokoknya', 'suka', 'amayy', 'sukanya', 'gofoodny', 'mahal', 'banget']"
cepat dan murah,positive,"['cepat', 'murah']"
aplikasi sangat membantu semua order mudah dilakukan tidak ada kendala dan sangat bermanfaat,positive,"['aplikasi', 'membantu', 'order', 'mudah', 'tidak', 'kendala', 'bermanfaat']"
bagus pelayanan   dan ramah,positive,"['bagus', 'pelayanan', 'ramah']"
knp aplikasi ini klo gak pake wifi susah masuk tiap buka internet wifi tidak tersambung bahkan transfer kadang juga gak masuk nyantol bbrp hari tolong diperbaiki sistem nya,positive,"['aplikasi', 'enggak', 'pakai', 'wifi', 'susah', 'masuk', 'buka', 'internet', 'wifi', 'tidak', 'tersambung', 'transfer', 'kadang', 'enggak', 'masuk', 'nyantol', 'tolong', 'diperbaiki', 'sistem']"
kenapa yah mau upgrade gopay later kok gak bisa masukkan nomer darurat,positive,"['upgrade', 'gopay', 'later', 'enggak', 'masukkan', 'nomer', 'darurat']"
lumayan mahal buat perjalanan yg ga terlalu jauh jarang ada promo hehe,positive,"['lumayan', 'mahal', 'perjalanan', 'enggak', 'jarang', 'promo']"
isi pulsa lewat gopay pertama berhasil isi ke gagal saldo masih utuh percobaan ke gagal lagi tapi saldo terpotong ajukan laporan tapi balasannya saldo tidak sesuai,positive,"['isi', 'pulsa', 'gopay', 'berhasil', 'isi', 'gagal', 'saldo', 'utuh', 'percobaan', 'gagal', 'saldo', 'terpotong', 'ajukan', 'laporan', 'balasannya', 'saldo', 'tidak', 'sesuai']"
sempet crowded karena udah pesansaldo kena potong pengemudi agak menjengkelkanalhamdulillah bisa balik sih setelah engkel engkelan lama,positive,"['crowded', 'pesansaldo', 'kena', 'potong', 'pengemudi', 'menjengkelkanalhamdulillah', 'engkel', 'engkelan']"
saya senang pke gojek tapi kenapa sering ngelag ya di pakai bentar langsung aplikasi tidak menanggapi minta di ulang aplikasi terus,positive,"['senang', 'pakai', 'gojek', 'ngelag', 'pakai', 'bentar', 'langsung', 'aplikasi', 'tidak', 'menanggapi', 'ulang', 'aplikasi']"
aplikasinya masih kurang user friendly dan titiknya msh susah di akses,positive,"['aplikasinya', 'user', 'friendly', 'titiknya', 'susah', 'akses']"
sejauh ini aplikasi gojek sangat bagus saya pikir promopromo digojek ada untuk pengguna baru atau pengguna langganan tetapi tidak hanya itu saya pribadi jarang menggunakan gojek tetapi setiap kali menggunakan pasti ada promo yang sangat menguntungkan pengguna semangat gojek,positive,"['aplikasi', 'gojek', 'bagus', 'pikir-pikir', 'promopromo', 'digojek', 'pengguna', 'pengguna', 'langganan', 'tidak', 'pribadi', 'jarang', 'gojek', 'kali', 'promo', 'menguntungkan', 'pengguna', 'semangat', 'gojek']"
aplikasi andalan yg fast respon saat dibutuhkan,positive,"['aplikasi', 'andalan', 'fast', 'respon', 'dibutuhkan']"
sarana transportasi yang sangat prakris dengan biaya sangat terjangkau untuk menengah bawah sekalipun mudah dan cepat,positive,"['sarana', 'transportasi', 'prakris', 'biaya', 'terjangkau', 'menengah', 'mudah', 'cepat']"
pelayanannya bagus cepat ada promo jg mantap,positive,"['pelayanannya', 'bagus', 'cepat', 'promo', 'mantap']"
aplikasi nya mudah diklik,positive,"['aplikasi', 'mudah', 'diklik']"
driver nya ramah dan jemput sesuai titik alhamdulillah tiba tepat waktu,positive,"['driver', 'ramah', 'jemput', 'sesuai', 'titik', 'alhamdulillah']"
selama berlangganan gojek saya selalu puas dengan pelayanan dan sikap drivernya semoga bisa lebih baik lagi,positive,"['berlangganan', 'gojek', 'puas', 'pelayanan', 'sikap-sikap', 'drivernya', 'semoga']"
buat gopaylater tolong di tinjau dan di update data saya padahal saya sudah melunasi tp kredit skor saya masih menurun saya jd susah bertransaksi perbankan,positive,"['gopaylater', 'tolong', 'tinjau', 'update', 'data', 'melunasi', 'kredit', 'skor', 'menurun', 'susah', 'bertransaksi', 'perbankan']"
bagus sangat pelayanan ya,positive,"['bagus', 'pelayanan']"
mengapa pagi pagi driver sering mengcancel orderan bukan sekali tetapi kali,positive,"['pagi', 'pagi', 'driver', 'mengcancel', 'orderan', 'bukan', 'kali']"
aplikasi gojek sangat bagus dan membantu di saat di butuhkan,positive,"['aplikasi', 'gojek', 'bagus', 'membantu', 'butuhkan']"
serba serbi jaman udah maju bayar belanjaan udah pake gopay sekarang mah keren,positive,"['serba', 'serbi', 'jaman', 'maju', 'bayar', 'belanjaan', 'pakai', 'gopay', 'mah', 'keren-keren']"
termudahkan terimakasih pelayanannya,positive,"['termudahkan', 'terimakasih', 'pelayanannya']"
terima kasih menu beranda gojek sudah enak dipandang saya jadi nyaman kembali menggunakan aplikasi gojek,positive,"['terima', 'kasih', 'menu', 'beranda', 'gojek', 'enak', 'dipandang', 'nyaman', 'aplikasi', 'gojek']"
admin gojek sekarang setelah pesan gofood kok tidak bisa isi gopay padahal dulu bisa,positive,"['admin', 'gojek', 'pesan', 'gofood', 'tidak', 'isi', 'gopay']"
mudah dan praktis dan banyak promo lebih update sih alhamdulillah sampe saat ini belum ada kendala semoga tidak ada lancar lancar saja,positive,"['mudah', 'praktis', 'promo', 'update', 'alhamdulillah', 'belum', 'kendala', 'semoga', 'tidak', 'lancar', 'lancar']"
apaan sih ni aplikasi tiba tiba force close lah tb tb crash ga jelas kadang ga bisa di buka kadang ke pesen kali lain kali mending update performance dulu deh dari pada fitur fitur ga jelas makin bagus engga malah makin aneh aplikasi nya kasian ke driver yang kepesen kali mau ga mau harus di cancle salah satu,positive,"['aplikasi', 'force', 'close', 'tb', 'tb', 'crash', 'enggak', 'jelas-jelas', 'kadang', 'enggak', 'buka', 'kadang', 'pesan', 'kali', 'kali', 'mending', 'update', 'performance', 'deh', 'fitur', 'fitur', 'enggak', 'jelas-jelas', 'bagus', 'enggak', 'aneh', 'aplikasi', 'kasihan', 'driver', 'kepesen', 'kali', 'enggak', 'cancle', 'salah']"
wajib punya transaksi jdi lbih gampang,positive,"['wajib', 'transaksi', 'gampang']"
respon nya cepat dan driver ramah,positive,"['respon', 'cepat', 'driver', 'ramah']"
bagus namun masih perlu disempurnakan,positive,"['bagus', 'disempurnakan']"
saya coba pesan goride electrik dapet nya lama banget dan juga saya coba pesan gocar luxe dapet nya lama banget,positive,"['coba', 'pesan', 'goride', 'electrik', 'banget', 'coba', 'pesan', 'gocar', 'luxe', 'banget']"
mempermudah di saat sibuk gk bisa keluar,positive,"['mempermudah', 'sibuk', 'enggak']"
cukup membantu dan menguntungkan buat yg mager seperti aku,positive,"['membantu', 'menguntungkan', 'mager']"
aplikasi yang sangat membantu untuk kita yang mager,positive,"['aplikasi', 'membantu', 'mager']"
goshop in fitur pembayaran gopaylater biar lengkap ya,positive,"['goshop', 'fitur', 'pembayaran', 'gopaylater', 'lengkap']"
poinya berbentuk lebih mudah pemakaiannya,positive,"['poinya', 'berbentuk', 'mudah', 'pemakaiannya']"
tolong di tindak lanjuti untuk di apk pemesanan layanan gocar   nya di aktifkan min karna di apk driver aktif sedangkan di apk pemesana tidak tertera layanan gocar   nya trims ttd driver,positive,"['tolong', 'tindak', 'lanjuti', 'apk', 'pemesanan', 'layanan', 'gocar', 'aktifkan', 'min', 'apk', 'driver', 'aktif', 'apk', 'pemesana', 'tidak', 'tertera', 'layanan', 'gocar', 'terima kasih', 'ttd', 'driver']"
setiap ada tlp masuk dari driver diaplikasi gojek kok ga ada buat angkatnya yabunyi doangmakin ga jelas aplikasinya,positive,"['telepon', 'masuk', 'driver', 'diaplikasi', 'gojek', 'enggak', 'angkatnya', 'yabunyi', 'doangmakin', 'enggak', 'jelas-jelas', 'aplikasinya']"
sudah cukup baik cuma perlu di tingkatkan lagi,positive,['tingkatkan']
bagus bangetsangat membantu dan dapat diandalkan,positive,"['bagus', 'bangetsangat', 'membantu', 'diandalkan']"
map nya kok ga kelihatanjadi ga bisa liat posisi driver nya,positive,"['map', 'enggak', 'kelihatanjadi', 'enggak', 'lihat', 'posisi', 'driver']"
bagus tidak terlalu lama atau lambat cepat dan sigap,positive,"['bagus', 'tidak', 'lambat', 'cepat', 'sigap']"
mahal banget ongkos kirimnya masa harga ongkir gofood lebih mahal dari harga makanan yang dibeli akutu sobat misqueen gabiaa di giniin,positive,"['mahal', 'banget', 'ongkos', 'kirimnya', 'harga', 'ongkir', 'gofood', 'mahal', 'harga', 'makanan', 'dibeli', 'akutu', 'sobat', 'misqueen', 'gabiaa', 'beginikan']"
lebih di perhatikan lagi dong buat grabcar klo masih ada penumpang jangan ambil orderan baru lama nunggunya karna ngedrop penumpang lain,positive,"['perhatikan', 'grabcar', 'penumpang', 'jangan-jangan', 'ambil', 'orderan', 'nunggunya', 'ngedrop', 'penumpang']"
semakin kesini promo menggunakan layanan yang ada di aplikasi gojek promonya harus menggunakan mitra lainnya mungkin ini terdengar bagus jika kerja sama tapi ini sangatlah ribet dibandingkan platform sebelah,positive,"['kesini', 'promo', 'layanan', 'aplikasi', 'gojek', 'promonya', 'mitra', 'terdengar', 'bagus', 'kerja', 'ribet', 'dibandingkan', 'platform', 'sebelah']"
makin gede denda nya yak setelah di update jd keberatan gw krn ada niat baik mau byr bgt buka aplikasi paylater jd kagetcuma telat bbrp hari lho bkn sebulan klu telat sebulan gw maklum hari aja udh rb sekian gmn bln telat nya saya memang telat byr tp ttp akan saya byr sblm nya jg penah saya telat blntp saya cuma di kenakan bhari saya ttp byr kok tp skrng denda nya sgt ya mending amat gw byr denda nya aja sm dendanya,positive,"['gede', 'denda', 'update', 'keberatan', 'gue', 'niat', 'byr', 'banget', 'buka', 'aplikasi', 'paylater', 'kagetcuma', 'telat', 'lho', 'bukan', 'sebulan', 'telat', 'sebulan', 'gue', 'maklum', 'ribu', 'sekian', 'telat', 'telat', 'byr', 'byr', 'penah', 'telat', 'blntp', 'kenakan', 'bhari', 'byr', 'denda', 'mending', 'gue', 'byr', 'denda', 'dendanya']"
yg bener lah ngasih layanan gf plus tapi ga semua resto tuh gmna dahkecewa si gak kaya dluuu kita kan beli layanan mennn tapi gabisa kepake ke semuaa lucu nih lama lama,positive,"['mengasih', 'layanan', 'gf', 'plus', 'enggak', 'resto', 'dahkecewa', 'enggak', 'kayak', 'dluuu', 'beli', 'layanan', 'mennn', 'enggak bisa', 'kepake', 'semuaa', 'lucu']"
